target_years,spend_ratio,strategy,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10,0.0666666,固定最適比率,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997,0.985,0.959,0.906,0.832,0.732,0.603,0.5,0.399,0.31799999999999995,0.252,0.20799999999999996,0.16200000000000003,0.126,0.10499999999999998,0.08399999999999996,0.06799999999999995,0.05500000000000005,0.04300000000000004,0.03400000000000003,0.027000000000000024,0.02300000000000002,0.016000000000000014,0.014000000000000012,0.014000000000000012,0.013000000000000012,0.01200000000000001,0.010000000000000009,0.008000000000000007,0.007000000000000006,0.006000000000000005,0.006000000000000005,0.0040000000000000036,0.0040000000000000036,0.0030000000000000027,0.0030000000000000027,0.0030000000000000027,0.0030000000000000027,0.0030000000000000027,0.0010000000000000009
10,0.0666666,ダイナミック最適比率,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995,0.988,0.965,0.9319999999999999,0.877,0.827,0.758,0.6819999999999999,0.619,0.556,0.499,0.46799999999999997,0.42200000000000004,0.382,0.33799999999999997,0.31699999999999995,0.29100000000000004,0.269,0.252,0.239,0.21999999999999997,0.21099999999999997,0.19899999999999995,0.18300000000000005,0.17100000000000004,0.16400000000000003,0.15900000000000003,0.15700000000000003,0.15100000000000002,0.14500000000000002,0.14100000000000001,0.138,0.136,0.134,0.132,0.127,0.125,0.123,0.122,0.12,0.11699999999999999,0.11199999999999999,0.10299999999999998
10,0.0666666,110-年齢 (30歳開始),1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.995,0.981,0.951,0.917,0.869,0.8109999999999999,0.755,0.681,0.612,0.5529999999999999,0.509,0.469,0.42600000000000005,0.382,0.346,0.32499999999999996,0.30600000000000005,0.28600000000000003,0.265,0.247,0.22799999999999998,0.21099999999999997,0.19399999999999995,0.18400000000000005,0.17700000000000005,0.17000000000000004,0.15800000000000003,0.15600000000000003,0.15200000000000002,0.15000000000000002,0.14400000000000002,0.14200000000000002,0.14,0.137,0.133,0.13,0.127,0.122,0.11699999999999999,0.11599999999999999,0.11399999999999999,0.11099999999999999,0.10899999999999999
10,0.0666666,110-年齢 (40歳開始),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996,0.983,0.957,0.921,0.869,0.813,0.759,0.69,0.617,0.5529999999999999,0.507,0.46499999999999997,0.42300000000000004,0.377,0.344,0.32099999999999995,0.30300000000000005,0.279,0.259,0.244,0.23099999999999998,0.20599999999999996,0.19199999999999995,0.18300000000000005,0.17500000000000004,0.17000000000000004,0.16300000000000003,0.15400000000000003,0.15000000000000002,0.14900000000000002,0.14200000000000002,0.138,0.136,0.13,0.127,0.123,0.122,0.11499999999999999,0.11499999999999999,0.10799999999999998,0.10699999999999998,0.10599999999999998,0.10099999999999998
10,0.0666666,110-年齢 (50歳開始),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996,0.985,0.961,0.922,0.877,0.8240000000000001,0.758,0.696,0.62,0.5609999999999999,0.509,0.46799999999999997,0.42900000000000005,0.382,0.344,0.31999999999999995,0.29400000000000004,0.271,0.25,0.238,0.22399999999999998,0.20599999999999996,0.18899999999999995,0.17800000000000005,0.16600000000000004,0.15900000000000003,0.15600000000000003,0.14700000000000002,0.14100000000000001,0.136,0.133,0.127,0.119,0.118,0.11399999999999999,0.11099999999999999,0.10499999999999998,0.10199999999999998,0.09699999999999998,0.09699999999999998,0.09399999999999997,0.09299999999999997,0.08899999999999997
10,0.0666666,110-年齢 (60歳開始),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997,0.992,0.971,0.949,0.897,0.844,0.788,0.722,0.641,0.573,0.518,0.471,0.41800000000000004,0.371,0.33099999999999996,0.29800000000000004,0.273,0.252,0.235,0.21899999999999997,0.19699999999999995,0.18100000000000005,0.16600000000000004,0.15300000000000002,0.14700000000000002,0.139,0.128,0.12,0.11699999999999999,0.11199999999999999,0.10699999999999998,0.10199999999999998,0.09699999999999998,0.09199999999999997,0.08799999999999997,0.08399999999999996,0.08099999999999996,0.07799999999999996,0.07299999999999995,0.07299999999999995,0.06999999999999995,0.06899999999999995,0.06699999999999995
10,0.05,固定最適比率,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997,0.997,0.992,0.978,0.962,0.9410000000000001,0.918,0.882,0.848,0.8069999999999999,0.753,0.702,0.65,0.605,0.5660000000000001,0.527,0.481,0.44899999999999995,0.41100000000000003,0.383,0.362,0.33499999999999996,0.31100000000000005,0.29900000000000004,0.28500000000000003,0.265,0.249,0.23399999999999999,0.21699999999999997,0.20799999999999996,0.19599999999999995,0.18700000000000006,0.17400000000000004,0.17000000000000004,0.16800000000000004,0.16500000000000004,0.15700000000000003,0.15200000000000002,0.14600000000000002,0.14400000000000002
10,0.05,ダイナミック最適比率,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997,0.993,0.988,0.969,0.956,0.928,0.899,0.87,0.837,0.796,0.757,0.72,0.683,0.641,0.601,0.5680000000000001,0.55,0.527,0.505,0.477,0.45499999999999996,0.43799999999999994,0.41900000000000004,0.404,0.392,0.386,0.378,0.365,0.361,0.355,0.347,0.33899999999999997,0.33399999999999996,0.32799999999999996,0.32299999999999995,0.32099999999999995,0.31599999999999995,0.31299999999999994,0.30900000000000005,0.30800000000000005,0.30500000000000005,0.274
10,0.05,110-年齢 (30歳開始),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998,0.994,0.985,0.969,0.952,0.92,0.897,0.866,0.832,0.794,0.752,0.706,0.669,0.637,0.593,0.563,0.5369999999999999,0.512,0.487,0.45399999999999996,0.43799999999999994,0.41800000000000004,0.395,0.38,0.366,0.352,0.34199999999999997,0.33099999999999996,0.32399999999999995,0.30700000000000005,0.29900000000000004,0.29400000000000004,0.28400000000000003,0.274,0.268,0.258,0.254,0.251,0.248,0.245,0.239,0.235
10,0.05,110-年齢 (40歳開始),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998,0.994,0.987,0.968,0.954,0.926,0.898,0.87,0.836,0.792,0.756,0.7130000000000001,0.677,0.636,0.595,0.5609999999999999,0.5369999999999999,0.515,0.485,0.45499999999999996,0.43700000000000006,0.41200000000000003,0.399,0.381,0.368,0.35,0.34099999999999997,0.33499999999999996,0.32299999999999995,0.31299999999999994,0.30300000000000005,0.29300000000000004,0.281,0.276,0.269,0.261,0.254,0.248,0.243,0.24,0.235,0.22899999999999998
