household_size,pension_start_age,spend_multiplier,use_dynamic_spending,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,60,0.36,0,2.5,6979.679999999999,174.492,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.996,0.995,0.995,0.993,0.992,0.989,0.984,0.983,0.976,0.976,0.975,0.974,0.971,0.97,0.968,0.965,0.963,0.962,0.96,0.96,0.96,0.959,0.958,0.958,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957
1,60,0.36,0,2.5,6979.679999999999,174.492,spend25p,174.5556500860485,176.91325309969864,179.02331778231135,181.2357222449183,184.55623580044238,187.5241598178105,190.74089058263792,192.89373662633818,196.43347194845157,198.80507578356364,201.11012786679697,203.9962332049157,204.9764286780279,205.1426439141414,206.08381365923913,203.13354030987728,201.12771137901922,196.09946589921321,194.34864004748056,191.28146596936756,31.27171394219422,25.825111817445247,20.18209029809997,14.588360692614385,8.974149735940097,3.1845045949526,-0.1612304914715934,-6.289821455456204,-13.216461172928497,-20.841365164312947,-28.24405076516507,-36.1552331162019,-44.35951817322202,-51.075131363769685,-58.22999414308022,-64.74526873149424,-70.90558072790017,-77.51352835408152,-83.94137001902303,-90.04560182144975,-96.58791342178523,-103.9266897481712,-111.59912611205495,-118.9898051473141,-127.68106359183369,-137.129825773424,-147.6028724921411,-159.4775636030223,-173.03842974973,-188.20945388359104,-203.7194784722124,-221.5236550814435,-239.4289694113565,-257.7630968762869,-277.8411889650188
1,60,0.36,0,2.5,6979.679999999999,174.492,spend50p,175.7415451733918,181.01110379498073,186.18647373556303,191.7508832587772,197.6964064512781,203.82622743641394,210.49740964422324,216.6711204619522,224.08410624124775,231.43632169991952,236.91316517839545,242.3383123409919,247.16622409176415,250.74422711750302,253.12932495211365,254.65876713492503,256.7226859243775,257.74687447500355,259.16657445854526,255.99370188013734,59.68047956422409,53.051844600266236,46.401836255666126,41.00868850316742,35.28761224010768,28.813923690759346,22.812603649075932,15.831479658161205,7.450125885724602,0.0,-7.459211240964441,-18.160232119021885,-27.766266182337752,-36.833429781376246,-45.554958701058226,-53.09900398371328,-60.67276521733136,-67.57345351549867,-73.17694230155635,-78.91505591762697,-85.0841392191004,-91.57995840017414,-97.51939355816626,-103.75242940392883,-111.21450412912571,-119.67609161118436,-128.70751604670966,-137.41094899419252,-148.69402477806221,-160.73229677362298,-172.37318076885964,-184.57956303930717,-198.54498053150888,-212.5888969367069,-226.8495028836932
1,60,0.36,0,2.5,6979.679999999999,174.492,spend75p,177.0020844892104,184.46535117883016,193.33881302614822,202.69194460685816,213.5001499999835,223.86981584972597,235.92914169537548,246.22255140025217,257.63419763509285,269.48954225764396,280.76682958120966,290.9625694810928,301.813866739137,311.2366358432263,317.7463146964996,323.84609176690185,331.9190893207193,334.1849289309216,338.44510313348144,335.3636538152708,98.76603986796033,91.49222240919016,86.1960485195853,79.49965117662396,73.45987257660768,65.94023677489068,57.0762326016951,49.39893919154475,39.272590586174346,28.78875697410335,16.886986895595367,3.0976505794444726,-1.702304370799233,-14.197539039485982,-24.567594407139236,-34.302489696660345,-42.84572353851,-52.079939541788555,-60.55884417266812,-67.50585683544001,-73.52639093631673,-80.20417538046785,-86.19094909310546,-91.99746492094543,-98.20202575786887,-105.67116954299138,-112.71236697976443,-120.73731188783592,-129.40158768314302,-138.38396498917717,-148.11018379073363,-157.5747538872469,-166.51237342198758,-175.3264244844503,-185.09354214403822
1,60,0.36,0,3.0,5816.4,174.492,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.997,0.995,0.993,0.992,0.984,0.975,0.969,0.963,0.946,0.937,0.931,0.928,0.924,0.92,0.918,0.916,0.912,0.909,0.907,0.907,0.904,0.903,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902
1,60,0.36,0,3.0,5816.4,174.492,spend25p,174.5556500860485,176.91325309969864,179.02331778231135,181.2357222449183,184.55623580044238,187.5241598178105,190.74089058263792,192.89373662633818,196.389973723993,198.80507578356364,200.72198506114125,203.87777498892626,204.76769045932036,204.3239549428022,203.1554167100724,200.19320253331617,196.68475917469044,191.73909746705806,183.39512016869244,178.3214755463307,25.206596068543654,18.94486563081553,13.11805544727241,7.900891056984811,2.947155082907169,0.0,0.0,-6.000585088503305,-12.698565798921738,-20.204487632438195,-27.78853382348817,-35.84495176234546,-43.67726220976862,-50.71297861241311,-57.629240999547676,-64.33824957325697,-70.39238956960514,-76.99349433953898,-83.27245091483381,-89.3132311128353,-95.42473075701565,-102.15311205311886,-109.55683044311368,-117.45920490512239,-125.66986385369506,-135.02610749900734,-145.93642533477384,-157.18815556288126,-170.71823517959018,-184.72420473320187,-200.6196981374353,-218.38395069753324,-234.32925626483404,-253.53772701593198,-272.9668890325292
1,60,0.36,0,3.0,5816.4,174.492,spend50p,175.7415451733918,181.01110379498073,186.18647373556303,191.7508832587772,197.6964064512781,203.82622743641394,210.49740964422324,216.6711204619522,224.00155492274774,231.43632169991952,236.60137592168303,241.8833528968728,246.38919856314027,250.21046626308942,252.41230608871803,252.71159638830557,252.8615077449096,251.2275703810902,247.56672482026315,244.9275795081296,54.58980693793168,48.28206748467547,42.12635373313444,35.76168528566001,30.267482175059893,24.176144334123734,17.01878258212555,9.9194387509097,2.134033720750117,0.0,-6.163156661311758,-16.421057380772776,-26.9180667533003,-36.10514813917446,-44.68984700039037,-52.08672592281505,-59.47710955262801,-66.57101629234072,-72.02541707964704,-78.19410093676404,-83.83712891026715,-90.2351455208279,-96.20386710070186,-102.87785012014976,-109.86646579901708,-117.64534855210309,-126.68385116195958,-135.1267528632252,-145.02335281615723,-156.94072522064286,-168.36109440279347,-180.37031230652562,-193.941426974953,-207.08265401978974,-220.77648140307758
1,60,0.36,0,3.0,5816.4,174.492,spend75p,177.0020844892104,184.46535117883016,193.33881302614822,202.69194460685816,213.5001499999835,223.86981584972597,235.92914169537548,246.22255140025217,256.85372875044993,269.48954225764396,279.9944143804877,290.9625694810928,301.73458374661334,310.94721512029514,316.79181510927725,320.4583104527615,327.7235528510946,330.70029651772404,327.7520695843932,327.11430601356443,92.49889049388138,86.88207846967806,82.14340586589073,75.64435406209451,68.69549213689024,61.75272846929449,53.08809299259499,43.322933370025396,34.28178941229597,23.659664051741256,12.277684300871671,0.37685988187656694,0.0,-7.396587237577981,-19.209951542702537,-29.43527707643312,-38.44044789312416,-47.912012790512605,-55.62000352202345,-63.36341383135489,-70.6054031310237,-77.25161927141387,-82.77105180135734,-88.9925983736985,-95.61101143980451,-102.71602055756584,-110.09488340487007,-117.30704136877819,-125.15803967128355,-133.94178707903117,-141.41507187394808,-150.03900894707442,-158.98741902107128,-167.26703507670368,-177.49658257395498
1,60,0.36,0,4.0,4362.299999999999,174.492,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.998,0.996,0.992,0.986,0.972,0.95,0.927,0.912,0.879,0.853,0.8200000000000001,0.7989999999999999,0.79,0.779,0.772,0.769,0.768,0.762,0.76,0.758,0.756,0.754,0.753,0.752,0.752,0.752,0.752,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751
1,60,0.36,0,4.0,4362.299999999999,174.492,spend25p,174.5556500860485,176.91325309969864,179.02331778231135,181.2357222449183,184.55623580044238,187.5241598178105,190.74089058263792,192.76719243325144,196.31803210776252,198.3678830387747,199.440074494289,202.00839378982135,200.56100762305533,195.716614568964,187.12409112023053,182.76413202734147,170.88516431038727,160.00618008036176,142.87470353534178,129.27680885199337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6576942136305606,-10.8607987756083,-17.6299101686003,-25.226130572977944,-33.27212297591396,-42.0444597106978,-49.474363595943075,-56.301563996686774,-62.457565184055134,-68.42649937418885,-74.86603491134528,-81.184995494808,-87.00081399917299,-92.77065214047175,-99.33311737076258,-106.223321380701,-113.45574629264179,-121.40219007473739,-130.32074307160292,-140.4124112990488,-151.42335299014914,-164.1689680165093,-176.8256075315893,-190.89213174580132,-205.65898473419833,-221.88285686718365,-241.09691819936796,-259.0836520842071
