pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
60,0.7500,DynamicV1Rebalance,2.5000,14593.6728,364.8418,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9998,0.9992,0.9984,0.9972,0.9954,0.9934,0.9896,0.9850,0.9804,0.9746,0.9706,0.9658,0.9618,0.9578,0.9542,0.9478,0.9436,0.9380,0.9340,0.9300,0.9244,0.9208,0.9162,0.9112,0.9076,0.9050,0.9014,0.8978,0.8962,0.8942,0.8928,0.8910,0.8896,0.8886,0.8874,0.8866,0.8858,0.8844,0.8834,0.8824,0.8808,0.8800,0.8794,0.8784,0.8782
60,0.7500,DynamicV1Rebalance,2.5000,14593.6728,364.8418,spend25p,365.0846,371.3059,377.0658,382.9968,388.6625,394.7754,400.9517,406.9772,412.4824,417.1699,420.8202,423.6646,424.9313,427.2032,426.7469,423.0162,418.8001,410.8707,402.8680,393.1919,229.7230,218.8788,209.3486,198.9817,188.8006,176.2535,165.7260,153.8329,142.8747,130.8200,117.3937,105.5506,93.5215,81.5840,71.5150,63.7339,55.9291,48.8226,42.4078,36.5723,31.7962,25.5996,21.3006,15.4408,9.9886,4.3262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.0346,-16.2743,-26.1345
60,0.7500,DynamicV1Rebalance,2.5000,14593.6728,364.8418,spend50p,367.6509,379.0087,390.8196,403.6021,417.5986,431.3589,445.6951,460.5240,475.3150,489.6406,502.6910,514.5139,524.9120,534.0553,539.4651,542.4245,541.6962,535.4277,531.3525,526.3525,328.1827,319.8591,310.9200,302.2911,294.3724,284.8659,274.5209,263.3217,251.2264,237.4030,221.7876,207.9467,194.6758,181.4124,169.8070,160.7671,152.0891,146.3297,141.0050,135.9164,131.1577,126.5000,121.4530,117.6611,112.7320,106.5232,100.1993,92.4489,84.6005,76.2283,67.5184,55.7742,44.4652,34.1422,23.6616
60,0.7500,DynamicV1Rebalance,2.5000,14593.6728,364.8418,spend75p,370.2624,386.8483,405.7981,425.8558,447.1971,471.5991,496.0698,520.2234,546.3374,572.0432,596.1108,619.8207,642.1219,661.1268,679.2464,690.6048,699.2322,708.0861,710.5168,712.9247,468.9786,461.7604,453.4650,446.9448,440.7337,430.8455,425.1940,414.0206,402.5868,387.9269,371.3929,354.1562,338.5954,324.3407,313.2073,304.4258,297.3218,290.3519,288.6274,285.4931,281.7454,280.3789,279.4837,276.7397,273.3601,271.6882,265.4970,258.6081,250.1168,240.0774,227.9960,219.1109,207.4520,192.2621,176.8252
60,0.7500,DynamicV1Rebalance,2.8000,13030.0650,364.8418,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9990,0.9980,0.9962,0.9936,0.9892,0.9838,0.9764,0.9684,0.9596,0.9490,0.9412,0.9330,0.9266,0.9192,0.9136,0.9074,0.9038,0.8978,0.8900,0.8830,0.8782,0.8738,0.8694,0.8656,0.8602,0.8576,0.8544,0.8500,0.8468,0.8450,0.8430,0.8420,0.8404,0.8390,0.8378,0.8366,0.8354,0.8344,0.8330,0.8320,0.8312,0.8310,0.8290,0.8278,0.8268
60,0.7500,DynamicV1Rebalance,2.8000,13030.0650,364.8418,spend25p,365.0846,371.3059,377.0658,382.9968,388.6625,394.7754,400.9517,406.9772,412.4824,417.1699,420.4635,423.0709,423.4624,425.5787,424.4260,419.1748,412.7030,403.5809,392.6844,381.0567,217.3121,205.9537,192.4316,179.6529,167.9183,157.6798,146.8941,135.3131,121.7548,108.9816,95.9691,83.7315,71.9455,62.7520,52.3936,44.1550,36.1404,28.3681,22.2402,17.3946,12.5101,6.6771,1.3486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.2493,-14.1317,-23.9899
60,0.7500,DynamicV1Rebalance,2.8000,13030.0650,364.8418,spend50p,367.6509,379.0087,390.8196,403.6021,417.5986,431.3589,445.6951,460.5240,475.3150,489.6406,502.4075,513.5995,524.1529,532.5868,537.1859,538.9086,535.1158,527.9869,521.0556,512.7039,317.7550,308.1778,297.3664,286.8552,277.8601,268.0209,259.3877,247.7663,232.9397,218.8294,205.9474,192.5339,179.2206,165.2887,153.1467,143.0637,135.1804,128.2880,122.6722,117.5059,113.0740,107.8212,102.9295,98.3810,93.5042,88.1172,82.1921,74.0983,66.0620,56.1786,47.4362,37.5334,27.1407,16.4546,4.8793
60,0.7500,DynamicV1Rebalance,2.8000,13030.0650,364.8418,spend75p,370.2624,386.8483,405.7981,425.8558,447.1971,471.5991,496.0698,520.2234,546.3374,572.0432,595.7892,619.2441,641.3615,659.5346,675.9448,687.5773,693.1984,698.2205,697.5871,697.5016,456.8739,445.6309,437.2129,430.1765,421.0236,415.0859,406.4526,394.5268,378.5788,362.5119,345.9282,331.8463,316.6648,304.1114,289.3549,279.6611,271.9337,266.3587,265.4414,263.3383,260.6033,260.2860,258.4676,254.4898,250.4081,246.2334,239.1556,231.8865,223.6414,214.4305,206.5052,195.1971,181.0867,166.1248,152.6368
60,0.7500,DynamicV1Rebalance,3.0000,12161.3940,364.8418,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9996,0.9980,0.9968,0.9936,0.9892,0.9834,0.9728,0.9640,0.9530,0.9404,0.9284,0.9186,0.9098,0.9012,0.8940,0.8858,0.8756,0.8708,0.8650,0.8582,0.8506,0.8446,0.8384,0.8338,0.8304,0.8254,0.8216,0.8172,0.8138,0.8112,0.8076,0.8050,0.8028,0.8012,0.7978,0.7948,0.7928,0.7916,0.7904,0.7902,0.7896,0.7884,0.7868,0.7854,0.7848,0.7846
60,0.7500,DynamicV1Rebalance,3.0000,12161.3940,364.8418,spend25p,365.0846,371.3059,377.0658,382.9968,388.6625,394.7754,400.9517,406.9772,412.4824,417.0741,420.1998,422.4701,422.7912,422.4843,421.3676,415.0315,407.1029,394.3867,380.9212,367.1399,207.7280,193.2843,178.7364,167.6514,155.0416,140.9853,130.3208,118.7334,105.2874,90.7453,78.2272,66.0884,55.1173,45.0850,35.4140,27.2995,19.4725,12.8928,7.2978,0.3074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.8958,-11.8015,-22.5753
60,0.7500,DynamicV1Rebalance,3.0000,12161.3940,364.8418,spend50p,367.6509,379.0087,390.8196,403.6021,417.5986,431.3589,445.6951,460.5240,475.3150,489.5388,502.0971,513.5127,523.1618,530.7941,535.7441,534.7836,530.2453,521.2522,513.4215,503.4454,310.9038,299.6976,288.6543,278.6836,267.4948,256.0813,245.9179,234.7792,221.5630,208.1831,195.0002,179.3735,164.5439,151.5735,140.4601,131.0716,123.0981,115.8500,109.4388,102.7798,97.8837,93.8585,88.9441,84.0716,78.3372,71.6196,63.4026,57.0084,48.1527,40.1246,31.7841,22.1873,11.5513,1.5108,0.0000
60,0.7500,DynamicV1Rebalance,3.0000,12161.3940,364.8418,spend75p,370.2624,386.8483,405.7981,425.8558,447.1971,471.5991,496.0698,520.2234,546.3374,572.0056,595.4895,619.1188,640.5525,658.0576,673.5497,682.5531,689.1665,688.3848,686.3444,683.7442,444.8585,435.2246,426.0448,420.3341,410.9796,400.1622,391.8170,380.2397,364.1285,348.6477,333.3474,316.9550,302.5199,287.2828,275.3533,265.7138,257.4692,250.3838,249.2186,248.6659,244.5533,242.5864,240.3309,234.7041,231.2818,224.4561,218.9049,211.6236,204.9685,196.1409,184.1216,173.7733,160.6495,145.6957,131.2560
60,0.7500,DynamicV1Rebalance,3.3300,10956.2108,364.8418,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9998,0.9984,0.9970,0.9930,0.9874,0.9796,0.9654,0.9536,0.9390,0.9222,0.9058,0.8868,0.8756,0.8636,0.8526,0.8408,0.8330,0.8232,0.8146,0.8048,0.7992,0.7880,0.7808,0.7750,0.7686,0.7632,0.7582,0.7540,0.7510,0.7470,0.7448,0.7408,0.7382,0.7350,0.7328,0.7312,0.7306,0.7288,0.7268,0.7254,0.7248,0.7240,0.7230,0.7208,0.7200,0.7192,0.7188
60,0.7500,DynamicV1Rebalance,3.3300,10956.2108,364.8418,spend25p,365.0846,371.3059,377.0658,382.9968,388.6625,394.7754,400.9517,406.9772,412.3857,416.7561,419.9649,421.5508,420.9594,418.8175,412.8491,405.7943,393.7734,377.2206,360.4524,339.6225,184.2106,167.5885,151.4583,136.7146,124.3215,109.9019,95.9418,81.9627,69.6764,53.2195,39.0194,26.7307,13.0578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.4715,-16.7938
60,0.7500,DynamicV1Rebalance,3.3300,10956.2108,364.8418,spend50p,367.6509,379.0087,390.8196,403.6021,417.5986,431.3589,445.6951,460.5240,475.1754,489.2561,501.8335,512.2455,521.5845,526.6770,528.5113,525.5590,519.3831,509.8267,498.1521,485.9157,296.2872,283.2799,270.8162,259.0184,249.5913,237.9889,227.3770,214.3601,202.2072,185.9783,170.6277,155.6936,142.4546,129.6983,118.7666,109.3981,100.7181,92.2608,86.2721,80.2248,74.8029,70.2416,64.4143,59.5687,54.2837,48.0592,41.0990,33.9898,27.2973,19.0193,10.4047,0.7563,0.0000,0.0000,0.0000
60,0.7500,DynamicV1Rebalance,3.3300,10956.2108,364.8418,spend75p,370.2624,386.8483,405.7981,425.8558,447.1971,471.5991,496.0698,520.2234,546.2652,571.3318,595.3258,617.5282,637.0565,655.5435,666.6036,672.6405,675.5411,674.3718,671.2414,661.5113,425.2872,417.2063,406.9035,396.9653,388.4455,378.1810,367.2671,352.7934,339.2435,322.8244,309.9222,295.3020,276.6509,262.9392,249.9489,239.4198,232.2903,226.6541,221.7872,219.9578,218.1706,214.5037,211.5063,210.8617,205.7940,200.7925,192.8831,185.5637,177.6193,168.9162,157.2793,144.4045,132.0637,118.6550,104.5095
60,0.7500,DynamicV1Rebalance,3.6600,9968.3557,364.8418,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9994,0.9974,0.9944,0.9880,0.9794,0.9618,0.9472,0.9290,0.9098,0.8860,0.8618,0.8392,0.8230,0.8116,0.7960,0.7858,0.7712,0.7612,0.7496,0.7396,0.7296,0.7226,0.7126,0.7050,0.6996,0.6954,0.6908,0.6862,0.6824,0.6796,0.6766,0.6732,0.6704,0.6686,0.6662,0.6644,0.6604,0.6588,0.6572,0.6562,0.6556,0.6552,0.6538,0.6524,0.6512,0.6504,0.6502
60,0.7500,DynamicV1Rebalance,3.6600,9968.3557,364.8418,spend25p,365.0846,371.3059,377.0658,382.9968,388.6625,394.7754,400.9517,406.9772,412.3682,416.5105,419.5096,419.1424,417.9851,412.7186,405.6880,391.4425,376.0346,352.5923,328.8165,299.0677,149.8246,133.4720,112.7389,94.3779,70.8464,48.3320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.9200
60,0.7500,DynamicV1Rebalance,3.6600,9968.3557,364.8418,spend50p,367.6509,379.0087,390.8196,403.6021,417.5986,431.3589,445.6951,460.5240,475.0136,488.9810,501.3758,510.9508,518.7210,520.4826,520.2591,516.3759,507.8766,495.6170,480.8336,466.3512,277.7215,264.8902,251.6972,240.8622,228.1884,216.7720,202.9740,189.0518,173.4974,159.4219,144.4040,129.2197,117.2789,105.9082,94.4598,85.5228,76.8669,70.1338,63.1584,58.2185,51.9215,46.5341,40.5708,35.6087,28.9463,22.3787,15.8626,9.1648,1.9920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,0.7500,DynamicV1Rebalance,3.6600,9968.3557,364.8418,spend75p,370.2624,386.8483,405.7981,425.8558,447.1971,471.5991,496.0698,520.2234,546.0673,571.0224,594.6586,616.7591,634.2211,649.2211,660.2073,663.1088,663.5528,658.1245,648.6365,637.7960,407.4709,397.3076,387.3100,378.7126,365.7686,354.1639,340.8315,329.4469,314.3249,299.5806,282.1490,265.0110,252.0161,238.8252,226.1270,216.8761,211.1785,206.0023,202.2326,198.3216,194.5920,191.4328,186.8684,182.7881,175.4162,169.4901,164.2265,156.2493,147.7881,140.4890,128.8271,117.3952,103.3357,91.5271,76.9967
60,0.7500,DynamicV1Rebalance,4.0000,9121.0455,364.8418,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9998,0.9984,0.9964,0.9896,0.9802,0.9630,0.9438,0.9238,0.8982,0.8730,0.8416,0.8122,0.7858,0.7670,0.7518,0.7374,0.7218,0.7048,0.6938,0.6822,0.6724,0.6626,0.6534,0.6474,0.6400,0.6356,0.6318,0.6268,0.6216,0.6174,0.6124,0.6096,0.6056,0.6030,0.6010,0.5984,0.5962,0.5944,0.5932,0.5920,0.5910,0.5902,0.5886,0.5878,0.5872,0.5864,0.5860,0.5850
60,0.7500,DynamicV1Rebalance,4.0000,9121.0455,364.8418,spend25p,365.0846,371.3059,377.0658,382.9968,388.6625,394.7754,400.9517,406.8941,412.1032,416.2631,417.6608,416.8374,412.1293,404.9458,395.4078,375.8879,352.5681,322.1471,286.2571,246.6141,98.0227,43.0650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,0.7500,DynamicV1Rebalance,4.0000,9121.0455,364.8418,spend50p,367.6509,379.0087,390.8196,403.6021,417.5986,431.3589,445.6951,460.4631,474.8247,488.6921,499.6493,508.6555,513.9060,514.8638,512.3115,504.5784,491.7330,476.6975,458.7354,440.1206,258.5232,243.9231,229.5336,216.5028,199.3461,186.3989,170.6281,157.8308,143.0138,128.6094,114.6560,101.1360,89.3780,77.7030,68.3929,58.3077,49.2755,41.0880,34.2749,27.0200,21.0636,16.3310,11.1843,5.9706,0.5665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,0.7500,DynamicV1Rebalance,4.0000,9121.0455,364.8418,spend75p,370.2624,386.8483,405.7981,425.8558,447.1971,471.5991,496.0698,520.1613,545.8691,570.7444,593.4026,614.8194,631.2403,641.7301,652.7121,651.8387,647.2670,638.3015,623.7959,611.4211,388.3009,378.7264,367.2634,355.4100,338.7207,328.1620,315.9305,303.3899,288.0352,269.5269,254.8080,240.0081,226.8518,213.5194,202.3580,192.9841,185.0539,175.8812,169.8369,165.4484,161.8111,160.2822,157.4541,152.7609,148.5890,140.5813,133.9205,127.0783,119.0244,110.2960,101.3213,91.5893,78.6032,66.1395,53.2642
60,0.7500,DynamicV1Rebalance,5.0000,7296.8364,364.8418,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9998,0.9978,0.9934,0.9826,0.9630,0.9354,0.9022,0.8622,0.8196,0.7768,0.7272,0.6824,0.6452,0.6120,0.5944,0.5812,0.5662,0.5518,0.5394,0.5280,0.5168,0.5062,0.4970,0.4880,0.4816,0.4746,0.4692,0.4648,0.4606,0.4578,0.4546,0.4516,0.4496,0.4470,0.4442,0.4424,0.4396,0.4376,0.4358,0.4334,0.4326,0.4308,0.4300,0.4290,0.4282,0.4270,0.4264,0.4264,0.4264
60,0.7500,DynamicV1Rebalance,5.0000,7296.8364,364.8418,spend25p,365.0846,371.3059,377.0658,382.9968,388.6625,394.7754,400.9204,406.3465,411.4072,413.2716,409.2837,401.3618,387.7238,364.3251,328.0786,272.8177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,0.7500,DynamicV1Rebalance,5.0000,7296.8364,364.8418,spend50p,367.6509,379.0087,390.8196,403.6021,417.5986,431.3589,445.6889,460.2186,473.3691,485.0015,493.8316,496.1056,494.7905,486.3596,470.9677,454.1076,427.2096,397.9852,368.0173,335.7533,174.7536,154.6626,135.0580,114.6469,94.8826,74.2667,55.4131,26.1210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,0.7500,DynamicV1Rebalance,5.0000,7296.8364,364.8418,spend75p,370.2624,386.8483,405.7981,425.8558,447.1971,471.5991,496.0510,519.7580,544.9776,567.8703,587.8926,602.3125,612.9639,617.2372,613.7707,605.7142,591.1296,566.1959,547.1727,530.2952,326.9037,315.3316,301.7271,286.2381,275.4555,261.7602,248.1845,233.6688,220.7656,204.6919,192.2870,174.6316,157.8950,144.9470,133.4983,124.8817,116.8185,108.4391,101.2522,96.4838,90.9937,85.6157,81.1594,75.3847,68.5377,60.7937,53.9137,46.2186,39.8282,32.1609,22.6012,13.8320,3.6811,0.0000,0.0000
