pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
65,0.5000,SpendAwareDPRebalance (R65-aware),1.5000,16692.9697,250.3945,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9990,0.9980,0.9975,0.9970,0.9945,0.9915,0.9905,0.9890,0.9870,0.9860,0.9860,0.9860,0.9850,0.9830,0.9815,0.9800,0.9795,0.9785,0.9775,0.9770,0.9750,0.9720,0.9700,0.9690,0.9685,0.9675,0.9665,0.9660
65,0.5000,SpendAwareDPRebalance (R65-aware),1.5000,16692.9697,250.3945,spend25p,252.6931,259.4700,266.1696,272.4318,279.1763,285.5810,292.0799,300.1872,307.2179,312.2888,317.6691,321.9614,325.5504,328.7092,333.1027,336.2344,336.2392,337.1979,336.0739,334.3262,311.8848,310.9599,308.7171,310.3270,309.3082,103.1314,97.1256,89.8456,81.0752,72.3082,63.8890,54.2584,44.3199,35.1281,26.9232,19.5215,14.1068,8.7178,4.3421,0.0094,0.0000,-3.3658,-8.0944,-10.2893,-14.2163,-19.6269,-24.8755,-29.7438,-36.3617,-44.3334,-51.9995,-60.7962,-69.9782,-80.1933,-89.7883
65,0.5000,SpendAwareDPRebalance (R65-aware),1.5000,16692.9697,250.3945,spend50p,252.8509,263.2807,274.0971,285.3324,297.6409,309.8529,322.4966,336.8871,351.0636,363.2614,376.6860,388.4990,400.3264,410.8500,421.4742,427.3498,430.1819,431.5991,434.9537,439.5665,414.0060,417.9316,418.9291,420.1340,424.1836,172.1406,166.9953,162.1674,154.0420,143.9024,134.8202,124.0691,112.2970,101.5619,94.3979,86.3416,81.7310,78.7804,75.5981,74.2957,72.0022,70.6238,69.7270,66.7252,61.0100,57.5745,53.1040,46.5692,38.7842,30.2571,20.9621,10.8639,0.9812,0.0000,-5.7807
65,0.5000,SpendAwareDPRebalance (R65-aware),1.5000,16692.9697,250.3945,spend75p,253.0024,267.2282,282.4526,299.0980,317.1453,336.0857,356.9071,377.4918,398.9937,421.4736,444.6119,467.5697,486.0068,506.1291,523.0817,538.9700,551.6699,566.9581,582.0541,589.8206,559.6889,567.3676,579.5513,588.0387,596.1446,274.7842,271.5216,266.7705,261.7066,252.1430,239.4521,227.0706,214.5467,203.8119,197.7817,191.9280,188.8469,185.2739,184.0139,184.3227,186.4262,189.2440,191.3618,192.1661,193.3579,195.1693,192.6169,186.9888,185.3467,180.0661,170.2207,161.4244,153.4176,138.3094,130.7038
65,0.5000,SpendAwareDPRebalance (R65-aware),1.6600,15084.0088,250.3945,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9990,0.9990,0.9985,0.9980,0.9980,0.9960,0.9960,0.9935,0.9925,0.9915,0.9885,0.9865,0.9855,0.9830,0.9820,0.9815,0.9810,0.9795,0.9775,0.9750,0.9735,0.9720,0.9705,0.9685,0.9665,0.9655,0.9625,0.9610,0.9605,0.9600,0.9580,0.9565,0.9550
65,0.5000,SpendAwareDPRebalance (R65-aware),1.6600,15084.0088,250.3945,spend25p,252.6931,259.4700,266.1696,272.4318,279.1763,285.5574,292.0799,300.1872,307.2179,312.2888,317.6691,321.9614,325.5504,328.7092,333.1027,336.2344,336.2392,337.1979,336.0739,334.1718,311.8848,310.2381,307.8172,310.2530,308.2802,102.5554,96.5765,89.3748,80.9121,71.2799,61.9918,53.3182,43.1835,34.3006,25.8460,18.5925,12.2578,7.5674,2.6704,0.0000,-0.0001,-3.9445,-8.5288,-10.7996,-14.5024,-19.7292,-25.0474,-29.8248,-36.3617,-44.5864,-52.1096,-61.0557,-70.0273,-80.1933,-89.7918
65,0.5000,SpendAwareDPRebalance (R65-aware),1.6600,15084.0088,250.3945,spend50p,252.8509,263.2807,274.0971,285.3324,297.6409,309.8529,322.4584,336.8248,351.0636,363.2614,376.6860,388.4990,400.3264,410.7986,421.4742,427.3498,430.1819,431.5991,434.9537,439.5665,414.0060,417.8465,418.5007,419.8343,423.6865,171.6036,166.1387,160.9513,153.3103,142.4891,133.1219,122.4902,110.8978,100.2600,93.0868,85.2207,80.4313,76.2414,74.0274,71.5532,69.3223,67.8198,67.4892,62.7639,58.7541,52.8589,47.9537,42.1489,33.8927,26.9132,18.1165,8.7128,0.0000,0.0000,-5.9473
65,0.5000,SpendAwareDPRebalance (R65-aware),1.6600,15084.0088,250.3945,spend75p,253.0024,267.2173,282.4411,299.0887,317.1453,336.0857,356.9071,377.4918,398.9937,421.4736,444.6119,467.5697,486.0068,506.1291,523.0817,538.9700,551.6480,566.9581,582.0541,589.3251,559.6889,567.2428,578.4700,586.7517,594.9304,272.7280,269.5095,263.7619,258.5483,249.3246,235.1636,223.4310,210.8902,201.3617,194.5267,188.2882,186.1061,181.7622,180.6010,179.1462,182.2187,183.3150,184.7491,187.0169,188.1064,187.8450,184.7119,181.4116,177.8463,170.9589,163.5420,154.0184,147.6521,134.8147,119.1778
65,0.5000,SpendAwareDPRebalance (R65-aware),1.8000,13910.8081,250.3945,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9990,0.9990,0.9985,0.9980,0.9980,0.9980,0.9970,0.9940,0.9930,0.9920,0.9905,0.9875,0.9845,0.9820,0.9800,0.9790,0.9785,0.9760,0.9740,0.9715,0.9690,0.9680,0.9660,0.9640,0.9620,0.9610,0.9595,0.9575,0.9555,0.9540,0.9515,0.9485,0.9475,0.9455
65,0.5000,SpendAwareDPRebalance (R65-aware),1.8000,13910.8081,250.3945,spend25p,252.6931,259.4700,266.1696,272.3881,279.1763,285.5008,292.0799,300.1872,307.2179,312.2005,317.5820,321.9614,325.5504,328.7092,333.1027,335.8380,336.2392,336.6600,335.6733,334.1718,311.8490,310.0704,307.8172,310.0572,308.0169,102.4318,96.3872,89.5346,80.3304,71.0466,61.8796,52.6158,42.7113,33.4134,24.4815,16.7696,11.1485,5.3906,1.4250,0.0000,-0.3022,-4.8337,-8.8557,-10.9493,-15.1776,-19.8179,-25.3393,-30.7097,-37.5612,-45.1877,-52.8835,-62.1416,-71.3487,-80.9664,-90.6674
