pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
65,0.5000,SpendAwareDPRebalance (R65-aware),1.5000,16692.9697,250.3945,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9995,0.9990,0.9990,0.9990,0.9990,0.9985,0.9985,0.9985,0.9985,0.9980,0.9980,0.9980,0.9980,0.9980,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975
65,0.5000,SpendAwareDPRebalance (R65-aware),1.5000,16692.9697,250.3945,spend25p,250.5060,254.6860,258.4409,262.3834,265.8682,270.1113,274.1916,278.8020,281.9625,284.4865,285.9840,287.9415,288.7265,289.7927,291.5044,290.5119,288.0048,285.9390,283.2990,279.4799,253.6730,248.9779,247.0228,245.7607,241.3255,33.9036,25.6966,16.9275,7.4250,-1.8920,-12.4405,-23.0709,-33.9879,-44.5993,-54.5354,-62.9096,-71.3178,-78.9335,-85.6316,-92.7346,-100.2774,-107.2217,-114.3299,-122.6073,-132.2661,-142.0512,-152.4734,-164.7140,-178.3165,-193.9936,-210.5410,-229.9795,-249.9587,-271.9017,-296.4543
65,0.5000,SpendAwareDPRebalance (R65-aware),1.5000,16692.9697,250.3945,spend50p,252.3443,260.1265,268.3098,276.8258,285.7399,295.0718,304.7472,314.7011,324.9372,334.2999,341.8930,349.5650,357.7738,364.4332,370.0299,370.6299,369.8446,367.4301,367.7762,368.0478,338.0683,337.2143,334.5284,334.3761,332.9074,78.4868,69.3496,60.1240,48.8923,36.7105,24.1272,10.8601,-1.9190,-13.9205,-25.5350,-36.1516,-45.9475,-54.7739,-63.3751,-71.9321,-79.9803,-88.2462,-96.1816,-104.5791,-112.8810,-122.0185,-132.5203,-143.5365,-155.8692,-168.8350,-183.6128,-198.6773,-214.9657,-232.2951,-251.2228
65,0.5000,SpendAwareDPRebalance (R65-aware),1.5000,16692.9697,250.3945,spend75p,254.1081,265.4947,278.5743,291.6772,305.9222,322.3535,339.3939,355.0525,372.6618,389.0346,406.6716,423.0781,436.5921,448.8549,461.0631,469.9359,477.5849,487.8583,491.8612,495.9540,459.2387,462.7768,466.4670,468.4468,470.8464,144.2516,134.7347,122.6438,111.7581,97.2615,80.1926,63.5791,46.7568,31.9844,16.9952,3.2447,-7.6546,-18.6525,-28.8349,-38.9249,-48.3664,-58.6449,-68.1089,-77.1001,-88.0097,-99.5857,-111.9647,-122.7376,-133.8574,-145.5449,-157.7712,-171.4351,-185.4860,-200.7616,-216.2939
65,0.5000,SpendAwareDPRebalance (R65-aware),1.6600,15084.0088,250.3945,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9990,0.9990,0.9985,0.9980,0.9980,0.9980,0.9975,0.9975,0.9970,0.9965,0.9960,0.9955,0.9955,0.9950,0.9950,0.9950,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945
65,0.5000,SpendAwareDPRebalance (R65-aware),1.6600,15084.0088,250.3945,spend25p,250.5060,254.6860,258.4409,262.3834,265.8682,270.1113,274.1916,278.8020,281.9625,284.4865,285.9840,287.9415,288.7265,289.7927,291.5044,290.5119,288.0048,285.9390,283.2990,279.4799,253.6730,248.9779,247.0228,245.7607,241.3255,33.9036,25.6751,16.5509,7.3867,-1.8920,-12.4405,-23.0709,-33.9879,-44.5993,-54.5354,-62.9096,-71.3178,-78.9335,-85.6316,-92.7346,-100.2774,-107.2217,-114.3299,-122.6073,-132.2661,-142.0512,-152.4734,-164.7140,-178.3165,-193.9936,-210.6648,-229.9795,-249.9587,-271.9017,-296.1704
65,0.5000,SpendAwareDPRebalance (R65-aware),1.6600,15084.0088,250.3945,spend50p,252.3443,260.1265,268.3098,276.8258,285.7399,295.0718,304.7472,314.7011,324.9372,334.2999,341.8930,349.5650,357.7738,364.4332,370.0299,370.6299,369.8446,367.4301,367.7762,368.0478,338.0683,337.2143,334.5284,334.3761,332.9074,78.4868,69.1546,60.0335,48.7845,36.6662,23.9905,10.6450,-1.9190,-13.9205,-25.5350,-36.1516,-45.9475,-54.7739,-63.3751,-71.9321,-79.9803,-88.2462,-96.1816,-104.5791,-112.8810,-122.0185,-132.5203,-143.5877,-155.9130,-168.8662,-183.6128,-198.6773,-214.9404,-232.0377,-251.1042
65,0.5000,SpendAwareDPRebalance (R65-aware),1.6600,15084.0088,250.3945,spend75p,254.1081,265.4947,278.5743,291.6772,305.9222,322.3535,339.3939,355.0525,372.6618,389.0346,406.6716,423.0781,436.5921,448.8549,461.0631,469.9359,477.5849,487.8583,491.8612,495.9540,459.2387,462.7768,466.4670,468.4468,470.8464,144.2516,133.9734,122.3695,111.6199,96.3252,79.8771,63.1753,46.1625,31.6668,16.2382,2.7553,-7.6546,-18.6525,-28.8349,-38.9249,-48.3664,-58.6449,-68.1089,-77.1001,-88.0097,-99.6909,-111.9766,-122.7940,-133.8711,-145.6402,-157.7712,-171.3896,-185.1860,-200.6513,-216.1711
65,0.5000,SpendAwareDPRebalance (R65-aware),1.8000,13910.8081,250.3945,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9995,0.9985,0.9980,0.9975,0.9970,0.9965,0.9955,0.9950,0.9945,0.9945,0.9930,0.9930,0.9925,0.9925,0.9925,0.9925,0.9920,0.9920,0.9915,0.9915,0.9915,0.9910,0.9910,0.9910,0.9910,0.9910,0.9910,0.9910,0.9910,0.9910,0.9910,0.9910
65,0.5000,SpendAwareDPRebalance (R65-aware),1.8000,13910.8081,250.3945,spend25p,250.5060,254.6860,258.4409,262.3834,265.8682,270.1113,274.1916,278.8020,281.9625,284.4865,285.9840,287.9415,288.7265,289.7927,291.5044,290.5119,288.0048,285.9390,283.2990,279.4799,253.6730,248.9779,246.9923,245.6395,241.1197,33.5692,25.4963,16.2516,7.2491,-1.8920,-12.4405,-23.0709,-33.9879,-44.5993,-54.5354,-62.9096,-71.3178,-78.9335,-85.6316,-92.7346,-100.2774,-107.2217,-114.3299,-122.5621,-132.1832,-142.0187,-152.4093,-164.5738,-178.2338,-193.6728,-210.2944,-229.5122,-249.6155,-271.2474,-295.9861
