household_size,pension_start_age,spend_multiplier,use_dynamic_spending,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1,60,0.36,0,2.5,8189.279999999999,204.73199999999997,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,60,0.36,0,2.5,8189.279999999999,204.73199999999997,spend25p,205.13846836807036,205.81450894722082,205.62116026007905,204.97506029213497,204.1409141689697,201.09914853082006,195.9868256575538,192.14657653675715,188.38696253993237,185.27541070721026,28.35116693526664,22.75233375447295,17.531701377490833,12.52535793277793,7.7757328250415965,2.6800649496519013,-2.6281999008519628,-8.081724016736986,-13.95182739073888,-20.28259055332539,-26.458039770171165,-33.138630432502715,-39.464480932951936,-45.539709589182834,-51.355546374524565,-56.85413190490301,-62.22630228288875,-67.58113065399168,-72.6388067699925,-77.98463768383397,-83.04831836217775,-88.57653860386213,-94.83297004735792,-101.60223219597711,-109.0533010313857,-117.7542575039248,-127.30240613603843,-137.40402495402216,-147.36300843519882,-159.0195138810775,-168.9263642101248,-182.62151172970616,-196.11380101646986,-210.5125954902901,-225.75766921420785
1,60,0.36,0,2.5,8189.279999999999,204.73199999999997,spend50p,206.47118109017097,210.19451059134585,213.66885104191226,216.45298046565568,218.47950298785094,219.37536408702732,220.2848765675488,220.7069924290826,219.34171779681688,217.74252678797288,41.044811903681975,36.19744027483728,31.159068010070303,26.285165424787316,20.914944244938486,15.730423455511986,9.681023195377822,3.3755098239457766,-3.20884221387563,-10.39845822128904,-17.942932601904104,-25.79274859292869,-33.3950003573249,-40.23715440738915,-46.62304924265827,-52.16154158468278,-57.04868424021094,-62.21425008985683,-66.97801268171463,-71.82802205865778,-76.26813810799962,-80.87001192918201,-85.79177241547382,-91.26530961228553,-97.04672362007781,-103.16590413282668,-109.81167396920972,-117.43153583195436,-125.55462205814335,-133.65014664412092,-143.48005450031314,-152.98426105890422,-162.9681190880849,-173.7461611714741,-184.74653471833903
1,60,0.36,0,2.5,8189.279999999999,204.73199999999997,spend75p,207.86140879881998,214.64505453844754,222.32454109845696,229.0945088214617,235.1673987674142,242.22778561670106,245.8637888661358,250.18126607287567,253.1411947113973,256.6589623339994,54.914772496981676,50.31068526394897,45.987704641955716,41.09403049321755,36.81796054648424,31.542710487838207,25.571006988536986,19.119758326870098,11.471438425867163,2.613888057616604,-6.371249587487534,-15.641418724427298,-24.87498418395476,-32.938942062521896,-40.83339483211733,-47.389495779035535,-52.855089181521855,-58.111918642705234,-62.52068231524896,-66.64476899561049,-70.42954874436495,-74.4680511038352,-78.86753843214541,-83.25440074812869,-88.20555119625554,-93.45725736255413,-98.86371270219914,-104.4165465805675,-109.84645776650808,-116.23393451852814,-123.31753687019022,-130.26913771083707,-136.8672274510987,-144.78477178494944,-152.42035188056224
1,60,0.36,0,3.0,6824.4,204.73199999999997,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
1,60,0.36,0,3.0,6824.4,204.73199999999997,spend25p,205.13846836807036,205.81450894722082,205.62116026007905,204.97506029213497,204.1409141689697,201.09914853082006,195.9868256575538,192.14657653675715,188.38696253993237,185.27541070721026,28.35116693526664,22.75233375447295,17.531701377490833,12.52535793277793,7.7757328250415965,2.6800649496519013,-2.6281999008519628,-8.081724016736986,-13.95182739073888,-20.28259055332539,-26.458039770171165,-33.138630432502715,-39.464480932951936,-45.539709589182834,-51.355546374524565,-56.85413190490301,-62.22630228288875,-67.58113065399168,-72.6388067699925,-77.98463768383397,-83.04831836217775,-88.57653860386213,-94.83297004735792,-101.60223219597711,-109.0533010313857,-117.7542575039248,-127.30240613603843,-137.40402495402216,-147.36300843519882,-159.0195138810775,-168.9263642101248,-182.62151172970616,-196.11380101646986,-210.3290060188401,-225.54700993532305
1,60,0.36,0,3.0,6824.4,204.73199999999997,spend50p,206.47118109017097,210.19451059134585,213.66885104191226,216.45298046565568,218.47950298785094,219.37536408702732,220.2848765675488,220.7069924290826,219.34171779681688,217.74252678797288,41.044811903681975,36.19744027483728,31.159068010070303,26.285165424787316,20.914944244938486,15.730423455511986,9.681023195377822,3.3755098239457766,-3.20884221387563,-10.39845822128904,-17.942932601904104,-25.79274859292869,-33.3950003573249,-40.23715440738915,-46.62304924265827,-52.16154158468278,-57.04868424021094,-62.21425008985683,-66.97801268171463,-71.82802205865778,-76.26813810799962,-80.87001192918201,-85.79177241547382,-91.26530961228553,-97.04672362007781,-103.16590413282668,-109.81167396920972,-117.43153583195436,-125.55462205814335,-133.63895635378816,-143.39894602087003,-152.9110033508751,-162.6077716822983,-173.53195960404724,-184.41064624836753
1,60,0.36,0,3.0,6824.4,204.73199999999997,spend75p,207.86140879881998,214.64505453844754,222.32454109845696,229.0945088214617,235.1673987674142,242.22778561670106,245.8637888661358,250.18126607287567,253.1411947113973,256.6589623339994,54.914772496981676,50.31068526394897,45.987704641955716,41.09403049321755,36.81796054648424,31.542710487838207,25.571006988536986,19.119758326870098,11.471438425867163,2.5834447816105834,-6.371249587487534,-15.641418724427298,-24.87498418395476,-32.938942062521896,-40.83339483211733,-47.389495779035535,-52.855089181521855,-58.111918642705234,-62.52068231524896,-66.64476899561049,-70.42954874436495,-74.4680511038352,-78.86753843214541,-83.25440074812869,-88.20555119625554,-93.45725736255413,-98.85319903300838,-104.35390538005967,-109.81407032840941,-116.18640763484699,-123.25225940752941,-130.1190772644473,-136.80773274392408,-144.66035344575135,-152.40575411265013
1,60,0.36,0,4.0,5118.299999999999,204.73199999999997,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998,0.997,0.997,0.996,0.995,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993
1,60,0.36,0,4.0,5118.299999999999,204.73199999999997,spend25p,205.13846836807036,205.81450894722082,205.62116026007905,204.97506029213497,204.1409141689697,201.09914853082006,195.9868256575538,192.14657653675715,188.3124614690254,184.63117799840762,28.29647340507887,22.55907896314327,17.16384503725993,12.039232927759677,7.425767220905378,2.405749133666761,-2.6281999008519628,-8.081724016736986,-13.918741807992614,-20.22510206433725,-26.395523576115707,-32.99591618992067,-39.43331751038131,-45.53249033575963,-51.30857698659374,-56.80977766341098,-62.18010892757855,-67.44878869099391,-72.5512098004787,-77.9328434796748,-82.97206823134506,-88.49702589479196,-94.72011196371388,-101.39509836089073,-108.74112367483679,-117.61537652000649,-127.21990814203893,-137.1902490042462,-146.93207957668287,-158.59036097802513,-168.8954791197708,-181.88951241743231,-195.97913508092296,-209.997743585023,-225.3624126525517
1,60,0.36,0,4.0,5118.299999999999,204.73199999999997,spend50p,206.47118109017097,210.19451059134585,213.66885104191226,216.45298046565568,218.47950298785094,219.37536408702732,220.2848765675488,220.7069924290826,219.23948032289238,217.6034377348299,40.94663661651635,36.09229306381293,30.956136336991378,26.1339354939334,20.722442540552386,15.442617629589671,9.499741484095143,3.215379795228878,-3.0590090100638756,-10.25196024374852,-17.85144220483881,-25.7327365079908,-33.23757645075394,-40.15952792363503,-46.563590393960624,-52.10267406276867,-56.98773835398899,-62.16328324857749,-66.92773026603567,-71.69757883809442,-76.1493953990085,-80.73872886996142,-85.68667426340133,-91.16078220700547,-96.92656383217704,-103.08697171691286,-109.5693613016746,-117.31621366660208,-125.33678026401444,-133.42736036475253,-142.92714468191684,-152.70156653780163,-162.26735947655902,-172.82017793219975,-183.52689359254904
1,60,0.36,0,4.0,5118.299999999999,204.73199999999997,spend75p,207.86140879881998,214.64505453844754,222.32454109845696,229.0945088214617,235.1673987674142,242.22778561670106,245.8637888661358,250.18126607287567,253.1411947113973,256.6589623339994,54.914772496981676,50.269920705685685,45.96916261885972,40.73684214060475,36.27148975098654,31.277140162824036,25.15030265174688,18.67258309308091,11.295066837634263,2.5219408693132923,-6.246196977613498,-15.425838953288686,-24.78197311724048,-32.749752129645785,-40.59115832760855,-47.27393459262008,-52.806258255065146,-58.032925943725395,-62.444792755089395,-66.53394757339538,-70.33431455812715,-74.35976167695802,-78.39829699051225,-83.18883247019667,-88.06942959124788,-93.15304171712263,-98.6760186982677,-104.14753161483297,-109.59691333872598,-115.57331483109535,-122.53208578694766,-129.71382775809587,-136.51795402058798,-144.1223301835722,-151.7936403012822
1,60,0.36,0,5.0,4094.6399999999994,204.73199999999997,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998,0.996,0.989,0.988,0.987,0.986,0.986,0.985,0.983,0.98,0.979,0.978,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977
1,60,0.36,0,5.0,4094.6399999999994,204.73199999999997,spend25p,205.13846836807036,205.81450894722082,205.62116026007905,204.97506029213497,204.1409141689697,201.09914853082006,195.9868256575538,191.8421378902309,188.16384351853037,183.40893263443667,27.65566880175123,22.16605706274148,16.506399234725976,11.565874785103134,7.012462644567629,1.7523601235543689,-2.536498941224843,-7.967180042313655,-13.868917729427501,-20.159081306002392,-26.30510004737579,-32.97071950757087,-39.43331751038131,-45.525721741699066,-51.19132572237338,-56.736217477647536,-62.11319115750882,-67.35974092456772,-72.43575839602937,-77.70496090286277,-82.74727714592777,-88.3568962218362,-94.3759807449951,-101.18307727388608,-108.510539418605,-116.99091894784357,-126.85782901080711,-136.35089194205972,-146.46460346460006,-157.50986945734593,-168.00307131172508,-180.27262729034584,-194.42330722556466,-208.8135714621556,-223.59108353877934
1,60,0.36,0,5.0,4094.6399999999994,204.73199999999997,spend50p,206.47118109017097,210.19451059134585,213.66885104191226,216.45298046565568,218.47950298785094,219.37536408702732,220.2848765675488,220.65571198113315,219.14386906452896,217.0519369512914,40.63226206728169,35.529999200967794,30.45896701399076,25.694290464618987,20.601647988459042,14.759694145212965,9.034257699923206,2.6872003859374525,-2.992026346126722,-10.13784403216184,-17.802099955600426,-25.674009373517926,-33.14774344408706,-40.12209920358074,-46.5216128979302,-52.064934155125556,-56.92548969304939,-62.051889055578066,-66.64183623101147,-71.45860470087393,-75.67400064670437,-80.53491446971788,-85.21951120137055,-90.66589170762768,-96.556368755021,-102.56812153002721,-109.10729410198871,-116.6415374033704,-124.35789837065863,-132.48288464642727,-141.79058266615812,-151.29399781947197,-160.42728424157104,-170.5491213640014,-181.4667200079199
