pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
60,0.5000,DynamicV1Rebalance,2.5000,11910.8137,297.7703,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9998,0.9998,0.9996,0.9996,0.9996,0.9994,0.9992,0.9992,0.9992,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9986,0.9986,0.9984,0.9982,0.9982,0.9982,0.9982,0.9982,0.9982,0.9982,0.9982
60,0.5000,DynamicV1Rebalance,2.5000,11910.8137,297.7703,spend25p,298.0783,299.1100,298.7967,297.2699,294.2189,289.8509,284.7748,278.9718,272.2693,265.3617,106.9908,100.6745,94.2393,87.7694,81.5320,75.2468,69.0509,62.3247,54.8067,46.8843,38.6798,30.7273,23.0418,16.0426,9.8060,4.6292,-0.3253,-4.5661,-9.0450,-12.8939,-16.2490,-19.8580,-23.6023,-27.5338,-31.7850,-36.4180,-41.5178,-46.9337,-52.6261,-58.4396,-65.0273,-71.5812,-78.3298,-85.7572,-93.8805
60,0.5000,DynamicV1Rebalance,2.5000,11910.8137,297.7703,spend50p,300.1571,305.4151,310.0398,313.4254,315.9677,316.6997,316.6496,315.8976,313.7621,311.7408,135.2712,129.5480,124.6261,120.0508,114.8004,109.5301,103.2813,96.4813,88.4584,79.9528,71.3224,62.6126,53.4574,45.2388,38.5667,32.3606,27.4412,22.6394,18.6505,14.9290,11.2768,7.5557,4.0064,0.0000,-4.3249,-9.5055,-15.2255,-21.6581,-28.3216,-36.1279,-43.6021,-52.0892,-60.9839,-69.4084,-78.4284
60,0.5000,DynamicV1Rebalance,2.5000,11910.8137,297.7703,spend75p,302.2251,311.7827,321.8687,330.9755,339.7043,346.5610,352.7705,357.1286,362.0281,365.0605,167.2708,163.9311,160.2324,156.9599,154.0697,149.5984,145.6056,139.7358,133.0445,124.9320,115.9749,105.8625,96.1135,87.4538,79.7540,72.8803,66.7729,61.9761,57.7765,54.4482,51.6771,48.0529,44.9668,41.6301,37.3461,32.5090,26.8679,19.2901,11.3889,2.0123,-6.5661,-16.3186,-27.7284,-39.0197,-51.3570
60,0.5000,DynamicV1Rebalance,3.0000,9925.6781,297.7703,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9996,0.9996,0.9994,0.9992,0.9990,0.9988,0.9986,0.9982,0.9976,0.9976,0.9974,0.9974,0.9970,0.9962,0.9958,0.9958,0.9956,0.9956,0.9956,0.9950,0.9948,0.9948,0.9942,0.9940,0.9938,0.9936,0.9934,0.9932,0.9932,0.9930,0.9930,0.9930,0.9930,0.9930,0.9930,0.9930
60,0.5000,DynamicV1Rebalance,3.0000,9925.6781,297.7703,spend25p,298.0783,299.1100,298.7967,297.2699,294.2189,289.8509,284.7748,278.9718,272.2693,265.3052,106.9057,100.5814,94.1846,87.6982,81.4416,75.1219,68.9274,62.0492,54.5540,46.7538,38.4748,30.4769,22.6437,15.7336,9.5236,4.2592,-0.3037,-4.5100,-9.0337,-12.8610,-16.2406,-19.8480,-23.5860,-27.4846,-31.7834,-36.4090,-41.4806,-46.9233,-52.6077,-58.4283,-65.0239,-71.5695,-78.3098,-85.7527,-93.8414
60,0.5000,DynamicV1Rebalance,3.0000,9925.6781,297.7703,spend50p,300.1571,305.4151,310.0398,313.4254,315.9677,316.6997,316.6496,315.8976,313.7621,311.7040,135.2140,129.4665,124.5699,120.0057,114.7661,109.4304,103.1425,96.3372,88.3695,79.8164,71.1542,62.4353,53.0036,44.9687,38.2190,32.0849,26.9186,22.2286,18.3256,14.2922,10.8006,7.2145,3.4434,0.0000,-4.2002,-9.4111,-15.1548,-21.6247,-28.2588,-36.0858,-43.5808,-52.0480,-60.9495,-69.3818,-78.3962
60,0.5000,DynamicV1Rebalance,3.0000,9925.6781,297.7703,spend75p,302.2251,311.7827,321.8687,330.9755,339.7043,346.5610,352.7705,357.1286,362.0281,365.0250,167.1857,163.8375,160.1684,156.9397,153.9820,149.5503,145.2688,139.5163,132.6064,124.6403,115.8423,105.5390,95.7810,87.0001,79.3947,72.3504,66.5926,61.6902,57.4482,54.1108,51.3457,47.5497,44.2181,40.8198,36.5331,32.0062,26.0357,18.7218,10.6174,1.6145,-5.9397,-15.8786,-27.2802,-38.6484,-50.9758
60,0.5000,DynamicV1Rebalance,4.0000,7444.2586,297.7703,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9988,0.9980,0.9974,0.9966,0.9950,0.9936,0.9918,0.9906,0.9878,0.9862,0.9834,0.9818,0.9786,0.9758,0.9732,0.9718,0.9696,0.9680,0.9668,0.9654,0.9646,0.9636,0.9628,0.9628,0.9624,0.9616,0.9608,0.9606,0.9604,0.9594,0.9586,0.9584,0.9584,0.9582,0.9582,0.9580,0.9580
60,0.5000,DynamicV1Rebalance,4.0000,7444.2586,297.7703,spend25p,298.0783,299.1100,298.7967,297.2699,294.2189,289.8509,284.7748,278.9718,272.0175,265.0516,106.7305,100.1588,93.5035,86.9425,80.4816,73.9637,67.3483,60.4023,52.4472,44.5268,36.1198,27.6997,20.0031,13.0853,6.9557,1.4537,-0.1759,-4.2952,-8.7714,-12.6990,-15.9704,-19.5954,-23.3307,-27.2117,-31.5877,-36.2065,-41.2733,-46.5581,-52.2821,-58.2667,-64.8113,-71.3566,-78.1442,-85.4662,-93.5774
60,0.5000,DynamicV1Rebalance,4.0000,7444.2586,297.7703,spend50p,300.1571,305.4151,310.0398,313.4254,315.9677,316.6997,316.6496,315.8976,313.5853,311.5331,135.0222,129.1677,124.1651,119.4908,114.0869,108.4267,102.0113,94.8939,86.4030,78.0560,69.0701,59.5627,50.2412,42.4271,35.5337,29.6241,24.2629,19.3251,15.0110,11.2356,7.4282,3.6724,0.0210,0.0000,-3.5009,-8.8946,-14.5707,-20.9320,-27.7512,-35.3643,-42.7990,-51.3912,-60.0495,-68.7206,-77.7378
60,0.5000,DynamicV1Rebalance,4.0000,7444.2586,297.7703,spend75p,302.2251,311.7827,321.8687,330.9755,339.7043,346.5610,352.7705,357.1286,361.7804,364.7768,167.0498,163.6479,159.8785,156.4996,153.4347,148.8012,143.5402,137.5353,130.2723,122.6298,112.9795,102.8053,92.6428,83.2093,75.4964,68.1483,62.0129,57.5952,53.0556,49.8648,46.3736,43.7283,40.1397,36.3481,31.9188,25.8508,19.9922,13.2040,5.5233,0.0000,-2.3339,-12.1467,-23.8624,-36.1782,-48.4730
60,0.5000,DynamicV1Rebalance,5.0000,5955.4069,297.7703,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9996,0.9986,0.9970,0.9922,0.9890,0.9852,0.9810,0.9754,0.9686,0.9618,0.9536,0.9466,0.9400,0.9342,0.9310,0.9264,0.9230,0.9206,0.9180,0.9142,0.9102,0.9084,0.9066,0.9050,0.9036,0.9008,0.8996,0.8986,0.8978,0.8970,0.8968,0.8966,0.8962,0.8954,0.8950,0.8942,0.8940,0.8940,0.8938
60,0.5000,DynamicV1Rebalance,5.0000,5955.4069,297.7703,spend25p,298.0783,299.1100,298.7967,297.2699,294.2189,289.8509,284.7518,278.6793,271.6949,264.3621,106.1646,98.7373,91.5827,84.5809,77.4439,70.6329,63.0178,54.8472,46.3638,37.5379,29.6706,21.9459,14.1303,7.0182,0.8497,0.0000,0.0000,-3.8360,-8.1933,-12.1741,-15.3918,-18.9014,-22.6709,-26.6828,-30.9038,-35.7771,-40.6455,-45.9127,-51.4807,-57.6286,-64.0760,-70.7204,-77.4469,-84.7904,-92.7606
60,0.5000,DynamicV1Rebalance,5.0000,5955.4069,297.7703,spend50p,300.1571,305.4151,310.0398,313.4254,315.9677,316.6997,316.6055,315.7835,313.2491,310.9524,134.2014,128.1582,122.9000,117.7743,111.6387,105.4948,98.3929,90.0526,81.8786,72.5149,62.7892,53.6605,45.1767,37.4144,30.5913,24.5546,18.8435,14.0321,9.6316,5.9289,2.1607,0.0000,0.0000,0.0000,-1.1235,-6.4824,-12.3848,-18.5294,-25.6763,-32.8115,-40.7936,-48.9957,-57.7770,-66.8903,-75.8421
60,0.5000,DynamicV1Rebalance,5.0000,5955.4069,297.7703,spend75p,302.2251,311.7827,321.8687,330.9755,339.7043,346.5610,352.7645,357.0230,361.2722,363.8694,166.0633,162.6419,158.5840,154.2136,150.4728,145.5004,138.7271,132.4834,125.1824,116.3102,106.5552,96.9423,86.8175,77.5423,69.6532,62.3046,56.0432,51.3408,46.9526,42.9778,39.1885,36.2265,31.9297,27.6222,23.0390,18.4433,12.4056,6.2059,0.0000,0.0000,0.0000,-1.3209,-13.0425,-25.8722,-38.7691
60,0.5000,DynamicV1Rebalance,6.0000,4962.8391,297.7703,survival,1.0000,1.0000,1.0000,1.0000,1.0000,0.9998,0.9992,0.9956,0.9886,0.9736,0.9654,0.9534,0.9410,0.9316,0.9196,0.9082,0.8976,0.8890,0.8806,0.8704,0.8622,0.8518,0.8456,0.8406,0.8362,0.8310,0.8282,0.8232,0.8206,0.8192,0.8168,0.8134,0.8118,0.8094,0.8088,0.8080,0.8076,0.8066,0.8064,0.8060,0.8058,0.8054,0.8054,0.8050,0.8050
60,0.5000,DynamicV1Rebalance,6.0000,4962.8391,297.7703,spend25p,298.0783,299.1100,298.7967,297.2699,294.2189,289.8245,284.7378,278.2800,270.1723,261.5854,103.4427,95.2609,86.7516,79.2168,71.0452,62.7131,54.3541,45.3875,37.0010,28.0803,18.9291,9.9591,2.4585,0.0000,0.0000,0.0000,0.0000,-2.8823,-7.1574,-11.2284,-14.5699,-17.9133,-21.4668,-25.5154,-29.8184,-34.6459,-39.3289,-44.8912,-50.4986,-56.6994,-63.1219,-69.5464,-76.3922,-83.8439,-91.5546
