pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
70,0.7500,SpendAwareDPRebalance (R70-aware),2.3800,18315.3578,435.9055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),2.3800,18315.3578,435.9055,spend25p,435.9308,438.4389,438.0103,435.7995,431.6739,425.3373,417.0539,409.4567,397.9179,388.2884,358.6760,354.3386,348.4523,341.3484,334.5008,328.9055,321.1082,316.1787,308.6319,300.9051,-1.3727,-14.6578,-27.9620,-37.7470,-47.1104,-55.4207,-63.0815,-70.2090,-75.7905,-81.6104,-87.0725,-92.9411,-99.1581,-105.9421,-112.4380,-120.0775,-128.5898,-136.4231,-146.5349,-156.9931,-168.7543,-182.2628,-196.4751,-213.6590,-232.6474
70,0.7500,SpendAwareDPRebalance (R70-aware),2.3800,18315.3578,435.9055,spend50p,436.0790,444.5250,451.6956,456.1691,460.1214,461.8889,461.1147,460.7959,459.9306,455.3728,429.3079,427.4333,427.7780,427.0962,425.8005,422.5883,417.9385,413.0280,407.6738,401.5018,31.0141,16.2676,1.3675,-10.1123,-21.0305,-30.2801,-38.4653,-46.9091,-52.5026,-58.1014,-63.6930,-69.4147,-75.6798,-82.2932,-89.7032,-97.6172,-105.9088,-115.6432,-125.4464,-136.1126,-147.8652,-160.1549,-172.8702,-186.8855,-201.9160
70,0.7500,SpendAwareDPRebalance (R70-aware),2.3800,18315.3578,435.9055,spend75p,436.2312,450.6342,465.1992,479.2574,491.8031,500.6519,510.0060,517.6497,523.2387,528.9321,505.3060,510.3828,514.6572,519.0900,526.2791,529.3905,531.0949,537.2092,541.6577,541.1739,75.8251,58.0325,39.2338,24.6670,12.8698,1.9498,-6.6975,-12.9428,-20.3450,-25.5949,-31.1392,-35.0184,-41.0555,-47.5579,-54.5719,-62.8846,-72.1575,-82.8648,-94.5523,-108.0289,-121.7736,-135.6259,-148.8604,-163.0835,-177.7116
70,0.7500,SpendAwareDPRebalance (R70-aware),2.5000,17436.2206,435.9055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),2.5000,17436.2206,435.9055,spend25p,435.9308,438.4389,438.0103,435.7995,431.6739,425.3373,417.0539,409.4567,397.9179,388.2884,358.6760,354.3386,348.4523,341.3484,334.5008,328.9055,321.1082,316.1787,308.6319,300.9051,-1.3727,-14.6578,-27.9620,-37.7470,-47.1104,-55.4207,-63.0815,-70.2090,-75.7905,-81.6104,-87.0725,-92.9411,-99.1581,-105.9421,-112.4380,-120.0775,-128.5898,-136.4231,-146.5349,-156.9931,-168.7543,-182.2628,-196.4751,-213.7724,-232.6681
70,0.7500,SpendAwareDPRebalance (R70-aware),2.5000,17436.2206,435.9055,spend50p,436.0790,444.5250,451.6956,456.1691,460.1214,461.8889,461.1147,460.7959,459.9306,455.3728,429.3079,427.4333,427.7780,427.0962,425.8005,422.5883,417.9385,413.0280,407.6738,401.5018,31.0141,16.2676,1.3675,-10.1123,-21.0305,-30.2801,-38.4653,-46.9091,-52.5026,-58.1014,-63.6930,-69.4147,-75.6798,-82.3100,-89.8118,-97.6172,-105.9866,-115.6432,-125.4464,-136.1126,-147.8652,-160.1549,-172.9474,-187.0175,-201.9891
70,0.7500,SpendAwareDPRebalance (R70-aware),2.5000,17436.2206,435.9055,spend75p,436.2312,450.6342,465.1992,479.2574,491.8031,500.6519,510.0060,517.6497,523.2387,528.9321,505.3060,510.3828,514.6572,519.0900,526.2791,529.3905,531.0949,537.2092,541.6577,541.1739,75.8251,58.0325,39.2338,24.6670,12.8698,1.9498,-6.6975,-12.9428,-20.3450,-25.5949,-31.1392,-35.0184,-41.0555,-47.5579,-54.5719,-62.9967,-72.1575,-82.8648,-94.5523,-108.0289,-121.7736,-135.6523,-148.8961,-163.1721,-177.9224
70,0.7500,SpendAwareDPRebalance (R70-aware),2.8000,15568.0541,435.9055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),2.8000,15568.0541,435.9055,spend25p,435.9308,438.4389,438.0103,435.7995,431.6739,425.3373,417.0539,409.4567,397.9179,388.2884,358.6760,354.3386,348.4523,341.3484,334.5008,328.9055,321.1082,316.1787,308.6319,300.9051,-1.3727,-14.6578,-27.9620,-37.7470,-47.1104,-55.4207,-63.1602,-70.2148,-75.8600,-81.6403,-87.0758,-93.0386,-99.2370,-105.9728,-112.5288,-120.1082,-128.5960,-136.4231,-146.5582,-156.9931,-168.9445,-182.4453,-196.5519,-213.9261,-232.7184
70,0.7500,SpendAwareDPRebalance (R70-aware),2.8000,15568.0541,435.9055,spend50p,436.0790,444.5250,451.6956,456.1691,460.1214,461.8889,461.1147,460.7959,459.9306,455.1189,429.3079,427.4333,427.7780,427.0962,425.8005,422.5883,417.9385,413.0280,407.6738,401.5018,31.0141,16.2439,1.3675,-10.1123,-21.0305,-30.3239,-38.5306,-47.0076,-52.5886,-58.1423,-63.7571,-69.4956,-75.8418,-82.3249,-89.8118,-97.7838,-106.1063,-115.7092,-125.4692,-136.2139,-148.0076,-160.3433,-173.0372,-187.2757,-202.2723
70,0.7500,SpendAwareDPRebalance (R70-aware),2.8000,15568.0541,435.9055,spend75p,436.2312,450.6342,465.1992,479.2574,491.8031,500.6519,510.0060,517.6497,523.2387,528.9321,505.3060,510.3828,514.6572,519.0900,526.2791,529.3905,531.0949,537.2092,541.6577,541.1739,75.8251,58.0325,39.1293,24.6330,12.7768,1.8582,-6.8414,-13.2798,-20.5913,-26.0276,-31.4355,-35.3700,-41.4408,-47.9413,-55.0032,-63.0527,-72.5727,-83.6930,-94.7455,-108.3894,-121.9322,-135.8350,-149.0908,-163.2871,-178.0078
70,0.7500,SpendAwareDPRebalance (R70-aware),3.0000,14530.1838,435.9055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995
