pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
70,0.7500,SpendAwareDPRebalance (R70-aware),2.3800,18315.3578,435.9055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9995,0.9995,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990
70,0.7500,SpendAwareDPRebalance (R70-aware),2.3800,18315.3578,435.9055,spend25p,436.4179,437.9992,437.9839,435.1966,430.9818,425.2021,417.0440,407.5808,397.5320,388.0149,360.3081,355.0581,348.3611,340.8391,334.9373,328.6092,323.0620,318.3820,310.3711,303.3511,-0.4194,-14.2551,-26.7845,-38.4210,-48.6742,-58.4782,-67.5198,-75.5538,-83.1168,-89.8669,-96.8787,-103.8885,-111.3649,-119.7826,-128.1492,-137.1129,-147.5228,-160.0771,-173.2820,-188.5117,-206.4332,-225.1153,-246.3982,-268.7875,-295.9962
70,0.7500,SpendAwareDPRebalance (R70-aware),2.3800,18315.3578,435.9055,spend50p,439.4225,447.4476,454.5757,459.0277,462.8979,464.2187,464.5662,463.7846,461.5601,458.5515,434.2981,430.3523,431.5764,430.4048,427.9493,424.9787,420.5267,415.4721,409.8454,403.9792,35.0020,19.7820,4.1057,-9.3683,-21.8247,-33.1384,-42.9810,-52.2776,-60.7758,-68.7494,-76.0311,-84.0403,-92.6088,-101.5821,-110.6667,-120.2996,-130.5335,-141.9181,-154.1381,-168.3326,-183.1164,-199.0258,-216.8532,-236.4976,-256.8026
70,0.7500,SpendAwareDPRebalance (R70-aware),2.3800,18315.3578,435.9055,spend75p,442.5086,456.8390,471.6522,485.4098,497.8418,507.9901,518.1030,524.0347,530.5875,536.1156,512.2310,517.3800,521.2050,525.6801,531.8518,536.1989,539.6610,546.9974,547.3185,548.4793,81.2723,63.3514,45.1819,28.6696,14.4730,1.1366,-10.7269,-21.0130,-30.2498,-38.6838,-46.7810,-54.8094,-64.8612,-74.9360,-85.5985,-97.4194,-109.5603,-123.2135,-136.9638,-149.9343,-163.6237,-178.6521,-194.2422,-210.8241,-227.8595
70,0.7500,SpendAwareDPRebalance (R70-aware),2.5000,17436.2206,435.9055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9995,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990
70,0.7500,SpendAwareDPRebalance (R70-aware),2.5000,17436.2206,435.9055,spend25p,436.4179,437.9992,437.9839,435.1966,430.9818,425.2021,417.0440,407.5808,397.5320,388.0149,360.3081,355.0581,348.3611,340.8391,334.9373,328.6092,323.0620,318.3820,310.3711,303.3511,-0.4194,-14.2551,-26.7845,-38.4210,-48.6742,-58.4782,-67.5198,-75.5538,-83.1168,-89.8669,-96.8787,-103.8885,-111.3649,-119.7826,-128.1492,-137.1129,-147.5228,-160.0771,-173.2820,-188.5117,-206.4332,-225.1153,-246.3982,-268.7875,-295.9962
70,0.7500,SpendAwareDPRebalance (R70-aware),2.5000,17436.2206,435.9055,spend50p,439.4225,447.4476,454.5757,459.0277,462.8979,464.2187,464.5662,463.7846,461.5601,458.5515,434.2981,430.3523,431.5764,430.4048,427.9493,424.9787,420.5267,415.4721,409.8454,403.9792,35.0020,19.7820,4.1057,-9.3683,-21.8247,-33.1384,-42.9810,-52.2776,-60.7758,-68.7494,-76.0311,-84.0403,-92.6088,-101.5821,-110.6667,-120.2996,-130.5335,-141.9181,-154.1381,-168.3326,-183.1164,-199.0258,-216.8532,-236.4976,-256.8026
70,0.7500,SpendAwareDPRebalance (R70-aware),2.5000,17436.2206,435.9055,spend75p,442.5086,456.8390,471.6522,485.4098,497.8418,507.9901,518.1030,524.0347,530.5875,536.1156,512.2310,517.3800,521.2050,525.6801,531.8518,536.1989,539.6610,546.9974,547.3185,548.4793,81.2723,63.3514,45.1819,28.5676,14.4274,0.9581,-10.7269,-21.0130,-30.2498,-38.6838,-46.7810,-54.8094,-64.8612,-74.9360,-85.5985,-97.4194,-109.5603,-123.2135,-136.9638,-149.9343,-163.6237,-178.6521,-194.2422,-210.8241,-227.8595
70,0.7500,SpendAwareDPRebalance (R70-aware),2.8000,15568.0541,435.9055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9995,0.9990,0.9990,0.9990,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980
70,0.7500,SpendAwareDPRebalance (R70-aware),2.8000,15568.0541,435.9055,spend25p,436.4179,437.9992,437.9839,435.1966,430.9818,425.2021,417.0440,407.5808,397.5320,388.0149,360.3081,355.0581,348.3611,340.8391,334.9373,328.6092,323.0620,318.3820,310.2491,303.0549,-0.4194,-14.2551,-26.7845,-38.4210,-48.6742,-58.4782,-67.5198,-75.5538,-83.1168,-89.8669,-96.8787,-103.8885,-111.3649,-119.7826,-128.1492,-137.1129,-147.5228,-160.0771,-173.2820,-188.5117,-206.4332,-225.1153,-246.2995,-268.6910,-295.6980
