pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
70,0.7500,SpendAwareDPRebalance (R70-aware),2.8000,13332.3401,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),2.8000,13332.3401,373.3055,spend25p,375.1721,367.9985,361.0330,354.1957,346.8498,339.5669,332.6029,325.7117,317.2650,309.1223,13.6892,1.7068,-8.8541,-18.4457,-26.9676,-34.3654,-40.3716,-46.1559,-51.1925,-55.7085,-59.7020,-63.7695,-68.1961,-72.1138,-76.6829,-81.4132,-86.8487,-92.2469,-99.4549,-106.5331,-114.1321,-122.8834,-133.4810,-145.4071,-158.2866
70,0.7500,SpendAwareDPRebalance (R70-aware),2.8000,13332.3401,373.3055,spend50p,375.1721,373.0947,371.4776,369.1953,369.1068,368.4682,366.5090,364.7694,362.0894,357.9003,28.2072,17.1443,6.2709,-4.0105,-12.4333,-19.8634,-27.0825,-32.2611,-37.2435,-41.4790,-45.2833,-48.7940,-52.7710,-56.3772,-60.7754,-65.8403,-71.4851,-78.0621,-85.1496,-92.1393,-100.7504,-109.6146,-119.3529,-130.0656,-141.0821
70,0.7500,SpendAwareDPRebalance (R70-aware),2.8000,13332.3401,373.3055,spend75p,375.1721,378.4251,381.9766,386.5083,391.1808,396.5997,403.3641,410.0295,412.7797,416.2587,43.2039,31.5586,20.8371,10.6651,1.9702,-5.6418,-13.2087,-17.9769,-22.7939,-26.0145,-29.0762,-31.3852,-35.0502,-38.2564,-41.3741,-45.9124,-50.9463,-58.4035,-65.8304,-73.8564,-82.7725,-93.0686,-104.4259,-116.5005,-127.2338
70,0.7500,SpendAwareDPRebalance (R70-aware),3.0000,12443.5174,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),3.0000,12443.5174,373.3055,spend25p,375.1721,367.9985,361.0330,354.1957,346.8498,339.5669,332.6029,325.7117,317.2650,309.1223,13.6892,1.7068,-8.8541,-18.4457,-26.9676,-34.3654,-40.3716,-46.1559,-51.1925,-55.7085,-59.7020,-63.7695,-68.1961,-72.1138,-76.6829,-81.4132,-86.8487,-92.2469,-99.4549,-106.5331,-114.1321,-122.8834,-133.4810,-145.4071,-158.2866
70,0.7500,SpendAwareDPRebalance (R70-aware),3.0000,12443.5174,373.3055,spend50p,375.1721,373.0947,371.4776,369.1953,369.1068,368.4682,366.5090,364.7694,362.0894,357.9003,28.2072,17.1443,6.2709,-4.0105,-12.4333,-19.8634,-27.0825,-32.2611,-37.2435,-41.4790,-45.2833,-48.7940,-52.7710,-56.3772,-60.7754,-65.8403,-71.4851,-78.0621,-85.1496,-92.1393,-100.7504,-109.6146,-119.3529,-130.0656,-141.0821
70,0.7500,SpendAwareDPRebalance (R70-aware),3.0000,12443.5174,373.3055,spend75p,375.1721,378.4251,381.9766,386.5083,391.1808,396.5997,403.3641,410.0295,412.7797,416.2587,43.2039,31.5586,20.8371,10.6651,1.9702,-5.6418,-13.2087,-17.9769,-22.7939,-26.0145,-29.0762,-31.3852,-35.0502,-38.2564,-41.3741,-45.9124,-50.9463,-58.4035,-65.8304,-73.8564,-82.7725,-93.0686,-104.4259,-116.5005,-127.2338
70,0.7500,SpendAwareDPRebalance (R70-aware),3.3300,11210.3761,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),3.3300,11210.3761,373.3055,spend25p,375.1721,367.9985,361.0330,354.1957,346.8498,339.5669,332.6029,325.7117,317.2650,309.1223,13.6892,1.7068,-8.8541,-18.4457,-26.9676,-34.3654,-40.3716,-46.1559,-51.1925,-55.7085,-59.7020,-63.7695,-68.1961,-72.1138,-76.6829,-81.4132,-86.8487,-92.2469,-99.4549,-106.5331,-114.1321,-122.8834,-133.4810,-145.4071,-158.2866
70,0.7500,SpendAwareDPRebalance (R70-aware),3.3300,11210.3761,373.3055,spend50p,375.1721,373.0947,371.4776,369.1953,369.1068,368.4682,366.5090,364.7694,362.0894,357.9003,28.2072,17.1443,6.2709,-4.0105,-12.4333,-19.8634,-27.0825,-32.2611,-37.2435,-41.4790,-45.2833,-48.7940,-52.7710,-56.3772,-60.7754,-65.8403,-71.4851,-78.0621,-85.1496,-92.1393,-100.7504,-109.6146,-119.3529,-130.0656,-141.0821
70,0.7500,SpendAwareDPRebalance (R70-aware),3.3300,11210.3761,373.3055,spend75p,375.1721,378.4251,381.9766,386.5083,391.1808,396.5997,403.3641,410.0295,412.7797,416.2587,43.2039,31.5586,20.8371,10.6651,1.9702,-5.6418,-13.2087,-17.9769,-22.7939,-26.0145,-29.0762,-31.3852,-35.0502,-38.2564,-41.3741,-45.9124,-50.9463,-58.4035,-65.8304,-73.8564,-82.7725,-93.0686,-104.4259,-116.5005,-127.2338
70,0.7500,SpendAwareDPRebalance (R70-aware),3.6600,10199.6045,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),3.6600,10199.6045,373.3055,spend25p,375.1721,367.9985,361.0330,354.1957,346.8498,339.5669,332.6029,325.7117,317.2650,309.1223,13.6892,1.7068,-8.8541,-18.4457,-26.9676,-34.3654,-40.3716,-46.1559,-51.1925,-55.7085,-59.7020,-63.7695,-68.1961,-72.1138,-76.6829,-81.4132,-86.8487,-92.2469,-99.4549,-106.5331,-114.1321,-122.8834,-133.4810,-145.4071,-158.2866
70,0.7500,SpendAwareDPRebalance (R70-aware),3.6600,10199.6045,373.3055,spend50p,375.1721,373.0947,371.4776,369.1953,369.1068,368.4682,366.5090,364.7694,362.0894,357.9003,28.2072,17.1443,6.2709,-4.0105,-12.4333,-19.8634,-27.0825,-32.2611,-37.2435,-41.4790,-45.2833,-48.7940,-52.7710,-56.3772,-60.7754,-65.8403,-71.4851,-78.0621,-85.1496,-92.1393,-100.7504,-109.6146,-119.3529,-130.0656,-141.0821
70,0.7500,SpendAwareDPRebalance (R70-aware),3.6600,10199.6045,373.3055,spend75p,375.1721,378.4251,381.9766,386.5083,391.1808,396.5997,403.3641,410.0295,412.7797,416.2587,43.2039,31.5586,20.8371,10.6651,1.9702,-5.6418,-13.2087,-17.9769,-22.7939,-26.0145,-29.0762,-31.3852,-35.0502,-38.2564,-41.3741,-45.9124,-50.9463,-58.4035,-65.8304,-73.8564,-82.7725,-93.0686,-104.4259,-116.5005,-127.2338
70,0.7500,SpendAwareDPRebalance (R70-aware),4.0000,9332.6381,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),4.0000,9332.6381,373.3055,spend25p,375.1721,367.9985,361.0330,354.1957,346.8498,339.5669,332.6029,325.7117,317.2650,309.1223,13.6892,1.7068,-8.8541,-18.4457,-26.9676,-34.3654,-40.3716,-46.1559,-51.1925,-55.7085,-59.7020,-63.7695,-68.1961,-72.1138,-76.6829,-81.4132,-86.8487,-92.2469,-99.4549,-106.5331,-114.1321,-122.8834,-133.4810,-145.4071,-158.2866
70,0.7500,SpendAwareDPRebalance (R70-aware),4.0000,9332.6381,373.3055,spend50p,375.1721,373.0947,371.4776,369.1953,369.1068,368.4682,366.5090,364.7694,362.0894,357.9003,28.2072,17.1443,6.2709,-4.0105,-12.4333,-19.8634,-27.0825,-32.2611,-37.2435,-41.4790,-45.2833,-48.7940,-52.7710,-56.3772,-60.7754,-65.8403,-71.4851,-78.0621,-85.1496,-92.1393,-100.7504,-109.6146,-119.3529,-130.0656,-141.0821
70,0.7500,SpendAwareDPRebalance (R70-aware),4.0000,9332.6381,373.3055,spend75p,375.1721,378.4251,381.9766,386.5083,391.1808,396.5997,403.3641,410.0295,412.7797,416.2587,43.2039,31.5586,20.8371,10.6651,1.9702,-5.6418,-13.2087,-17.9769,-22.7939,-26.0145,-29.0762,-31.3852,-35.0502,-38.2564,-41.3741,-45.9124,-50.9463,-58.4035,-65.8304,-73.8564,-82.7725,-93.0686,-104.4259,-116.5005,-127.2338
70,0.7500,SpendAwareDPRebalance (R70-aware),4.3300,8621.3747,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),4.3300,8621.3747,373.3055,spend25p,375.1721,367.9985,361.0330,354.1957,346.8498,339.5669,332.6029,325.7117,317.2650,309.1223,13.6892,1.7068,-8.8541,-18.4457,-26.9676,-34.3654,-40.3716,-46.1559,-51.1925,-55.7085,-59.7020,-63.7695,-68.1961,-72.1138,-76.6829,-81.4132,-86.8487,-92.2469,-99.4549,-106.5331,-114.1321,-122.8834,-133.4810,-145.4071,-158.2866
70,0.7500,SpendAwareDPRebalance (R70-aware),4.3300,8621.3747,373.3055,spend50p,375.1721,373.0947,371.4776,369.1953,369.1068,368.4682,366.5090,364.7694,362.0894,357.9003,28.2072,17.1443,6.2709,-4.0105,-12.4333,-19.8634,-27.0825,-32.2611,-37.2435,-41.4790,-45.2833,-48.7940,-52.7710,-56.3772,-60.7754,-65.8403,-71.4851,-78.0621,-85.1496,-92.1393,-100.7504,-109.6146,-119.3529,-130.0656,-141.0821
70,0.7500,SpendAwareDPRebalance (R70-aware),4.3300,8621.3747,373.3055,spend75p,375.1721,378.4251,381.9766,386.5083,391.1808,396.5997,403.3641,410.0295,412.7797,416.2587,43.2039,31.5586,20.8371,10.6651,1.9702,-5.6418,-13.2087,-17.9769,-22.7939,-26.0145,-29.0762,-31.3852,-35.0502,-38.2564,-41.3741,-45.9124,-50.9463,-58.4035,-65.8304,-73.8564,-82.7725,-93.0686,-104.4259,-116.5005,-127.2338
70,0.7500,SpendAwareDPRebalance (R70-aware),4.6600,8010.8481,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),4.6600,8010.8481,373.3055,spend25p,375.1721,367.9985,361.0330,354.1957,346.8498,339.5669,332.6029,325.7117,317.2650,309.1223,13.6892,1.7068,-8.8541,-18.4457,-26.9676,-34.3654,-40.3716,-46.1559,-51.1925,-55.7085,-59.7020,-63.7695,-68.1961,-72.1138,-76.6829,-81.4132,-86.8487,-92.2469,-99.4549,-106.5331,-114.1321,-122.8834,-133.4810,-145.4071,-158.2866
70,0.7500,SpendAwareDPRebalance (R70-aware),4.6600,8010.8481,373.3055,spend50p,375.1721,373.0947,371.4776,369.1953,369.1068,368.4682,366.5090,364.7694,362.0894,357.9003,28.2072,17.1443,6.2709,-4.0105,-12.4333,-19.8634,-27.0825,-32.2611,-37.2435,-41.4790,-45.2833,-48.7940,-52.7710,-56.3772,-60.7754,-65.8403,-71.4851,-78.0621,-85.1496,-92.1393,-100.7504,-109.6146,-119.3529,-130.0656,-141.0821
70,0.7500,SpendAwareDPRebalance (R70-aware),4.6600,8010.8481,373.3055,spend75p,375.1721,378.4251,381.9766,386.5083,391.1808,396.5997,403.3641,410.0295,412.7797,416.2587,43.2039,31.5586,20.8371,10.6651,1.9702,-5.6418,-13.2087,-17.9769,-22.7939,-26.0145,-29.0762,-31.3852,-35.0502,-38.2564,-41.3741,-45.9124,-50.9463,-58.4035,-65.8304,-73.8564,-82.7725,-93.0686,-104.4259,-116.5005,-127.2338
70,0.7500,SpendAwareDPRebalance (R70-aware),5.0000,7466.1105,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),5.0000,7466.1105,373.3055,spend25p,375.1721,367.9985,361.0330,354.1957,346.8498,339.5669,332.6029,325.7117,317.2650,309.1223,13.6892,1.7068,-8.8541,-18.4457,-26.9676,-34.3654,-40.3716,-46.1559,-51.1925,-55.7085,-59.7020,-63.7695,-68.1961,-72.1138,-76.6829,-81.4132,-86.8487,-92.2469,-99.4549,-106.5331,-114.1321,-122.8834,-133.4810,-145.4071,-158.2866
70,0.7500,SpendAwareDPRebalance (R70-aware),5.0000,7466.1105,373.3055,spend50p,375.1721,373.0947,371.4776,369.1953,369.1068,368.4682,366.5090,364.7694,362.0894,357.9003,28.2072,17.1443,6.2709,-4.0105,-12.4333,-19.8634,-27.0825,-32.2611,-37.2435,-41.4790,-45.2833,-48.7940,-52.7710,-56.3772,-60.7754,-65.8403,-71.4851,-78.0621,-85.1496,-92.1393,-100.7504,-109.6146,-119.3529,-130.0656,-141.0821
70,0.7500,SpendAwareDPRebalance (R70-aware),5.0000,7466.1105,373.3055,spend75p,375.1721,378.4251,381.9766,386.5083,391.1808,396.5997,403.3641,410.0295,412.7797,416.2587,43.2039,31.5586,20.8371,10.6651,1.9702,-5.6418,-13.2087,-17.9769,-22.7939,-26.0145,-29.0762,-31.3852,-35.0502,-38.2564,-41.3741,-45.9124,-50.9463,-58.4035,-65.8304,-73.8564,-82.7725,-93.0686,-104.4259,-116.5005,-127.2338
70,0.7500,SpendAwareDPRebalance (R70-aware),5.5000,6787.3731,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),5.5000,6787.3731,373.3055,spend25p,375.1721,367.9985,361.0330,354.1957,346.8498,339.5669,332.6029,325.7117,317.2650,309.1223,13.6892,1.7068,-8.8541,-18.4457,-26.9676,-34.3654,-40.3716,-46.1559,-51.1994,-55.7085,-59.7020,-63.7695,-68.1961,-72.1138,-76.6829,-81.4132,-86.8487,-92.2469,-99.4549,-106.5331,-114.1321,-122.8834,-133.4810,-145.4071,-158.2866
