"時点","地域コード","地域","消費者物価指数（総合）2020年基準","注記"
"1970年1月","00000","全国","30.3",""
"1970年2月","00000","全国","30.3",""
"1970年3月","00000","全国","30.6",""
"1970年4月","00000","全国","30.9",""
"1970年5月","00000","全国","30.8",""
"1970年6月","00000","全国","30.8",""
"1970年7月","00000","全国","30.8",""
"1970年8月","00000","全国","30.7",""
"1970年9月","00000","全国","31.2",""
"1970年10月","00000","全国","31.7",""
"1970年11月","00000","全国","31.7",""
"1970年12月","00000","全国","31.9",""
"1971年1月","00000","全国","32.2",""
"1971年2月","00000","全国","32.2",""
"1971年3月","00000","全国","32.3",""
"1971年4月","00000","全国","32.7",""
"1971年5月","00000","全国","32.8",""
"1971年6月","00000","全国","32.9",""
"1971年7月","00000","全国","32.9",""
"1971年8月","00000","全国","32.9",""
"1971年9月","00000","全国","33.7",""
"1971年10月","00000","全国","33.8",""
"1971年11月","00000","全国","33.5",""
"1971年12月","00000","全国","33.5",""
"1972年1月","00000","全国","33.5",""
"1972年2月","00000","全国","33.7",""
"1972年3月","00000","全国","34.0",""
"1972年4月","00000","全国","34.4",""
"1972年5月","00000","全国","34.5",""
"1972年6月","00000","全国","34.5",""
"1972年7月","00000","全国","34.5",""
"1972年8月","00000","全国","34.8",""
"1972年9月","00000","全国","35.0",""
"1972年10月","00000","全国","35.2",""
"1972年11月","00000","全国","35.1",""
"1972年12月","00000","全国","35.4",""
"1973年1月","00000","全国","35.7",""
"1973年2月","00000","全国","36.0",""
"1973年3月","00000","全国","36.9",""
"1973年4月","00000","全国","37.6",""
"1973年5月","00000","全国","38.2",""
"1973年6月","00000","全国","38.3",""
"1973年7月","00000","全国","38.6",""
"1973年8月","00000","全国","38.9",""
"1973年9月","00000","全国","40.0",""
"1973年10月","00000","全国","40.2",""
"1973年11月","00000","全国","40.5",""
"1973年12月","00000","全国","41.8",""
"1974年1月","00000","全国","43.6",""
"1974年2月","00000","全国","45.0",""
"1974年3月","00000","全国","45.3",""
"1974年4月","00000","全国","46.4",""
"1974年5月","00000","全国","46.6",""
"1974年6月","00000","全国","46.9",""
"1974年7月","00000","全国","47.8",""
"1974年8月","00000","全国","48.3",""
"1974年9月","00000","全国","49.0",""
"1974年10月","00000","全国","50.1",""
"1974年11月","00000","全国","50.5",""
