upper_limit,lower_limit,is_dynamic_rebalance,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.0,-0.03,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9986,0.9968,0.9956,0.994,0.9926,0.9902,0.9868,0.9842,0.9814,0.9772,0.9738,0.9702,0.9654,0.9588,0.9542,0.9508,0.9464,0.9412,0.9362,0.9314,0.9264,0.9222,0.9178,0.9128000000000001,0.9088,0.9052,0.9016,0.8956,0.8914,0.8872,0.8832,0.8782,0.8735999999999999,0.8704000000000001,0.8656
0.0,-0.025,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.999,0.9978,0.996,0.9942,0.993,0.9908,0.9874,0.983,0.9786,0.9752,0.971,0.9658,0.9598,0.9524,0.949,0.945,0.9388,0.9328,0.9272,0.9208,0.9154,0.9114,0.9054,0.8984,0.8946000000000001,0.8906000000000001,0.8858,0.88,0.8744000000000001,0.869,0.8636,0.8582,0.8532,0.8482000000000001,0.8442000000000001,0.8414
0.0,-0.02,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9986,0.997,0.995,0.9928,0.991,0.9866,0.9824,0.978,0.9736,0.969,0.9614,0.9562,0.9502,0.9454,0.9384,0.9316,0.9232,0.9174,0.9097999999999999,0.9048,0.899,0.8922,0.8864,0.8782,0.874,0.8678,0.8598,0.8528,0.8472,0.841,0.8354,0.8306,0.8260000000000001,0.8218,0.8184,0.8128
0.0,-0.015,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9976,0.9958,0.9942,0.9912,0.987,0.9826,0.9786,0.9726,0.966,0.9612,0.9518,0.9474,0.9402,0.9316,0.9238,0.9158,0.909,0.9002,0.892,0.8852,0.8766,0.8686,0.8618,0.856,0.8464,0.8392,0.8306,0.8246,0.819,0.8132,0.8069999999999999,0.8022,0.7946,0.7886,0.7807999999999999,0.7758
0.0,-0.01,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9988,0.9968,0.995,0.9916,0.989,0.9836,0.9792,0.9722,0.9652000000000001,0.9584,0.951,0.944,0.9348,0.9266,0.9182,0.9076,0.8984,0.8892,0.8788,0.87,0.8624,0.8518,0.8428,0.836,0.8268,0.8164,0.8066,0.7982,0.792,0.785,0.7786,0.7726,0.766,0.7592,0.7522,0.7458,0.7374
0.0,-0.005,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.9984,0.9956,0.9936,0.9904,0.9852,0.9802,0.9736,0.9654,0.9582,0.95,0.9404,0.9316,0.9228,0.9122,0.8994,0.888,0.8764,0.8678,0.8566,0.8466,0.835,0.8236,0.8134,0.8028,0.7928,0.783,0.7758,0.7694,0.7604,0.7508,0.7436,0.7374,0.7303999999999999,0.7232000000000001,0.7156,0.7101999999999999,0.7028
0.0,-0.0,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.999,0.9972,0.9946,0.9918,0.9878,0.982,0.9754,0.9668,0.9588,0.9492,0.9392,0.9298,0.919,0.9056,0.892,0.8798,0.8668,0.854,0.8424,0.8266,0.8158,0.8048,0.7934,0.7834,0.7732,0.7656000000000001,0.7542,0.7454000000000001,0.7345999999999999,0.7282,0.7183999999999999,0.71,0.7,0.6916,0.6821999999999999,0.6748000000000001,0.6712,0.665
0.01,-0.03,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9986,0.9968,0.9954,0.994,0.9922,0.99,0.9866,0.9834,0.9802,0.9768,0.9726,0.968,0.9621999999999999,0.9572,0.9526,0.948,0.9428,0.9386,0.9328,0.9262,0.9216,0.9168000000000001,0.9106,0.9056,0.9008,0.8978,0.8936,0.886,0.8824,0.8778,0.872,0.8648,0.86,0.8538,0.8502000000000001
0.01,-0.025,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.999,0.9978,0.996,0.9942,0.993,0.9904,0.9866,0.9822,0.9784,0.9746,0.97,0.9636,0.9576,0.9514,0.947,0.9414,0.9359999999999999,0.9296,0.9228,0.9162,0.9094,0.9036,0.897,0.8916,0.8874,0.8804,0.874,0.8676,0.8624,0.855,0.8466,0.8418,0.8364,0.8322,0.8271999999999999,0.8231999999999999
0.01,-0.02,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9986,0.997,0.9948,0.9928,0.9904,0.9858,0.9818,0.977,0.973,0.9678,0.9594,0.9548,0.9486,0.9428,0.9358,0.9286,0.9192,0.913,0.9032,0.897,0.891,0.8838,0.8768,0.8694,0.8613999999999999,0.8536,0.847,0.8402000000000001,0.8334,0.8251999999999999,0.8196,0.8136,0.8086,0.8036,0.7968,0.7912
0.01,-0.015,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9976,0.9956,0.9942,0.991,0.9862,0.982,0.9776,0.9712,0.9648,0.9584,0.9508,0.9458,0.9376,0.9294,0.9206,0.9106,0.902,0.8934,0.8844,0.8772,0.869,0.8593999999999999,0.8512,0.8436,0.8344,0.8260000000000001,0.8180000000000001,0.8096,0.8016,0.7946,0.7867999999999999,0.78,0.7734,0.7656000000000001,0.7582,0.753
0.01,-0.01,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9988,0.9968,0.995,0.9916,0.9886,0.9834,0.9782,0.971,0.9646,0.9562,0.9498,0.943,0.933,0.9232,0.9136,0.9024,0.8922,0.8814,0.8704000000000001,0.8624,0.853,0.843,0.8331999999999999,0.8214,0.8122,0.8006,0.7938000000000001,0.7818,0.7732,0.766,0.7592,0.7498,0.742,0.7342,0.7268,0.7198,0.7134
0.01,-0.005,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.9984,0.9956,0.9936,0.9902,0.985,0.9798,0.9724,0.9642,0.957,0.9486,0.9392,0.9298,0.9176,0.9082,0.8932,0.8812,0.8698,0.8593999999999999,0.8473999999999999,0.8371999999999999,0.8256,0.8104,0.8006,0.7896,0.7786,0.7678,0.7562,0.7482,0.7396,0.7308,0.7202,0.7130000000000001,0.7036,0.6964,0.6881999999999999,0.6821999999999999,0.6734
0.01,-0.0,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.999,0.9972,0.9946,0.9914,0.9872,0.9816,0.9752,0.9648,0.958,0.948,0.9376,0.928,0.9146,0.9004,0.8855999999999999,0.8734,0.859,0.8458,0.8322,0.8178,0.8044,0.792,0.7804,0.769,0.7578,0.746,0.736,0.725,0.7154,0.706,0.6941999999999999,0.6812,0.6716,0.6634,0.656,0.649,0.6417999999999999,0.635
0.02,-0.03,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9986,0.9968,0.9954,0.994,0.992,0.99,0.9858,0.982,0.9796,0.976,0.9706,0.967,0.961,0.956,0.9508,0.9466,0.9406,0.9346,0.929,0.9206,0.9172,0.912,0.9046,0.8998,0.8946000000000001,0.8906000000000001,0.883,0.876,0.8702,0.8646,0.857,0.851,0.8464,0.8414,0.837
0.02,-0.025,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.999,0.9978,0.996,0.9942,0.9928,0.99,0.9854,0.981,0.9774,0.9738,0.9682,0.9628,0.9562,0.95,0.9456,0.9394,0.9344,0.9252,0.9188000000000001,0.9096,0.9028,0.8976,0.8914,0.8832,0.877,0.87,0.8636,0.8556,0.849,0.8398,0.8318,0.8256,0.8202,0.8156,0.8098,0.8032
0.02,-0.02,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9986,0.9968,0.9948,0.9928,0.9896,0.9856,0.9806,0.9764,0.9722,0.9662,0.9586,0.9534,0.947,0.9410000000000001,0.9342,0.9254,0.9142,0.9056,0.8984,0.8912,0.8842,0.8756,0.8684000000000001,0.8598,0.8518,0.843,0.8346,0.827,0.8178,0.81,0.8036,0.7978000000000001,0.7906,0.7842,0.7778,0.769
0.02,-0.015,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9976,0.9956,0.9942,0.9908,0.9862,0.9816,0.9764,0.971,0.964,0.9574,0.9502,0.9438,0.9346,0.9266,0.9166,0.9056,0.897,0.886,0.8784,0.8716,0.86,0.8504,0.8418,0.8322,0.8206,0.8126,0.8029999999999999,0.7934,0.7847999999999999,0.7762,0.7682,0.7582,0.753,0.742,0.7348,0.7283999999999999
0.02,-0.01,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9986,0.9968,0.995,0.9916,0.988,0.9826,0.9774,0.9708,0.9636,0.9546,0.9488,0.9402,0.931,0.9196,0.91,0.8958,0.8852,0.873,0.865,0.8553999999999999,0.8444,0.833,0.8184,0.8084,0.7976,0.7894,0.7762,0.7644,0.7558,0.747,0.7372000000000001,0.7268,0.7196,0.7114,0.7032,0.6954,0.6868000000000001
0.02,-0.005,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.9984,0.9956,0.9934,0.9902,0.985,0.9792,0.9712,0.9638,0.9556,0.9474,0.9374,0.9268,0.9156,0.9018,0.887,0.8735999999999999,0.8634,0.8536,0.8414,0.827,0.8108,0.7976,0.7867999999999999,0.7742,0.765,0.7505999999999999,0.7402,0.7283999999999999,0.719,0.7088,0.6984,0.6906,0.6814,0.6714,0.6639999999999999,0.6546000000000001,0.6464
0.02,-0.0,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.999,0.9972,0.9946,0.9914,0.987,0.9808,0.9742,0.9642,0.9572,0.947,0.9366,0.9256,0.9102,0.8948,0.879,0.8676,0.8522000000000001,0.8384,0.8251999999999999,0.8068,0.7914,0.7798,0.7668,0.7552,0.7434000000000001,0.7302,0.7168,0.7052,0.6938,0.6816,0.6686000000000001,0.656,0.6488,0.641,0.6312,0.6204000000000001,0.611,0.6013999999999999
0.03,-0.03,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9986,0.9968,0.9954,0.994,0.992,0.9898,0.9852,0.9806,0.9792,0.9746,0.97,0.9656,0.9601999999999999,0.9546,0.949,0.944,0.9372,0.9302,0.9234,0.9176,0.9116,0.9062,0.8998,0.8934,0.8872,0.8796,0.8735999999999999,0.866,0.86,0.8526,0.8446,0.8384,0.8318,0.8258,0.8200000000000001
0.03,-0.025,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.999,0.9978,0.996,0.9942,0.9926,0.9896,0.985,0.9804,0.977,0.9726,0.9668,0.962,0.9544,0.9484,0.9424,0.9372,0.9306,0.9208,0.913,0.904,0.8984,0.892,0.8832,0.8764,0.8684000000000001,0.8618,0.8532,0.844,0.8348,0.8260000000000001,0.8192,0.8128,0.8069999999999999,0.8002,0.7928,0.7866
0.03,-0.02,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9986,0.9968,0.9948,0.9928,0.9894,0.9852,0.98,0.9764,0.9708,0.9652000000000001,0.9578,0.951,0.9444,0.9384,0.9299999999999999,0.9196,0.9096,0.9008,0.8934,0.8848,0.877,0.8676,0.86,0.8518,0.8422000000000001,0.8318,0.8238,0.8116,0.8042,0.796,0.7894,0.7814,0.7732,0.7648,0.7584,0.75
0.03,-0.015,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9976,0.9956,0.9942,0.9906,0.986,0.9808,0.9756,0.9704,0.962,0.9566,0.9482,0.9412,0.9328,0.923,0.9102,0.9008,0.8896,0.8814,0.8726,0.863,0.8513999999999999,0.842,0.8314,0.8198,0.8089999999999999,0.7982,0.7872,0.7782,0.7698,0.7592,0.7485999999999999,0.7402,0.7314,0.7238,0.7143999999999999,0.7066
0.03,-0.01,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9986,0.9968,0.995,0.9916,0.9878,0.9824,0.9764,0.97,0.9621999999999999,0.954,0.9478,0.9378,0.928,0.9162,0.9028,0.8902,0.8798,0.8696,0.8596,0.8456,0.834,0.8206,0.8078,0.7964,0.787,0.7742,0.7585999999999999,0.7482,0.7392000000000001,0.7298,0.7203999999999999,0.7088,0.6994,0.6906,0.6806,0.6738,0.6639999999999999
0.03,-0.005,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.9984,0.9956,0.9934,0.9894,0.9844,0.979,0.9702,0.9634,0.9542,0.947,0.9344,0.9238,0.9097999999999999,0.895,0.883,0.8686,0.8573999999999999,0.8484,0.8294,0.8160000000000001,0.7996,0.7867999999999999,0.7764,0.7636000000000001,0.7482,0.7323999999999999,0.7212000000000001,0.714,0.7024,0.692,0.6796,0.6684,0.6586000000000001,0.649,0.6366,0.628,0.6166
