upper_limit,lower_limit,is_dynamic_rebalance,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.0,-0.03,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.9992,0.9992,0.9992,0.9992,0.999,0.999,0.9984,0.9982,0.998,0.9976,0.9966,0.9958,0.9946,0.9936,0.993,0.991,0.9892,0.9874,0.9856,0.985,0.9838,0.9816,0.9796,0.9782,0.9752,0.9736,0.971,0.97,0.9672,0.9644,0.963,0.96
0.0,-0.025,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.9992,0.9992,0.9992,0.9992,0.9986,0.998,0.9978,0.9974,0.9964,0.9956,0.9944,0.9932,0.9916,0.991,0.9894,0.9866,0.9846,0.9826,0.9804,0.9782,0.976,0.973,0.969,0.9668,0.963,0.9594,0.9566,0.9538,0.9516,0.9486,0.946,0.9446,0.9404
0.0,-0.02,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9994,0.9994,0.9992,0.999,0.9988,0.9978,0.9978,0.997,0.996,0.9952,0.9942,0.9932,0.992,0.99,0.9866,0.984,0.982,0.98,0.9758,0.9722,0.9678,0.9646,0.9612,0.9572,0.954,0.9498,0.9458,0.9408,0.9354,0.9308,0.927,0.924,0.9206,0.9152,0.912
0.0,-0.015,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.999,0.9988,0.9986,0.9978,0.9976,0.9964,0.996,0.995,0.994,0.992,0.9906,0.9876,0.9842,0.9818,0.9776,0.9728,0.969,0.9646,0.9586,0.9518,0.9442,0.9394,0.9326,0.9268,0.9202,0.9122,0.9077999999999999,0.9034,0.898,0.8918,0.887,0.8808,0.876,0.8694
0.0,-0.01,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9994,0.9994,0.9986,0.9986,0.9976,0.9972,0.9968,0.9954,0.9946,0.9924,0.991,0.9886,0.9848,0.9812,0.9766,0.971,0.9652000000000001,0.9592,0.9502,0.9434,0.9356,0.9284,0.9184,0.9106,0.903,0.8952,0.8874,0.8812,0.8732,0.8642,0.856,0.8473999999999999,0.8414,0.831,0.8226,0.8148
0.0,-0.005,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9992,0.9988,0.9986,0.9974,0.9972,0.9964,0.995,0.9936,0.9902,0.9874,0.9836,0.98,0.9752,0.9708,0.965,0.9562,0.9486,0.9390000000000001,0.9268,0.9138,0.9052,0.895,0.883,0.8716,0.8648,0.854,0.8442000000000001,0.8334,0.8224,0.8136,0.8,0.7914,0.7807999999999999,0.7698,0.7592,0.7508
0.0,-0.0,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.999,0.9986,0.9974,0.9968,0.9962,0.9942,0.992,0.9884,0.9844,0.98,0.9754,0.9712,0.9656,0.9578,0.9474,0.9388,0.926,0.9086,0.897,0.8858,0.8706,0.8588,0.8458,0.8328,0.8186,0.8069999999999999,0.793,0.7812,0.7648,0.7532,0.741,0.7292000000000001,0.7194,0.7068,0.694,0.6821999999999999
0.01,-0.03,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.9992,0.9992,0.9992,0.9992,0.9988,0.9988,0.9984,0.998,0.9978,0.9976,0.9966,0.9958,0.9946,0.9936,0.993,0.9912,0.9888,0.9872,0.985,0.9838,0.9818,0.9804,0.979,0.9772,0.9734,0.9714,0.9684,0.967,0.964,0.9614,0.9601999999999999,0.9576
0.01,-0.025,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.9992,0.9992,0.9992,0.9992,0.9986,0.998,0.9978,0.9972,0.9964,0.9956,0.9944,0.9928,0.9916,0.991,0.9892,0.9858,0.9838,0.9822,0.9792,0.9766,0.9736,0.971,0.967,0.9636,0.959,0.9556,0.9524,0.9492,0.9468,0.945,0.9418,0.9404,0.9359999999999999
0.01,-0.02,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9994,0.9994,0.9992,0.999,0.9988,0.9978,0.9978,0.997,0.996,0.9952,0.9942,0.9932,0.9916,0.9896,0.9866,0.9836,0.9816,0.9796,0.9752,0.971,0.966,0.9621999999999999,0.9582,0.9534,0.9494,0.946,0.9416,0.9359999999999999,0.9314,0.925,0.9206,0.9168000000000001,0.9117999999999999,0.9062,0.9014
