upper_limit,lower_limit,is_dynamic_rebalance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.0,-0.03,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.999,0.9982,0.995,0.9926,0.9882,0.9824,0.9764,0.967,0.96,0.9502,0.9388,0.929,0.9166,0.9036,0.8884,0.8754,0.863,0.8522000000000001,0.8412,0.8316,0.8216,0.8102,0.796,0.7842,0.7736000000000001,0.764,0.7534,0.7442,0.7362,0.7276,0.7202,0.7112,0.7032,0.6944,0.6856,0.6804,0.6744,0.6688000000000001,0.6626000000000001,0.6552
0.0,-0.025,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9978,0.994,0.9912,0.9856,0.9798,0.97,0.9616,0.9518,0.9382,0.9256,0.9128000000000001,0.8984,0.8838,0.8678,0.8522000000000001,0.842,0.8288,0.8158,0.8038,0.7916,0.7766,0.7648,0.755,0.7432000000000001,0.7328,0.7234,0.7143999999999999,0.7041999999999999,0.6930000000000001,0.683,0.6746,0.6652,0.6576,0.6496,0.6408,0.6344000000000001,0.63,0.6242,0.6168
0.0,-0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9964,0.9928,0.9884,0.9822,0.9744,0.9638,0.9542,0.9376,0.9248,0.9117999999999999,0.8968,0.8774,0.8616,0.8456,0.831,0.8160000000000001,0.8024,0.7896,0.7762,0.761,0.7464,0.7348,0.7208,0.7063999999999999,0.6954,0.6854,0.6754,0.6648000000000001,0.6536,0.6446000000000001,0.636,0.6284000000000001,0.621,0.614,0.605,0.5986,0.5928,0.5860000000000001,0.5774
0.0,-0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9984,0.9956,0.9922,0.9866,0.9792,0.969,0.9566,0.9404,0.9266,0.911,0.8938,0.8756,0.8586,0.838,0.8224,0.8064,0.7886,0.7752,0.757,0.7414000000000001,0.7272000000000001,0.7112,0.6984,0.687,0.6716,0.6604,0.6508,0.6408,0.6292,0.6215999999999999,0.613,0.6012,0.5933999999999999,0.5853999999999999,0.5762,0.5671999999999999,0.5589999999999999,0.552,0.5436000000000001,0.5366
0.0,-0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.999,0.9982,0.9944,0.9906,0.9834,0.974,0.9608,0.947,0.9299999999999999,0.9122,0.895,0.8762,0.8553999999999999,0.836,0.8152,0.7964,0.779,0.7605999999999999,0.743,0.7242,0.7068,0.6916,0.677,0.663,0.6477999999999999,0.6368,0.6266,0.6164000000000001,0.604,0.5918,0.5800000000000001,0.5716,0.5614,0.5529999999999999,0.542,0.5349999999999999,0.5284,0.5224,0.5132,0.5064,0.5
0.0,-0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9978,0.9926,0.9882,0.9806,0.9686,0.953,0.9348,0.9176,0.897,0.878,0.8546,0.8338,0.8092,0.79,0.768,0.7468,0.7276,0.7078,0.6896,0.673,0.6579999999999999,0.6424000000000001,0.6292,0.6154,0.6012,0.5896,0.5784,0.5660000000000001,0.554,0.542,0.5336000000000001,0.5234,0.5167999999999999,0.5084,0.5002,0.4928,0.48719999999999997,0.4808,0.47440000000000004,0.4686
0.0,-0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.997,0.9918,0.9862,0.9762,0.9608,0.9434,0.9232,0.902,0.8824,0.8572,0.8344,0.8064,0.7827999999999999,0.7585999999999999,0.7356,0.7170000000000001,0.6956,0.6784,0.661,0.6386000000000001,0.6226,0.607,0.5926,0.5784,0.5654,0.5534,0.5404,0.527,0.516,0.5094000000000001,0.5002,0.4928,0.48360000000000003,0.4768,0.46799999999999997,0.4606,0.4544,0.4456,0.43899999999999995,0.43279999999999996
0.01,-0.03,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.999,0.9982,0.995,0.9926,0.9882,0.982,0.9756,0.9662,0.959,0.9488,0.9368,0.9266,0.9116,0.8982,0.8818,0.8696,0.8582,0.846,0.834,0.8216,0.8089999999999999,0.7932,0.7772,0.7674,0.7572,0.7465999999999999,0.7358,0.7232000000000001,0.7130000000000001,0.7048,0.6970000000000001,0.6878,0.6778,0.6676,0.6596,0.6508,0.6472,0.6357999999999999,0.6292,0.621
0.01,-0.025,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9976,0.994,0.9912,0.9854,0.9794,0.9688,0.9608,0.9512,0.9366,0.9238,0.9077999999999999,0.8926000000000001,0.8776,0.8608,0.8472,0.8338,0.8196,0.8066,0.7898000000000001,0.774,0.7602,0.7502,0.7378,0.7258,0.7136,0.7034,0.6910000000000001,0.6786,0.6682,0.6557999999999999,0.646,0.6372,0.627,0.619,0.612,0.6004,0.591,0.5811999999999999,0.5736
0.01,-0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9962,0.9928,0.9882,0.982,0.9738,0.9626,0.953,0.9356,0.9226,0.9084,0.8912,0.8724000000000001,0.8544,0.8404,0.8231999999999999,0.8069999999999999,0.792,0.7752,0.7578,0.7438,0.7296,0.7162,0.7012,0.687,0.6746,0.6639999999999999,0.6486000000000001,0.6382,0.6278,0.6192,0.6106,0.5996,0.5888,0.5788,0.567,0.5598000000000001,0.552,0.5446,0.5378000000000001
