spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1.0,固定最適比率,3.0,15939.636410456273,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.9986,0.998,0.9954,0.9914,0.986,0.9788,0.9702,0.9576,0.9502,0.9398,0.9308,0.9178,0.9068,0.896,0.8838,0.8734,0.8602,0.8518,0.8416,0.8336,0.827,0.8194,0.8126,0.8072,0.8018000000000001,0.796,0.7888,0.782,0.7758,0.7704,0.7662,0.7628,0.758,0.7536,0.7488,0.7442,0.7418,0.739,0.7356,0.7332000000000001,0.7294,0.728,0.7252000000000001
1.0,ダイナミック最適比率 (V1),3.0,15939.636410456273,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.999,0.9978,0.9952,0.993,0.9868,0.9822,0.973,0.964,0.9516,0.9388,0.9258,0.9154,0.9054,0.895,0.8866,0.8774,0.8656,0.8593999999999999,0.8482000000000001,0.8402000000000001,0.8311999999999999,0.8251999999999999,0.8184,0.8114,0.8062,0.8022,0.7966,0.7912,0.7834,0.7794,0.7746,0.7718,0.7698,0.7668,0.7628,0.761,0.7596,0.7576,0.7552,0.7532,0.7525999999999999,0.7512,0.7502,0.7474000000000001,0.7468,0.7454000000000001
1.0,Dynamic Rebalance DP (V2),3.0,15939.636410456273,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9994,0.9982,0.997,0.9962,0.9934,0.9912,0.9882,0.9832,0.9774,0.9704,0.963,0.957,0.9516,0.9452,0.9368,0.9304,0.922,0.9136,0.9062,0.8984,0.8924,0.8872,0.8788,0.8724000000000001,0.8668,0.8584,0.8526,0.8466,0.8408,0.8354,0.8311999999999999,0.8266,0.8216,0.8158,0.8106,0.8049999999999999,0.8006,0.7946,0.7872,0.7792,0.7727999999999999,0.7676000000000001,0.7626,0.7568,0.7516,0.746
1.0,固定最適比率,3.5,13662.545494676802,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9988,0.9976,0.993,0.9884,0.9792,0.9686,0.9528,0.9348,0.9172,0.895,0.8722,0.8528,0.8344,0.8212,0.8042,0.7896,0.7742,0.7614,0.7484,0.7365999999999999,0.727,0.7170000000000001,0.7086,0.6994,0.6924,0.6854,0.6799999999999999,0.6732,0.6666000000000001,0.6614,0.6554,0.6504,0.6457999999999999,0.6414,0.6374,0.6326,0.6286,0.6248,0.6218,0.62,0.6168,0.6144000000000001,0.612,0.6104,0.6084,0.6064
1.0,ダイナミック最適比率 (V1),3.5,13662.545494676802,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.999,0.9974,0.9942,0.9894,0.9826,0.972,0.9556,0.9390000000000001,0.9224,0.9057999999999999,0.8834,0.8618,0.8444,0.829,0.8126,0.8009999999999999,0.788,0.775,0.7614,0.7505999999999999,0.7408,0.7334,0.7258,0.7158,0.7083999999999999,0.6992,0.6921999999999999,0.6872,0.6824,0.6776,0.6744,0.6704,0.6672,0.6644,0.6624,0.6599999999999999,0.657,0.6548,0.6536,0.6512,0.6496,0.6484,0.648,0.646,0.645,0.6434,0.6417999999999999
1.0,Dynamic Rebalance DP (V2),3.5,13662.545494676802,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.999,0.9976,0.9948,0.9926,0.988,0.9824,0.9736,0.9632000000000001,0.9508,0.9396,0.9234,0.9102,0.8958,0.8852,0.8738,0.862,0.8526,0.8416,0.8324,0.8222,0.8124,0.8028,0.7918000000000001,0.7838,0.7747999999999999,0.7668,0.759,0.7525999999999999,0.747,0.7405999999999999,0.7358,0.7303999999999999,0.7246,0.7192000000000001,0.7150000000000001,0.71,0.7024,0.6972,0.6908000000000001,0.6844,0.6776,0.6706,0.6662,0.6606000000000001,0.655,0.648,0.6408
1.0,固定最適比率,4.0,11954.727307842204,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.998,0.9944,0.9888,0.9802,0.9618,0.9442,0.9226,0.8974,0.8678,0.8326,0.8044,0.77,0.749,0.7286,0.7148,0.6938,0.6806,0.6648000000000001,0.6514,0.639,0.6284000000000001,0.617,0.6078,0.5984,0.5908,0.5844,0.5776,0.5722,0.565,0.5598000000000001,0.5549999999999999,0.5509999999999999,0.5468,0.5414,0.5386,0.5358,0.5334,0.5298,0.526,0.5226,0.5192,0.5162,0.514,0.5122,0.5104,0.509,0.5065999999999999
1.0,ダイナミック最適比率 (V1),4.0,11954.727307842204,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9978,0.9942,0.9888,0.9804,0.9626,0.9442,0.924,0.9018,0.872,0.8386,0.81,0.7804,0.7605999999999999,0.7424,0.7256,0.7094,0.6956,0.677,0.6639999999999999,0.6517999999999999,0.6434,0.6328,0.6252,0.6182000000000001,0.6112,0.6033999999999999,0.5968,0.593,0.5880000000000001,0.5818,0.5764,0.5731999999999999,0.571,0.5678000000000001,0.5658000000000001,0.5631999999999999,0.5614,0.5588,0.5568,0.5546,0.5528,0.5518000000000001,0.55,0.5484,0.5466,0.5454,0.5436000000000001
1.0,Dynamic Rebalance DP (V2),4.0,11954.727307842204,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9982,0.9946,0.9896,0.9838,0.9696,0.9542,0.9366,0.9138,0.8942,0.868,0.8458,0.8176,0.8044,0.7894,0.7747999999999999,0.7585999999999999,0.7468,0.7334,0.7206,0.7086,0.7012,0.6906,0.6839999999999999,0.6746,0.6658,0.6594,0.6517999999999999,0.6482,0.642,0.6376,0.6304000000000001,0.6254,0.6202,0.6138,0.6088,0.6038,0.5982000000000001,0.5942000000000001,0.5873999999999999,0.5802,0.5726,0.5662,0.5606,0.5554,0.5502,0.546,0.5378000000000001
1.0,Dynamic Rebalance DP (V2),4.0,11954.727307842204,478.18909231368815,spend25p,478.5777939821094,487.26807602435997,495.17822508093394,502.65421897629074,511.3134633591668,519.4780669529289,527.8706171298618,535.7763776037833,545.3527370154414,551.731785144055,555.3128594859049,557.7641726111544,552.315454105606,541.1386899576872,527.1973411507541,506.4330187918215,483.56308805777627,452.50098829456385,419.36685736628056,373.6227769801247,222.60079981632148,189.5690627689599,155.74097007276671,107.35724842690043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Dynamic Rebalance DP (V2),4.0,11954.727307842204,478.18909231368815,spend50p,481.88131537415825,497.2204043539498,512.9479610906785,530.2825417820558,548.1375562140524,567.238630467343,585.8783661196836,605.6586531613602,624.499268112027,642.1275421953865,656.3470620360706,669.1762114058904,679.3918566426685,682.4020795491713,682.4837612586691,674.4596520185629,662.2564248844282,642.8689397290893,624.1974506638784,599.1499703596141,412.53989902255,393.23663933044566,374.96811865538916,358.7471104052636,340.2106186487955,324.1475902320999,305.6245705279703,285.209138058571,267.1034879003336,246.14269272967812,229.7077508445794,209.6892129041929,192.47570571883898,175.75856797166364,159.94529092192312,148.43799136535281,137.76192261081374,128.23195373673866,119.25927523033789,111.58662596217455,102.01691638591652,93.04452597251041,84.81426528534197,77.30395027012572,69.80450027355275,62.08988061334834,51.42446825571949,37.924356008425086,26.149642127431342,16.844845808633707,6.52577977980198,0.0,0.0,0.0,0.0
