upper_limit,lower_limit,is_dynamic_rebalance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.02,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9966,0.9936,0.989,0.9776,0.9626,0.9464,0.928,0.9057999999999999,0.884,0.8584,0.8308,0.8046,0.778,0.7548,0.7266,0.7032,0.6821999999999999,0.6612,0.6352,0.6135999999999999,0.5984,0.5838,0.567,0.5506,0.5336000000000001,0.5156000000000001,0.4998,0.4888,0.4776,0.46840000000000004,0.4586,0.44820000000000004,0.44099999999999995,0.4312,0.4236,0.4142,0.4062,0.39859999999999995,0.3922,0.38380000000000003
0.02,0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9974,0.9942,0.9902,0.9814,0.9698,0.9558,0.94,0.9228,0.9018,0.882,0.857,0.8322,0.8076,0.785,0.7646,0.7385999999999999,0.718,0.6984,0.6762,0.6572,0.6377999999999999,0.621,0.6052,0.5902000000000001,0.5754,0.5626,0.5456,0.5314,0.5167999999999999,0.5054000000000001,0.49460000000000004,0.48619999999999997,0.47819999999999996,0.46799999999999997,0.45899999999999996,0.4494,0.44179999999999997,0.43479999999999996,0.42779999999999996,0.4214
0.02,0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9982,0.9954,0.9918,0.985,0.9768,0.9636,0.9488,0.9354,0.9194,0.8986,0.8798,0.8573999999999999,0.837,0.8134,0.7928,0.7738,0.754,0.7332000000000001,0.7162,0.6998,0.6799999999999999,0.6622,0.6457999999999999,0.6298,0.6178,0.6032,0.5900000000000001,0.5771999999999999,0.5628,0.5514,0.5384,0.5258,0.5166,0.5078,0.501,0.4918,0.4848,0.476,0.46699999999999997,0.45999999999999996
0.02,0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9986,0.9964,0.9938,0.9896,0.9802,0.9712,0.9592,0.9458,0.9322,0.9174,0.9006,0.882,0.8622,0.8428,0.8238,0.804,0.7867999999999999,0.768,0.7508,0.7356,0.7198,0.704,0.6890000000000001,0.6716,0.6552,0.642,0.6308,0.6204000000000001,0.6095999999999999,0.597,0.5853999999999999,0.5762,0.5638000000000001,0.5544,0.546,0.5347999999999999,0.5254,0.5172,0.508,0.5018
0.02,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9988,0.997,0.9944,0.991,0.984,0.9774,0.9672,0.9554,0.943,0.9316,0.9176,0.9024,0.887,0.8714,0.8528,0.8346,0.8194,0.8029999999999999,0.7864,0.771,0.7556,0.7416,0.7288,0.7138,0.6994,0.687,0.6754,0.6634,0.6504,0.6386000000000001,0.628,0.617,0.6088,0.599,0.5913999999999999,0.5816,0.5696,0.5608,0.5542,0.5466
0.02,-0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9978,0.9954,0.9926,0.9882,0.9814,0.9742,0.9636,0.9542,0.9422,0.9318,0.9204,0.907,0.8914,0.88,0.8638,0.8478,0.833,0.8204,0.8048,0.7914,0.7794,0.7668,0.7514000000000001,0.7376,0.7262,0.7156,0.7050000000000001,0.6934,0.6838,0.6744,0.6642,0.6537999999999999,0.6462,0.637,0.6294,0.6195999999999999,0.609,0.6018,0.5944
0.02,-0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.998,0.9964,0.9944,0.9904,0.9848,0.979,0.972,0.9612,0.9534,0.942,0.9344,0.9254,0.914,0.9,0.888,0.8768,0.8636,0.851,0.8384,0.8260000000000001,0.8116,0.8016,0.7918000000000001,0.7792,0.767,0.7565999999999999,0.7462,0.7365999999999999,0.726,0.7170000000000001,0.708,0.6954,0.6864,0.679,0.6698,0.6622,0.6564,0.65,0.6428
0.02,-0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9988,0.9972,0.9948,0.9928,0.9888,0.9838,0.9776,0.97,0.9612,0.9532,0.9434,0.9364,0.9299999999999999,0.9196,0.9106,0.8986,0.8876,0.8782,0.8668,0.8568,0.8466,0.8358,0.8242,0.8140000000000001,0.8042,0.7956,0.7856,0.7787999999999999,0.7696000000000001,0.76,0.7498,0.741,0.7336,0.7238,0.7176,0.7106,0.7044,0.6968,0.6876
0.02,-0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9978,0.9962,0.9942,0.9916,0.9876,0.9826,0.977,0.9702,0.9621999999999999,0.9546,0.9468,0.9418,0.935,0.928,0.9196,0.9088,0.9004,0.8912,0.882,0.875,0.8656,0.8586,0.8472,0.8378,0.8308,0.8238,0.8152,0.8078,0.8008,0.7932,0.7832,0.776,0.7694,0.7622,0.7562,0.7482,0.74,0.7348
0.03,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9966,0.9936,0.9882,0.9774,0.9626,0.9454,0.9268,0.9046,0.8808,0.8548,0.8238,0.7969999999999999,0.7706,0.744,0.7150000000000001,0.6906,0.6656,0.6392,0.6164000000000001,0.5976,0.5776,0.5591999999999999,0.54,0.5164,0.49960000000000004,0.48419999999999996,0.47,0.4544,0.44099999999999995,0.4284,0.41559999999999997,0.40359999999999996,0.39159999999999995,0.38239999999999996,0.374,0.36339999999999995,0.3538,0.34540000000000004,0.3356,0.3296
