spend_ratio / year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.022222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8212
0.028571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8038,0.769,0.7464,0.725,0.7090000000000001,0.6910000000000001,0.6772,0.669,0.6568,0.6464,0.6355999999999999,0.6278
0.03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7818,0.746,0.7206,0.7008,0.6839999999999999,0.6674,0.6564,0.6417999999999999,0.6284000000000001,0.62,0.6093999999999999,0.598,0.5893999999999999,0.5824,0.577
0.033333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7484,0.7110000000000001,0.6821999999999999,0.6582,0.64,0.6228,0.61,0.5958,0.5831999999999999,0.5728,0.562,0.5526,0.5426,0.5344,0.529,0.5218,0.516,0.508,0.5024,0.496,0.4911999999999999
0.035714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7674,0.7118,0.6752,0.6486000000000001,0.627,0.6092,0.5933999999999999,0.5771999999999999,0.5606,0.5476,0.5336000000000001,0.5232,0.5136000000000001,0.5045999999999999,0.4982,0.4921999999999999,0.482,0.4756,0.4691999999999999,0.4622,0.4556,0.4506,0.4438,0.4384,0.4334
0.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6916,0.646,0.6135999999999999,0.5888,0.5654,0.5488,0.53,0.5114000000000001,0.4968,0.4838,0.473,0.4618,0.4542,0.4432,0.435,0.4272,0.4182,0.4118,0.4052,0.3994,0.393,0.3875999999999999,0.3823999999999999,0.3763999999999999,0.3733999999999999,0.3693999999999999,0.3651999999999999,0.3616,0.357
0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6742,0.6092,0.5611999999999999,0.5278,0.495,0.4678,0.4474,0.428,0.4078,0.3935999999999999,0.3788,0.3692,0.357,0.346,0.3358,0.3248,0.3157999999999999,0.3067999999999999,0.299,0.2914,0.2858,0.2775999999999999,0.272,0.2678,0.263,0.257,0.254,0.2486,0.2441999999999999,0.24,0.2364,0.2329999999999999,0.2306,0.2271999999999999,0.2244,0.2224,0.2199999999999999
0.0666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6674,0.5532,0.4952,0.4469999999999999,0.4075999999999999,0.3752,0.3478,0.3224,0.2966,0.2784,0.2608,0.2478,0.2341999999999999,0.2206,0.2118,0.2032,0.1916,0.1824,0.1742,0.1664,0.1592,0.1548,0.1488,0.1425999999999999,0.1392,0.1352,0.1301999999999999,0.1263999999999999,0.123,0.1198,0.1171999999999999,0.1151999999999999,0.1124,0.1094,0.1059999999999999,0.1046,0.1029999999999999,0.1009999999999999,0.0986,0.0971999999999999,0.0958,0.0948,0.0938,0.0917999999999999
