initial_money,initial_annual_cost,initial_age,scenario,pension_start_age,initial_pension_nominal_annual,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
5000,200,30,A,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9044,0.8858,0.8692,0.8498,0.8286,0.8106,0.7922,0.7712,0.7545999999999999,0.736,0.7178,0.6992,0.6836,0.6712,0.656,0.6414,0.6312,0.6202,0.6092,0.6004,0.5904,0.5806,0.5698,0.5616,0.5554,0.5496,0.5422,0.5364,0.53,0.5238,0.5178,0.512,0.505,0.4998,0.49439999999999995,0.48960000000000004,0.486,0.48240000000000005,0.4786,0.474
5000,200,30,B,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9044,0.8858,0.8692,0.8498,0.8286,0.8106,0.7922,0.7712,0.7545999999999999,0.736,0.7192000000000001,0.7036,0.6881999999999999,0.6759999999999999,0.6634,0.6506000000000001,0.639,0.6308,0.6194,0.6102000000000001,0.603,0.5942000000000001,0.587,0.5771999999999999,0.5691999999999999,0.562,0.5558000000000001,0.5516,0.5458000000000001,0.5402,0.5344,0.5292,0.5247999999999999,0.52,0.5154000000000001,0.51,0.5058,0.5016,0.49660000000000004,0.49339999999999995
5000,200,30,C,60,78.65088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9044,0.8858,0.8692,0.8498,0.8286,0.8106,0.7922,0.7712,0.7545999999999999,0.736,0.7282,0.7226,0.7170000000000001,0.712,0.7061999999999999,0.702,0.6972,0.6936,0.69,0.687,0.6841999999999999,0.6802,0.6784,0.6768000000000001,0.6738,0.6719999999999999,0.6699999999999999,0.6684,0.6668000000000001,0.6652,0.6644,0.663,0.6608,0.6586000000000001,0.6576,0.6562,0.6556,0.6548,0.6536,0.6528
5000,200,30,D,65,103.488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9044,0.8858,0.8692,0.8498,0.8286,0.8106,0.7922,0.7712,0.7545999999999999,0.736,0.7192000000000001,0.7036,0.6881999999999999,0.6759999999999999,0.6634,0.6599999999999999,0.6579999999999999,0.6566000000000001,0.655,0.6534,0.6528,0.652,0.6512,0.65,0.649,0.6484,0.648,0.6476,0.647,0.6468,0.6462,0.6456,0.6452,0.6448,0.6444,0.644,0.644,0.6437999999999999,0.6436,0.6434
5000,200,30,E,60,52.29408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9984,0.9956,0.9924,0.9862,0.9802,0.9712,0.959,0.9452,0.9298,0.9138,0.8992,0.8838,0.8706,0.8548,0.8394,0.8248,0.808,0.7972,0.7904,0.7824,0.775,0.7674,0.7605999999999999,0.7536,0.7468,0.7404,0.7323999999999999,0.7246,0.718,0.714,0.71,0.7026,0.6976,0.6924,0.6886,0.6838,0.681,0.6779999999999999,0.6742,0.6706,0.6684,0.6652,0.6622,0.6596,0.6584,0.6557999999999999,0.6537999999999999
5000,200,30,F,65,68.808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9984,0.9956,0.9924,0.9862,0.9802,0.9712,0.959,0.9452,0.9298,0.9138,0.8992,0.8838,0.8706,0.8548,0.8394,0.8248,0.808,0.793,0.7814,0.7666,0.7548,0.7402,0.7345999999999999,0.7282,0.7232000000000001,0.7152000000000001,0.7103999999999999,0.706,0.7016,0.6984,0.6938,0.6908000000000001,0.687,0.6852,0.6812,0.6799999999999999,0.6768000000000001,0.6746,0.673,0.6704,0.6672,0.6656,0.6638,0.6622,0.6596,0.6588,0.6572
5000,200,30,G,65,38.208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9984,0.9956,0.9924,0.9862,0.9802,0.9712,0.959,0.9452,0.9298,0.9138,0.8992,0.8838,0.8706,0.8548,0.8394,0.8248,0.808,0.793,0.7814,0.7666,0.7548,0.7402,0.732,0.721,0.7094,0.7018,0.6926,0.6872,0.679,0.6734,0.667,0.6608,0.6554,0.6502,0.6432,0.6388,0.6334,0.629,0.6258,0.623,0.6202,0.6154,0.6102000000000001,0.6073999999999999,0.6032,0.6,0.598
5000,200,40,A,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9044,0.8858,0.8692,0.8498,0.8286,0.8106,0.7922,0.7712,0.7545999999999999,0.736,0.7178,0.6992,0.6836,0.6712,0.656,0.6414,0.6312,0.6202,0.6092,0.6004,0.5904,0.5806,0.5698,0.5616,0.5554,0.5496,0.5422,0.5364,0.53,0.5238,0.5178,0.512,0.505,0.4998,0.49439999999999995,0.48960000000000004,0.486,0.48240000000000005,0.4786,0.474
5000,200,40,B,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9064,0.891,0.8746,0.8573999999999999,0.8394,0.821,0.8084,0.7896,0.773,0.7568,0.7408,0.7252000000000001,0.7103999999999999,0.6938,0.683,0.6714,0.6576,0.6466000000000001,0.636,0.6252,0.615,0.6092,0.6026,0.5932,0.5871999999999999,0.5788,0.571,0.563,0.5564,0.5528,0.548,0.5428,0.5372,0.5336000000000001,0.5286,0.5227999999999999,0.519,0.5156000000000001,0.5122,0.5082
5000,200,40,C,60,99.44448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9178,0.9092,0.9048,0.8992,0.8938,0.8892,0.8842,0.8814,0.8756,0.8712,0.8662,0.8638,0.859,0.8546,0.8524,0.8478,0.845,0.842,0.8388,0.8356,0.8322,0.8302,0.8284,0.8256,0.8242,0.8222,0.8216,0.8202,0.8186,0.8172,0.8156,0.8144,0.8136,0.8122,0.8114,0.81,0.8094,0.8088,0.8084,0.8082
5000,200,40,D,65,130.848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9064,0.891,0.8746,0.8573999999999999,0.8394,0.835,0.8334,0.8314,0.8298,0.8286,0.8271999999999999,0.8254,0.8246,0.8240000000000001,0.823,0.8220000000000001,0.8206,0.8194,0.8182,0.8174,0.8168,0.8164,0.8160000000000001,0.8156,0.8152,0.8148,0.8146,0.8146,0.8142,0.8138,0.8138,0.8134,0.8132,0.813,0.813,0.813,0.813,0.813,0.813,0.813
5000,200,40,E,60,80.83968000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9984,0.9956,0.9924,0.9862,0.9802,0.9712,0.959,0.9514,0.9452,0.9388,0.9299999999999999,0.925,0.917,0.912,0.9044,0.8972,0.8922,0.8868,0.8796,0.8732,0.8672,0.8616,0.8566,0.8518,0.8476,0.8418,0.8384,0.8336,0.8302,0.8274,0.8242,0.8200000000000001,0.8164,0.8138,0.8109999999999999,0.8082,0.8056,0.8018000000000001,0.7996,0.7976,0.7952,0.7938000000000001,0.792,0.7906,0.7878000000000001,0.7852,0.7836
5000,200,40,F,65,106.368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9984,0.9956,0.9924,0.9862,0.9802,0.9712,0.959,0.9452,0.9298,0.9138,0.8992,0.8838,0.8798,0.8756,0.8706,0.867,0.862,0.8592,0.8548,0.8516,0.8476,0.8442000000000001,0.8408,0.8388,0.8342,0.8322,0.8294,0.8280000000000001,0.8262,0.8242,0.8212,0.8196,0.8182,0.8154,0.8142,0.8136,0.8122,0.8109999999999999,0.8102,0.8096,0.8089999999999999,0.8086,0.8078,0.8066,0.806,0.8056,0.8056
5000,200,40,G,65,85.968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9984,0.9956,0.9924,0.9862,0.9802,0.9712,0.959,0.9452,0.9298,0.9138,0.8992,0.8838,0.8784,0.871,0.865,0.8562,0.8513999999999999,0.8452,0.8388,0.8344,0.8260000000000001,0.8192,0.8156,0.8108,0.8072,0.8028,0.7984,0.7956,0.7928,0.7892,0.7862,0.7824,0.7786,0.7738,0.772,0.7684,0.765,0.7624,0.7608,0.7588,0.757,0.7544,0.7522,0.7498,0.7474000000000001,0.7458,0.745
5000,200,50,A,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9044,0.8858,0.8692,0.8498,0.8286,0.8106,0.7922,0.7712,0.7545999999999999,0.736,0.7178,0.6992,0.6836,0.6712,0.656,0.6414,0.6312,0.6202,0.6092,0.6004,0.5904,0.5806,0.5698,0.5616,0.5554,0.5496,0.5422,0.5364,0.53,0.5238,0.5178,0.512,0.505,0.4998,0.49439999999999995,0.48960000000000004,0.486,0.48240000000000005,0.4786,0.474
5000,200,50,B,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9996,0.9988,0.9966,0.9926,0.9866,0.9802,0.9714,0.9594,0.9438,0.9282,0.911,0.8962,0.8804,0.8648,0.8462000000000001,0.8294,0.815,0.7988,0.7838,0.769,0.7544,0.74,0.722,0.7066,0.6938,0.6836,0.6719999999999999,0.6608,0.6504,0.64,0.6306,0.623,0.616,0.6092,0.6013999999999999,0.5948,0.5868,0.5791999999999999,0.5728,0.5676,0.5631999999999999,0.5582,0.5534,0.5472,0.5434,0.5398000000000001,0.5344,0.5302,0.5262
5000,200,50,C,60,120.23808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9996,0.9996,0.9996,0.9992,0.999,0.9988,0.9988,0.9984,0.9976,0.9964,0.9962,0.9954,0.995,0.9946,0.993,0.9916,0.9906,0.9886,0.988,0.9868,0.985,0.9844,0.983,0.9818,0.981,0.98,0.9796,0.9794,0.9782,0.9772,0.9768,0.9758,0.9754,0.9744,0.9734,0.973,0.9722,0.9714,0.9706,0.9698,0.9694,0.9688,0.9682,0.968,0.9678,0.9672,0.9666
5000,200,50,D,65,158.208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9996,0.9988,0.9966,0.9926,0.9922,0.9922,0.992,0.9918,0.9916,0.9912,0.9908,0.9904,0.9902,0.9894,0.9892,0.989,0.989,0.989,0.9888,0.9888,0.9888,0.9886,0.9884,0.9884,0.9884,0.9882,0.9882,0.988,0.988,0.9876,0.9874,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872
5000,200,50,E,60,109.38528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9996,0.9994,0.999,0.999,0.9986,0.9982,0.997,0.9962,0.9958,0.995,0.994,0.9916,0.991,0.9892,0.987,0.9864,0.9846,0.9828,0.9806,0.9794,0.9776,0.9756,0.9742,0.9724,0.9716,0.97,0.9668,0.965,0.9634,0.9618,0.9604,0.9586,0.9582,0.9568,0.9554,0.9546,0.9528,0.9514,0.9508,0.9504,0.9496,0.9492,0.9488,0.9486,0.9474
5000,200,50,F,65,143.928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9984,0.9956,0.9944,0.994,0.994,0.9934,0.9928,0.9918,0.9914,0.9908,0.9904,0.9904,0.99,0.9896,0.9894,0.9892,0.989,0.9878,0.9862,0.9862,0.9856,0.9852,0.9844,0.9844,0.9842,0.9836,0.9832,0.983,0.9828,0.9826,0.982,0.9818,0.9814,0.9814,0.9814,0.9814,0.9812,0.981,0.981,0.981,0.9808,0.9808,0.9808,0.9808,0.9806,0.9806,0.9806
5000,200,50,G,65,133.728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9984,0.9956,0.9944,0.994,0.9932,0.9922,0.9912,0.9902,0.989,0.9884,0.9878,0.987,0.986,0.9854,0.9842,0.983,0.9818,0.9802,0.9796,0.9784,0.9778,0.9772,0.9756,0.9744,0.9732,0.9728,0.9726,0.9722,0.9718,0.9714,0.971,0.971,0.9704,0.97,0.9698,0.9692,0.9688,0.9684,0.9676,0.9676,0.967,0.9668,0.9666,0.9662,0.966,0.966,0.965
5000,200,60,A,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9044,0.8858,0.8692,0.8498,0.8286,0.8106,0.7922,0.7712,0.7545999999999999,0.736,0.7178,0.6992,0.6836,0.6712,0.656,0.6414,0.6312,0.6202,0.6092,0.6004,0.5904,0.5806,0.5698,0.5616,0.5554,0.5496,0.5422,0.5364,0.53,0.5238,0.5178,0.512,0.505,0.4998,0.49439999999999995,0.48960000000000004,0.486,0.48240000000000005,0.4786,0.474
5000,200,60,B,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9984,0.9956,0.9924,0.9862,0.9802,0.9712,0.959,0.9452,0.9298,0.9138,0.8992,0.8838,0.8706,0.8548,0.8394,0.8248,0.808,0.793,0.7814,0.7666,0.7548,0.7402,0.7288,0.7132000000000001,0.6990000000000001,0.6894,0.6804,0.6692,0.6579999999999999,0.65,0.642,0.6335999999999999,0.626,0.6228,0.6162000000000001,0.6084,0.601,0.5944,0.5893999999999999,0.5846,0.5808,0.5771999999999999,0.5720000000000001,0.5651999999999999,0.5622,0.556,0.5538000000000001
