threshold_x,max_year_y,income_percent_z,scenario,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.04,10,0.25,"X=4%, Y=10, Z=25%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9992,0.9946,0.9908,0.9814,0.9678,0.953,0.9376,0.9214,0.9012,0.8792,0.8616,0.8428,0.8228,0.8008,0.7776,0.757,0.7366,0.7162,0.6966,0.6792,0.6638,0.6482,0.6314,0.6162,0.6014,0.5868,0.5734,0.5632,0.5532,0.5438,0.5354,0.5262,0.5188,0.5098,0.502,0.495,0.4898,0.4812,0.476
0.04,10,0.5,"X=4%, Y=10, Z=50%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9964,0.991,0.9862,0.9766,0.9654,0.9484,0.9332,0.9154,0.896,0.8772,0.8562,0.8384,0.8188,0.797,0.778,0.7596,0.7424,0.722,0.7072,0.693,0.6756,0.6588,0.6432,0.628,0.6144,0.6036,0.5946,0.5852,0.5744,0.5648,0.5538,0.5462,0.5394,0.5314,0.5248,0.5162,0.5106
0.04,10,0.75,"X=4%, Y=10, Z=75%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9992,0.9974,0.993,0.9874,0.979,0.9688,0.9564,0.9422,0.9246,0.9068,0.889,0.8692,0.8488,0.8302,0.8102,0.7922,0.773,0.758,0.7406,0.7238,0.7108,0.6932,0.6808,0.6644,0.6486,0.6346,0.6244,0.6144,0.6038,0.5956,0.5864,0.5772,0.5696,0.5606,0.554,0.5472,0.5412
0.04,10,1.0,"X=4%, Y=10, Z=100%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.999,0.9972,0.994,0.9884,0.9796,0.9712,0.9588,0.944,0.9284,0.9126,0.896,0.8758,0.8562,0.8392,0.8186,0.8034,0.7864,0.7696,0.7524,0.738,0.7238,0.7086,0.6942,0.678,0.6648,0.6548,0.6448,0.6332,0.6224,0.6134,0.602,0.5926,0.5846,0.5778,0.5718,0.5654
0.04,20,0.25,"X=4%, Y=20, Z=25%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9992,0.9978,0.9946,0.991,0.9856,0.9788,0.9692,0.958,0.9454,0.9284,0.9114,0.8918,0.8734,0.855,0.8336,0.814,0.7946,0.7744,0.754,0.7336,0.7158,0.7002,0.6836,0.6638,0.6462,0.6326,0.62,0.6078,0.5956,0.5834,0.572,0.5598,0.552,0.5444,0.5334,0.5258,0.5202,0.5098,0.5034
0.04,20,0.5,"X=4%, Y=20, Z=50%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.9984,0.9978,0.9956,0.993,0.9896,0.9816,0.9738,0.9602,0.9444,0.9298,0.912,0.8974,0.8796,0.8602,0.8396,0.8204,0.8048,0.7856,0.7698,0.7534,0.7338,0.7164,0.6994,0.6834,0.669,0.6574,0.6452,0.6316,0.6228,0.6126,0.6022,0.5924,0.5862,0.5772,0.5702
0.04,20,0.75,"X=4%, Y=20, Z=75%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.998,0.9956,0.9902,0.983,0.9748,0.9652,0.9516,0.9394,0.9256,0.906,0.89,0.8704,0.8538,0.8358,0.8194,0.7992,0.7836,0.7682,0.7532,0.7394,0.7244,0.7124,0.6986,0.6854,0.6742,0.6644,0.6514,0.6404,0.6318,0.623
0.04,20,1.0,"X=4%, Y=20, Z=100%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9958,0.9928,0.9866,0.9792,0.9702,0.9616,0.9482,0.9356,0.9196,0.9022,0.8866,0.872,0.8544,0.838,0.819,0.806,0.7892,0.775,0.7632,0.75,0.7366,0.7222,0.7132,0.7014,0.6892,0.6794,0.6678
0.04,30,0.25,"X=4%, Y=30, Z=25%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9992,0.9978,0.9946,0.991,0.9856,0.9788,0.9692,0.958,0.9454,0.9326,0.9202,0.9054,0.8906,0.878,0.8646,0.8494,0.8348,0.8198,0.8036,0.7882,0.771,0.7502,0.7308,0.714,0.6974,0.6802,0.6622,0.6494,0.6352,0.6222,0.6076,0.5938,0.5846,0.5762,0.5684,0.5566,0.548,0.5394,0.5322
0.04,30,0.5,"X=4%, Y=30, Z=50%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.9984,0.9978,0.9956,0.993,0.9896,0.986,0.982,0.9784,0.9736,0.9678,0.9606,0.9522,0.9452,0.937,0.9304,0.9152,0.9008,0.88,0.8626,0.8456,0.8276,0.8114,0.7956,0.7778,0.761,0.7466,0.734,0.7188,0.7054,0.6916,0.6762,0.6624,0.6514,0.6386,0.629
0.04,30,0.75,"X=4%, Y=30, Z=75%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9994,0.9992,0.9982,0.998,0.9976,0.9974,0.9956,0.9942,0.9936,0.9928,0.9864,0.9766,0.9648,0.9544,0.9416,0.9272,0.9142,0.898,0.8808,0.8652,0.8522,0.8354,0.819,0.8048,0.7886,0.776,0.7612,0.7468,0.7348,0.7216
0.04,30,1.0,"X=4%, Y=30, Z=100%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986,0.9958,0.991,0.9848,0.9772,0.9674,0.9564,0.9468,0.9344,0.9202,0.9058,0.8892,0.8746,0.8614,0.8486,0.8364,0.8202,0.8076,0.7946
0.04,40,0.25,"X=4%, Y=40, Z=25%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9992,0.9978,0.9946,0.991,0.9856,0.9788,0.9692,0.958,0.9454,0.9326,0.9202,0.9054,0.8906,0.878,0.8646,0.8494,0.8348,0.8198,0.8036,0.7926,0.777,0.7656,0.7496,0.735,0.724,0.7106,0.6972,0.6842,0.674,0.6604,0.6468,0.6318,0.619,0.6064,0.5958,0.5854,0.5776,0.567,0.5586
0.04,40,0.5,"X=4%, Y=40, Z=50%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.9984,0.9978,0.9956,0.993,0.9896,0.986,0.982,0.9784,0.9736,0.9678,0.9606,0.9522,0.9452,0.937,0.9304,0.9234,0.9146,0.9072,0.9006,0.8886,0.8798,0.8714,0.8622,0.8522,0.8444,0.8296,0.815,0.8006,0.7814,0.767,0.7512,0.7402,0.729,0.7148,0.7016
0.04,40,0.75,"X=4%, Y=40, Z=75%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9994,0.9992,0.9982,0.998,0.9976,0.9974,0.9956,0.9942,0.9936,0.9928,0.992,0.9904,0.9888,0.9864,0.9844,0.983,0.98,0.9768,0.974,0.9712,0.961,0.949,0.935,0.922,0.9076,0.895,0.8824,0.8674,0.8522,0.8402
0.04,40,1.0,"X=4%, Y=40, Z=100%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9982,0.9944,0.9874,0.9792,0.9698,0.9592,0.9504,0.9372,0.925
