pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
60,0.6000,DynamicV1Rebalance,1.0000,16254.5678,162.5457,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.6000,DynamicV1Rebalance,1.0000,16254.5678,162.5457,spend25p,162.7301,163.4785,163.9199,164.1976,164.5819,165.4006,166.0262,166.8968,167.7623,168.3576,169.1811,169.5900,171.2607,172.5484,173.1156,173.3567,173.9370,174.8203,175.4400,176.3240,176.4183,177.2267,178.1663,178.9968,179.5118,178.8526,178.4433,8.0820,3.8833,0.0135,-4.1812,-8.9085,-13.7894,-19.0066,-24.7762,-30.3223,-36.2637,-42.2957,-48.2460,-54.4493,-60.4777,-66.5203,-73.1653,-80.0033,-86.6768,-93.7753,-101.2652,-109.5627,-118.2570,-128.1703,-138.0722,-148.4423,-160.1185,-173.4303,-186.9449,-200.4099,-213.8197,-228.2123,-243.1194,-258.5050,-274.4837,-292.3797
60,0.6000,DynamicV1Rebalance,1.0000,16254.5678,162.5457,spend50p,163.9204,166.9029,170.1875,173.8268,176.9271,180.2143,184.0248,187.9681,191.7673,196.8893,200.9423,204.1267,207.8179,213.4310,218.5536,221.8161,224.9095,228.7915,232.3490,235.7923,238.6872,241.0646,244.7205,248.0781,250.5269,252.8368,255.6825,38.6699,35.1330,30.8898,27.0046,21.6057,15.8353,9.9938,3.1571,-2.8673,-9.3188,-16.1884,-23.4543,-30.9566,-37.7839,-45.1254,-52.6477,-60.6229,-68.3244,-76.6803,-84.2780,-92.2456,-100.7207,-109.5014,-118.4054,-127.5464,-138.0610,-148.7551,-159.9981,-171.7963,-183.4768,-195.1458,-206.7525,-219.9382,-233.5533,-246.9636
60,0.6000,DynamicV1Rebalance,1.0000,16254.5678,162.5457,spend75p,165.0081,170.4819,176.5873,183.1952,190.7723,197.7478,205.2005,213.7790,221.0778,230.0261,238.1217,246.3639,253.7022,261.2605,271.2636,279.5244,289.0611,296.9571,306.5624,314.8145,321.0287,329.7930,336.1664,344.1631,352.5737,361.9419,370.8127,87.6226,84.3830,79.6713,74.7561,69.8020,64.1321,58.4341,52.5022,46.1157,37.5820,29.1532,20.7723,12.0013,3.0599,-6.4840,-15.7200,-25.5340,-35.3023,-46.0218,-57.7863,-68.8853,-79.2641,-89.4177,-98.8980,-108.0083,-117.5555,-127.5102,-138.1389,-147.5674,-156.8170,-166.3803,-177.2056,-186.5648,-197.8691,-209.4291
60,0.6000,DynamicV1Rebalance,1.2000,13545.4732,162.5457,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9995,0.9995,0.9995,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990,0.9990
60,0.6000,DynamicV1Rebalance,1.2000,13545.4732,162.5457,spend25p,162.7301,163.4785,163.9199,164.1976,164.5819,165.4006,166.0262,166.8968,167.7623,168.3576,169.1811,169.5900,171.2607,172.5484,173.1156,173.3567,173.9370,174.8203,175.4400,176.3240,176.4183,177.2267,178.1663,178.8773,179.4774,178.6374,178.3903,7.9633,3.8049,-0.0115,-4.1812,-8.9085,-13.7894,-19.0066,-24.7762,-30.3223,-36.2637,-42.2957,-48.2460,-54.4493,-60.4777,-66.5203,-73.1653,-80.0033,-86.6768,-93.7753,-101.2652,-109.5627,-118.2570,-128.1703,-138.0722,-148.4423,-160.1185,-173.4303,-186.9449,-200.4099,-213.8197,-228.2123,-243.1194,-258.5050,-274.4837,-292.3797
60,0.6000,DynamicV1Rebalance,1.2000,13545.4732,162.5457,spend50p,163.9204,166.9029,170.1875,173.8268,176.9271,180.2143,184.0248,187.9681,191.7673,196.8893,200.9423,204.1267,207.8179,213.4310,218.5536,221.8161,224.9095,228.7915,232.3490,235.7923,238.6872,241.0646,244.7205,247.6441,250.2743,252.1228,255.6359,38.5661,35.0069,30.8600,26.8884,21.2529,15.6376,9.8890,3.0038,-2.8673,-9.3188,-16.1884,-23.4543,-30.9566,-37.7839,-45.1254,-52.6477,-60.6229,-68.3244,-76.6803,-84.2780,-92.2456,-100.7207,-109.5014,-118.4054,-127.5464,-138.0610,-148.7551,-159.9981,-171.7963,-183.4768,-195.1458,-206.7525,-219.9382,-233.5533,-246.9636
60,0.6000,DynamicV1Rebalance,1.2000,13545.4732,162.5457,spend75p,165.0081,170.4819,176.5873,183.1952,190.7723,197.7478,205.2005,213.7790,221.0778,230.0261,238.1217,246.3639,253.7022,261.2605,271.2636,279.5244,289.0611,296.9571,306.5624,314.8145,321.0287,329.7930,336.1664,344.0600,352.3721,361.8110,370.5107,87.4714,84.2501,79.2002,74.6788,69.5885,63.8487,58.1194,52.2982,45.7870,37.4524,29.0952,20.5922,11.9506,2.8113,-6.4840,-15.7200,-25.5340,-35.3023,-46.0218,-57.7863,-68.8853,-79.2641,-89.4177,-98.8980,-108.0083,-117.5555,-127.5102,-138.1389,-147.5674,-156.8170,-166.3803,-177.1363,-186.5310,-197.8028,-209.4139
60,0.6000,DynamicV1Rebalance,1.5000,10836.3785,162.5457,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9990,0.9980,0.9970,0.9960,0.9950,0.9940,0.9935,0.9935,0.9930,0.9930,0.9925,0.9920,0.9920,0.9920,0.9920,0.9920,0.9910,0.9910,0.9910,0.9910,0.9910,0.9910,0.9900,0.9900,0.9900,0.9900,0.9900,0.9900,0.9900,0.9900,0.9900,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895
60,0.6000,DynamicV1Rebalance,1.5000,10836.3785,162.5457,spend25p,162.7301,163.4785,163.9199,164.1976,164.5819,165.4006,166.0262,166.8968,167.7623,168.3576,169.1811,169.5900,171.2607,172.5484,173.1156,173.3567,173.9370,174.8203,175.4400,176.3240,176.4183,177.2267,178.1663,178.8259,179.0965,178.0128,177.0820,7.4761,2.5247,-0.0115,-4.1812,-8.9085,-13.7894,-19.0066,-24.7762,-30.3223,-36.2637,-42.2957,-48.2460,-54.4493,-60.4777,-66.5203,-73.1653,-80.0033,-86.6768,-93.6544,-101.2311,-109.4509,-118.1693,-128.0464,-137.7964,-147.7991,-159.5930,-172.7202,-186.2397,-199.5849,-212.9917,-227.2513,-242.3887,-257.6738,-273.5577,-291.1687
