pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
60,0.6000,DynamicV1Rebalance,1.5000,11354.1182,170.3118,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.6000,DynamicV1Rebalance,1.5000,11354.1182,170.3118,spend25p,170.3875,170.5127,170.2925,170.1295,169.5983,169.4684,169.1679,169.2017,168.4536,167.5253,166.2909,165.7080,164.9197,164.8524,165.8101,165.9676,165.8893,166.5269,167.1215,167.1165,6.3882,3.4956,-0.1962,-3.9447,-7.9808,-11.8892,-15.9344,-20.3007,-24.4706,-28.7492,-33.1534,-38.3938,-43.3497,-48.9543,-54.5419,-59.6302,-65.0679,-70.5443,-76.3375,-82.5998,-89.3544,-96.7000,-104.6385,-113.4090,-122.9181,-132.5047,-143.2632,-154.5956,-165.8442,-176.5408,-187.9880,-199.5161,-212.0519,-225.6754,-238.8479
60,0.6000,DynamicV1Rebalance,1.5000,11354.1182,170.3118,spend50p,171.6380,174.1551,176.7953,179.4940,182.2746,185.1286,188.0198,190.9885,194.1281,196.8589,198.8003,201.1718,204.3593,207.3126,210.4762,211.7386,213.0286,213.9861,216.9556,220.0761,25.9121,22.9546,19.3146,15.4000,11.1962,7.0992,3.1487,-1.1961,-5.6877,-10.6572,-15.4523,-21.1040,-26.8839,-32.5617,-38.7422,-44.9290,-51.7438,-58.4193,-64.5954,-71.2717,-77.6339,-85.0417,-92.0031,-99.1246,-107.0812,-115.4696,-124.7320,-134.4009,-143.6790,-152.4332,-161.7248,-171.1009,-181.2199,-191.2719,-202.9341
60,0.6000,DynamicV1Rebalance,1.5000,11354.1182,170.3118,spend75p,172.8376,177.7491,183.5588,189.1237,195.1489,202.2453,209.3957,215.4773,222.6403,229.0905,236.4670,243.4780,249.3801,255.3371,262.2566,268.4714,275.0865,284.1218,290.1548,296.5583,52.9433,50.5435,47.3953,44.1793,39.9366,36.5637,32.1188,26.7492,22.4128,17.1163,11.3883,5.0652,-1.8104,-8.9955,-16.7614,-23.9799,-31.3474,-39.5493,-47.8188,-56.1912,-64.6132,-72.2414,-79.7824,-87.2806,-94.5321,-102.1439,-110.0258,-118.0375,-126.0080,-133.4967,-140.7339,-148.5749,-156.4170,-164.7474,-173.6321
60,0.6000,DynamicV1Rebalance,2.0000,8515.5886,170.3118,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9985,0.9985,0.9985,0.9985,0.9985,0.9980,0.9980,0.9980,0.9975,0.9970,0.9960,0.9960,0.9955,0.9950,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945
60,0.6000,DynamicV1Rebalance,2.0000,8515.5886,170.3118,spend25p,170.3875,170.5127,170.2925,170.1295,169.5983,169.4684,169.1679,169.2017,168.4536,167.5253,166.2909,165.7080,164.9197,164.8524,165.8101,165.9676,165.8893,166.4857,166.7687,166.8762,6.1585,3.2060,-0.1962,-3.9447,-7.9808,-11.8892,-15.9344,-20.3007,-24.4706,-28.7492,-33.1534,-38.3938,-43.3497,-48.9543,-54.5419,-59.6302,-65.0679,-70.5180,-76.3138,-82.5304,-89.3434,-96.6321,-104.5905,-113.2934,-122.7990,-132.2123,-143.0391,-154.3734,-165.6830,-176.1309,-187.6841,-199.0567,-211.6275,-225.0462,-238.1644
60,0.6000,DynamicV1Rebalance,2.0000,8515.5886,170.3118,spend50p,171.6380,174.1551,176.7953,179.4940,182.2746,185.1286,188.0198,190.9885,194.1281,196.8589,198.8003,201.1718,204.3593,207.3126,210.4762,211.7386,213.0286,213.8047,216.7634,219.8653,25.7969,22.8165,19.2321,15.3463,11.0557,6.8658,2.9973,-1.1961,-5.6877,-10.6572,-15.4523,-21.1040,-26.8839,-32.5617,-38.7382,-44.8982,-51.6938,-58.3945,-64.5885,-71.2265,-77.6079,-84.9002,-91.9361,-99.0149,-106.9659,-115.3704,-124.4818,-134.1406,-143.5320,-152.2945,-161.4789,-170.9079,-180.7321,-190.7723,-202.4456
60,0.6000,DynamicV1Rebalance,2.0000,8515.5886,170.3118,spend75p,172.8376,177.7491,183.5588,189.1237,195.1489,202.2453,209.3957,215.4773,222.6403,229.0905,236.4670,243.4780,249.3801,255.3371,262.2566,268.4714,275.0865,283.4846,289.9238,296.1907,52.7937,50.4249,47.2525,43.9104,39.7795,36.3936,31.8054,26.4371,21.4620,16.7084,10.9364,4.5739,-1.4953,-8.8891,-16.5798,-23.8257,-31.2190,-39.4811,-47.6934,-56.0399,-64.3961,-72.1524,-79.6423,-87.0413,-94.3378,-102.0522,-109.5935,-117.8077,-125.6865,-133.0688,-140.3731,-148.0969,-155.8432,-163.9524,-173.0476
60,0.6000,DynamicV1Rebalance,2.5000,6812.4709,170.3118,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9990,0.9980,0.9965,0.9930,0.9900,0.9890,0.9860,0.9850,0.9845,0.9835,0.9835,0.9830,0.9825,0.9815,0.9810,0.9800,0.9795,0.9795,0.9785,0.9785,0.9785,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775
60,0.6000,DynamicV1Rebalance,2.5000,6812.4709,170.3118,spend25p,170.3875,170.5127,170.2925,170.1295,169.5983,169.4684,169.1679,169.2017,168.4536,167.5253,166.2909,165.7080,164.8947,164.5779,165.4138,164.7786,164.9686,164.8991,164.7132,164.6249,5.1226,1.7807,-0.1620,-3.8356,-7.6501,-11.7942,-15.7976,-20.0643,-24.0872,-28.5808,-32.9833,-38.0145,-43.1081,-48.6728,-54.2697,-59.3508,-64.8899,-70.3004,-76.1624,-82.2909,-89.0360,-96.4309,-104.2785,-113.0214,-122.3590,-131.7827,-142.6187,-153.9057,-164.9191,-175.3127,-186.7472,-198.5825,-210.5828,-223.6899,-237.2406
60,0.6000,DynamicV1Rebalance,2.5000,6812.4709,170.3118,spend50p,171.6380,174.1551,176.7953,179.4940,182.2746,185.1286,188.0198,190.9885,194.1281,196.8589,198.8003,201.1718,204.2938,207.1621,210.2235,211.0029,211.3805,212.6848,215.5052,217.1133,24.7956,21.7239,18.4208,14.3628,10.4061,6.0926,2.2269,-0.8754,-5.3284,-10.1816,-14.9712,-20.6434,-26.4008,-32.2427,-38.3761,-44.5105,-51.3144,-58.0368,-64.4139,-70.8917,-77.3420,-84.6476,-91.6333,-98.5919,-106.6273,-115.0933,-123.9345,-133.5025,-142.9663,-151.7003,-160.9503,-169.9623,-179.6912,-190.0315,-201.1160
60,0.6000,DynamicV1Rebalance,2.5000,6812.4709,170.3118,spend75p,172.8376,177.7491,183.5588,189.1237,195.1489,202.2453,209.3957,215.4773,222.6403,229.0905,236.4670,243.4780,249.2587,255.2221,262.0852,268.2607,274.2237,281.4979,287.6980,293.2842,52.0412,48.9616,46.0120,42.5879,38.2112,34.3901,29.7243,24.8862,19.9747,14.9851,9.0197,3.1309,-0.4547,-7.8463,-15.3963,-23.0253,-30.1969,-38.2551,-46.8216,-55.0092,-63.6934,-71.2814,-79.0700,-86.4576,-93.6472,-101.3837,-108.6288,-116.8374,-124.6121,-131.8801,-138.9924,-146.8250,-154.5875,-162.3889,-171.1517
60,0.6000,DynamicV1Rebalance,3.0000,5677.0591,170.3118,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9985,0.9970,0.9935,0.9900,0.9875,0.9805,0.9705,0.9655,0.9555,0.9545,0.9525,0.9510,0.9505,0.9490,0.9480,0.9475,0.9475,0.9460,0.9450,0.9445,0.9445,0.9445,0.9440,0.9435,0.9430,0.9430,0.9430,0.9430,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9420,0.9420,0.9420,0.9420,0.9420,0.9420,0.9420,0.9420
