pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
60,0.6000,DynamicV1Rebalance,2.5000,6925.7726,173.1443,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.6000,DynamicV1Rebalance,2.5000,6925.7726,173.1443,spend25p,173.3478,172.1553,170.8478,169.0673,167.4331,165.9494,164.1629,162.2902,160.4168,158.7991,3.9410,1.2229,-1.7421,-5.0519,-8.4288,-11.8516,-15.2781,-18.9795,-22.6035,-26.5435,-30.2704,-34.1887,-37.7625,-41.7365,-45.7350,-49.7137,-53.8002,-58.1945,-62.7065,-67.4848,-72.9552,-78.8002,-85.5082,-92.7782,-100.9311,-109.4176,-118.3791,-127.7920,-136.8142,-145.4856,-153.8084,-162.9094,-172.2645,-182.4531,-193.1624
60,0.6000,DynamicV1Rebalance,2.5000,6925.7726,173.1443,spend50p,174.5413,175.8690,177.3199,178.3253,179.8322,181.1770,182.8693,184.6694,186.2542,187.6670,13.2612,10.6917,7.8951,4.6775,1.1221,-2.3633,-5.8676,-9.7114,-13.5755,-17.5796,-21.5470,-25.5381,-29.9974,-34.2306,-38.8452,-43.3208,-48.0123,-52.7159,-57.2261,-61.7618,-66.5580,-71.8581,-77.8790,-84.1362,-90.7484,-97.5276,-104.5965,-112.1784,-119.2275,-125.5142,-132.1687,-139.4838,-146.5777,-154.5611,-162.6847
60,0.6000,DynamicV1Rebalance,2.5000,6925.7726,173.1443,spend75p,175.7671,179.5603,183.9811,188.5743,193.4077,198.2602,203.9433,208.6597,214.1089,219.4109,21.9774,19.6125,17.2768,14.5811,11.5575,8.4718,5.1252,1.7464,-2.0514,-6.2981,-10.6862,-15.4842,-20.3307,-25.1268,-30.0505,-35.4094,-40.5026,-45.7430,-51.0107,-55.9810,-61.1087,-66.2289,-71.6172,-77.1605,-82.9578,-88.4851,-94.3187,-100.0307,-105.7492,-110.7653,-115.7976,-120.9674,-126.5983,-132.4191,-138.3102
60,0.6000,DynamicV1Rebalance,3.0000,5771.4771,173.1443,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995
60,0.6000,DynamicV1Rebalance,3.0000,5771.4771,173.1443,spend25p,173.3478,172.1553,170.8478,169.0673,167.4331,165.9494,164.1629,162.2902,160.4168,158.7991,3.9410,1.2229,-1.7421,-5.0519,-8.4288,-11.8516,-15.2781,-18.9795,-22.6035,-26.5435,-30.2704,-34.1887,-37.7625,-41.7365,-45.7350,-49.7137,-53.8002,-58.1945,-62.7065,-67.4848,-72.9552,-78.8002,-85.5082,-92.7782,-100.9311,-109.4176,-118.3791,-127.7920,-136.8142,-145.4856,-153.8084,-162.9094,-172.2645,-182.4531,-193.1624
60,0.6000,DynamicV1Rebalance,3.0000,5771.4771,173.1443,spend50p,174.5413,175.8690,177.3199,178.3253,179.8322,181.1770,182.8693,184.6694,186.2542,187.6670,13.2612,10.6917,7.8951,4.6775,1.1221,-2.3633,-5.8676,-9.7114,-13.5755,-17.5796,-21.5470,-25.5381,-29.9974,-34.2306,-38.8452,-43.3208,-48.0123,-52.7159,-57.2261,-61.7618,-66.5580,-71.8581,-77.8790,-84.1362,-90.7484,-97.5276,-104.5880,-112.1538,-119.1949,-125.4977,-132.0708,-139.4764,-146.5197,-154.5156,-162.6323
60,0.6000,DynamicV1Rebalance,3.0000,5771.4771,173.1443,spend75p,175.7671,179.5603,183.9811,188.5743,193.4077,198.2602,203.9433,208.6597,214.1089,219.4109,21.9774,19.6125,17.2768,14.5811,11.5575,8.4718,5.1252,1.7464,-2.0514,-6.2981,-10.6862,-15.4842,-20.3307,-25.1268,-30.0505,-35.4094,-40.5026,-45.7430,-51.0107,-55.9810,-61.1087,-66.2289,-71.6172,-77.1605,-82.9522,-88.4705,-94.2908,-99.9743,-105.7335,-110.7526,-115.7657,-120.9431,-126.5903,-132.3813,-138.2528
60,0.6000,DynamicV1Rebalance,3.5000,4946.9804,173.1443,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9985,0.9985,0.9985,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980
60,0.6000,DynamicV1Rebalance,3.5000,4946.9804,173.1443,spend25p,173.3478,172.1553,170.8478,169.0673,167.4331,165.9494,164.1629,162.2902,160.4168,158.6258,3.8920,1.1780,-1.7421,-5.0519,-8.4288,-11.8516,-15.2781,-18.9795,-22.5552,-26.5129,-30.2684,-34.1693,-37.7543,-41.7292,-45.7258,-49.6891,-53.7979,-58.1778,-62.6777,-67.4590,-72.9484,-78.7839,-85.4851,-92.7687,-100.8110,-109.3862,-118.2875,-127.7827,-136.7190,-145.3873,-153.7741,-162.8613,-172.2168,-182.3932,-193.0747
60,0.6000,DynamicV1Rebalance,3.5000,4946.9804,173.1443,spend50p,174.5413,175.8690,177.3199,178.3253,179.8322,181.1770,182.8693,184.6694,186.2542,187.6348,13.2229,10.6265,7.8395,4.6336,1.0500,-2.3554,-5.8473,-9.7028,-13.5603,-17.5465,-21.5306,-25.5186,-29.9550,-34.2176,-38.8238,-43.2821,-47.9993,-52.6978,-57.2141,-61.7535,-66.5247,-71.8481,-77.8339,-84.0988,-90.7248,-97.5050,-104.5366,-112.1068,-119.1637,-125.4163,-131.9855,-139.3143,-146.4954,-154.4491,-162.5454
