pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
60,0.6000,DynamicV1Rebalance,3.0000,4743.0832,142.2925,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.6000,DynamicV1Rebalance,3.0000,4743.0832,142.2925,spend25p,0.7404,-2.0681,-5.0653,-8.1445,-11.1475,-14.1565,-17.3243,-20.4629,-23.7399,-26.9206,-30.3021,-33.7685,-37.3068,-41.0417,-44.9848,-48.9470,-53.1901,-57.6019,-62.2396,-67.0709,-72.2877,-77.7891,-83.4498,-89.2659,-95.5365,-102.3839,-108.9568,-115.7111,-122.3628,-128.2167,-134.4862,-140.6746,-148.0303,-156.2526,-164.5586
60,0.6000,DynamicV1Rebalance,3.0000,4743.0832,142.2925,spend50p,0.9533,-1.4161,-3.8869,-6.4835,-9.1812,-12.0264,-15.0100,-18.0036,-21.2340,-24.4972,-27.9337,-31.4996,-35.2129,-38.9525,-42.7405,-46.3384,-50.1545,-53.9368,-57.8137,-61.7489,-65.7793,-69.9614,-74.3060,-78.8739,-83.5833,-88.5235,-93.3974,-98.7621,-103.4198,-107.6093,-112.1829,-117.0240,-122.9098,-128.1633,-133.9832
60,0.6000,DynamicV1Rebalance,3.0000,4743.0832,142.2925,spend75p,1.1508,-0.8535,-2.9827,-5.2629,-7.6419,-10.2966,-13.0772,-16.0023,-19.2422,-22.5535,-26.0838,-29.7536,-33.3917,-37.1244,-40.7741,-44.3034,-47.7717,-51.1576,-54.4779,-57.8833,-61.2181,-64.4971,-67.9976,-71.5723,-75.2379,-78.9318,-82.7219,-86.8262,-90.4015,-93.8466,-97.2181,-101.0267,-105.0807,-109.2670,-113.6982
60,0.6000,DynamicV1Rebalance,4.0000,3557.3124,142.2925,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.6000,DynamicV1Rebalance,4.0000,3557.3124,142.2925,spend25p,0.7404,-2.0681,-5.0653,-8.1445,-11.1475,-14.1565,-17.3243,-20.4629,-23.7399,-26.9206,-30.3021,-33.7685,-37.3068,-41.0417,-44.9848,-48.9470,-53.1901,-57.6019,-62.2396,-67.0709,-72.2877,-77.7891,-83.4498,-89.2659,-95.5365,-102.3839,-108.9568,-115.7111,-122.3628,-128.2167,-134.4862,-140.6746,-148.0303,-156.2526,-164.5586
60,0.6000,DynamicV1Rebalance,4.0000,3557.3124,142.2925,spend50p,0.9533,-1.4161,-3.8869,-6.4835,-9.1812,-12.0264,-15.0100,-18.0036,-21.2340,-24.4972,-27.9337,-31.4996,-35.2129,-38.9525,-42.7405,-46.3384,-50.1545,-53.9368,-57.8137,-61.7489,-65.7793,-69.9614,-74.3060,-78.8739,-83.5833,-88.5235,-93.3974,-98.7621,-103.4198,-107.6093,-112.1829,-117.0240,-122.9098,-128.1633,-133.9832
60,0.6000,DynamicV1Rebalance,4.0000,3557.3124,142.2925,spend75p,1.1508,-0.8535,-2.9827,-5.2629,-7.6419,-10.2966,-13.0772,-16.0023,-19.2422,-22.5535,-26.0838,-29.7536,-33.3917,-37.1244,-40.7741,-44.3034,-47.7717,-51.1576,-54.4779,-57.8833,-61.2181,-64.4971,-67.9976,-71.5723,-75.2379,-78.9318,-82.7219,-86.8262,-90.4015,-93.8466,-97.2181,-101.0267,-105.0807,-109.2670,-113.6982
60,0.6000,DynamicV1Rebalance,5.0000,2845.8499,142.2925,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.6000,DynamicV1Rebalance,5.0000,2845.8499,142.2925,spend25p,0.7404,-2.0681,-5.0653,-8.1445,-11.1475,-14.1565,-17.3243,-20.4629,-23.7399,-26.9206,-30.3021,-33.7685,-37.3068,-41.0417,-44.9848,-48.9470,-53.1901,-57.6019,-62.2396,-67.0709,-72.2877,-77.7891,-83.4498,-89.2659,-95.5365,-102.3839,-108.9568,-115.7111,-122.3628,-128.2167,-134.4862,-140.6746,-148.0303,-156.2526,-164.5586
60,0.6000,DynamicV1Rebalance,5.0000,2845.8499,142.2925,spend50p,0.9533,-1.4161,-3.8869,-6.4835,-9.1812,-12.0264,-15.0100,-18.0036,-21.2340,-24.4972,-27.9337,-31.4996,-35.2129,-38.9525,-42.7405,-46.3384,-50.1545,-53.9368,-57.8137,-61.7489,-65.7793,-69.9614,-74.3060,-78.8739,-83.5833,-88.5235,-93.3974,-98.7621,-103.4198,-107.6093,-112.1829,-117.0240,-122.9098,-128.1633,-133.9832
60,0.6000,DynamicV1Rebalance,5.0000,2845.8499,142.2925,spend75p,1.1508,-0.8535,-2.9827,-5.2629,-7.6419,-10.2966,-13.0772,-16.0023,-19.2422,-22.5535,-26.0838,-29.7536,-33.3917,-37.1244,-40.7741,-44.3034,-47.7717,-51.1576,-54.4779,-57.8833,-61.2181,-64.4971,-67.9976,-71.5723,-75.2379,-78.9318,-82.7219,-86.8262,-90.4015,-93.8466,-97.2181,-101.0267,-105.0807,-109.2670,-113.6982
60,0.6000,DynamicV1Rebalance,6.0000,2371.5416,142.2925,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.6000,DynamicV1Rebalance,6.0000,2371.5416,142.2925,spend25p,0.7404,-2.0681,-5.0653,-8.1445,-11.1475,-14.1565,-17.3243,-20.4629,-23.7399,-26.9206,-30.3021,-33.7685,-37.3068,-41.0417,-44.9848,-48.9470,-53.1901,-57.6019,-62.2396,-67.0709,-72.2877,-77.7891,-83.4498,-89.2659,-95.5365,-102.3839,-108.9568,-115.7111,-122.3628,-128.2167,-134.4862,-140.6746,-148.0303,-156.2526,-164.5586
60,0.6000,DynamicV1Rebalance,6.0000,2371.5416,142.2925,spend50p,0.9533,-1.4161,-3.8869,-6.4835,-9.1812,-12.0264,-15.0100,-18.0036,-21.2340,-24.4972,-27.9337,-31.4996,-35.2129,-38.9525,-42.7405,-46.3384,-50.1545,-53.9368,-57.8137,-61.7489,-65.7793,-69.9614,-74.3060,-78.8739,-83.5833,-88.5235,-93.3974,-98.7621,-103.4198,-107.6093,-112.1829,-117.0240,-122.9098,-128.1633,-133.9832
60,0.6000,DynamicV1Rebalance,6.0000,2371.5416,142.2925,spend75p,1.1508,-0.8535,-2.9827,-5.2629,-7.6419,-10.2966,-13.0772,-16.0023,-19.2422,-22.5535,-26.0838,-29.7536,-33.3917,-37.1244,-40.7741,-44.3034,-47.7717,-51.1576,-54.4779,-57.8833,-61.2181,-64.4971,-67.9976,-71.5723,-75.2379,-78.9318,-82.7219,-86.8262,-90.4015,-93.8466,-97.2181,-101.0267,-105.0807,-109.2670,-113.6982
