rule,strategy,year,p25,p50,p75
3.0,DRv2_DSv1,1,478.20390666530346,478.3450672920926,478.49034762853415
3.0,DRv2_DSv2,1,478.20390666530346,478.3450672920926,478.49034762853415
3.0,FixedSpend,1,478.5363502231062,481.84524590912423,485.2507102333403
3.0,DRv2_DSv1,2,471.50640145398955,480.1271940885422,482.86972683363746
3.0,DRv2_DSv2,2,477.517888557987,484.2886808522768,491.19841630396024
3.0,FixedSpend,2,487.28066511911516,491.8120738267869,496.1160942547309
3.0,DRv2_DSv1,3,464.82513748199625,476.19199868093267,487.4189002161285
3.0,DRv2_DSv2,3,475.7308565484327,491.37946231455726,506.60732652493084
3.0,FixedSpend,3,497.2289411217354,502.3011501727658,507.4665292390554
3.0,DRv2_DSv1,4,458.26902871970924,476.22938813923537,492.0235982660268
3.0,DRv2_DSv2,4,472.84229212721726,498.34269076673297,523.2117916882758
3.0,FixedSpend,4,507.5473488235394,513.0144843406624,518.3399542060695
3.0,DRv2_DSv1,5,451.787681584221,473.7147966727456,496.59980251720685
3.0,DRv2_DSv2,5,470.50221392508666,504.83041196897693,539.5150119104424
3.0,FixedSpend,5,518.0300381442901,523.4347491883843,528.9837629801444
3.0,DRv2_DSv1,6,445.3910683298469,471.08793076690586,501.24481022480484
3.0,DRv2_DSv2,6,469.28563241726795,511.2705321414762,556.0437261316158
3.0,FixedSpend,6,527.9949841263287,533.8267677176954,539.7748541801533
3.0,DRv2_DSv1,7,439.1051948200778,470.7823601155767,505.861786745548
3.0,DRv2_DSv2,7,468.7557064270559,518.4857212194458,573.0464497745779
3.0,FixedSpend,7,537.8208986004571,544.1176717503951,550.3419952028196
3.0,DRv2_DSv1,8,432.90025602264893,464.8512836649934,508.7158828132164
3.0,DRv2_DSv2,8,467.82373402276426,525.687850360069,591.5057861689135
3.0,FixedSpend,8,547.4766371067076,553.8084153281454,560.1405250911223
3.0,DRv2_DSv1,9,426.8705732360004,462.8147152656145,504.7877134701962
3.0,DRv2_DSv2,9,466.0578487631598,533.7595846996531,608.0973720151989
3.0,FixedSpend,9,556.6015345911754,562.732032903765,569.1209831431572
3.0,DRv2_DSv1,10,421.00062038876484,460.4630951459245,508.7259443220733
3.0,DRv2_DSv2,10,465.0003099339008,542.495512286829,626.7939367385914
3.0,FixedSpend,10,564.0354684613491,570.6387643904326,577.7665020500225
3.0,DRv2_DSv1,11,417.0614929172349,456.9741213550828,511.23329223374293
3.0,DRv2_DSv2,11,464.9074182686332,551.2539720764942,643.8487375728547
3.0,FixedSpend,11,570.1027359874806,577.1117695710695,584.3401256923836
3.0,DRv2_DSv1,12,412.78989168297636,455.49695470689755,509.8614762977968
3.0,DRv2_DSv2,12,460.1078959165752,555.8059509395298,657.3513413749862
3.0,FixedSpend,12,574.6879115299048,581.8232372047303,588.9794365596435
3.0,DRv2_DSv1,13,410.93767124443525,453.3948285753776,511.3997506195358
3.0,DRv2_DSv2,13,459.63367188000734,556.3846455631649,672.8946421854785
3.0,FixedSpend,13,577.1014296877304,584.4695952984188,591.1930629332433
3.0,DRv2_DSv1,14,406.04241093785254,452.0433598685799,514.3321395699667
3.0,DRv2_DSv2,14,454.2740560257305,559.7152209558865,682.5922240781224
3.0,FixedSpend,14,577.1518089179912,584.661995734747,591.3011482401974
3.0,DRv2_DSv1,15,400.55218882032113,450.82664345140523,511.296747423179
3.0,DRv2_DSv2,15,446.94859842026636,555.9444260359188,692.2641149602093
3.0,FixedSpend,15,574.3275200289314,581.8070522244847,588.5408947030518
3.0,DRv2_DSv1,16,394.94972581095146,447.3556862188603,513.6792500390612
3.0,DRv2_DSv2,16,436.454429400579,550.5159482727317,696.1858774112586
3.0,FixedSpend,16,568.8305839333568,575.6893611317964,582.8647545148311
3.0,DRv2_DSv1,17,390.3404754003098,448.8894193622138,514.8682519331023
3.0,DRv2_DSv2,17,429.47717989751004,542.9722800173085,694.4633736456645
3.0,FixedSpend,17,560.0265564432865,567.34543544182,574.3904729604322
3.0,DRv2_DSv1,18,387.2509805434528,444.6781874149156,515.5820926963654
3.0,DRv2_DSv2,18,416.853606391599,534.0249987521727,694.2186571300066
3.0,FixedSpend,18,550.1812441054828,557.098065320832,564.0849187229799
3.0,DRv2_DSv1,19,385.11318779016204,444.4738066725787,515.9586455219053
