rule,strategy,year,survival_rate
3.0,DRv2_DSv1,0,1.0
3.0,DRv2_DSv1,1,1.0
3.0,DRv2_DSv1,2,1.0
3.0,DRv2_DSv1,3,1.0
3.0,DRv2_DSv1,4,1.0
3.0,DRv2_DSv1,5,1.0
3.0,DRv2_DSv1,6,1.0
3.0,DRv2_DSv1,7,1.0
3.0,DRv2_DSv1,8,1.0
3.0,DRv2_DSv1,9,1.0
3.0,DRv2_DSv1,10,1.0
3.0,DRv2_DSv1,11,0.9995
3.0,DRv2_DSv1,12,0.999
3.0,DRv2_DSv1,13,0.9975
3.0,DRv2_DSv1,14,0.9965
3.0,DRv2_DSv1,15,0.9965
3.0,DRv2_DSv1,16,0.996
3.0,DRv2_DSv1,17,0.995
3.0,DRv2_DSv1,18,0.9915
3.0,DRv2_DSv1,19,0.99
3.0,DRv2_DSv1,20,0.9885
3.0,DRv2_DSv1,21,0.988
3.0,DRv2_DSv1,22,0.9855
3.0,DRv2_DSv1,23,0.9855
3.0,DRv2_DSv1,24,0.9835
3.0,DRv2_DSv1,25,0.982
3.0,DRv2_DSv1,26,0.981
3.0,DRv2_DSv1,27,0.98
3.0,DRv2_DSv1,28,0.9785
3.0,DRv2_DSv1,29,0.9755
3.0,DRv2_DSv1,30,0.974
3.0,DRv2_DSv1,31,0.974
3.0,DRv2_DSv1,32,0.9725
3.0,DRv2_DSv1,33,0.971
3.0,DRv2_DSv1,34,0.9695
3.0,DRv2_DSv1,35,0.9655
3.0,DRv2_DSv1,36,0.9625
3.0,DRv2_DSv1,37,0.96
3.0,DRv2_DSv1,38,0.9565
3.0,DRv2_DSv1,39,0.9545
3.0,DRv2_DSv1,40,0.9515
3.0,DRv2_DSv1,41,0.948
3.0,DRv2_DSv1,42,0.9465
3.0,DRv2_DSv1,43,0.942
3.0,DRv2_DSv1,44,0.9395
3.0,DRv2_DSv1,45,0.936
3.0,DRv2_DSv1,46,0.932
3.0,DRv2_DSv1,47,0.929
3.0,DRv2_DSv1,48,0.9245
3.0,DRv2_DSv1,49,0.923
3.0,DRv2_DSv1,50,0.922
3.0,DRv2_DSv1,51,0.92
3.0,DRv2_DSv1,52,0.9195
3.0,DRv2_DSv1,53,0.9185
3.0,DRv2_DSv1,54,0.916
3.0,DRv2_DSv1,55,0.915
3.0,DRv2_DSv2,0,1.0
3.0,DRv2_DSv2,1,1.0
3.0,DRv2_DSv2,2,1.0
3.0,DRv2_DSv2,3,1.0
3.0,DRv2_DSv2,4,1.0
3.0,DRv2_DSv2,5,1.0
3.0,DRv2_DSv2,6,1.0
3.0,DRv2_DSv2,7,1.0
3.0,DRv2_DSv2,8,1.0
3.0,DRv2_DSv2,9,1.0
3.0,DRv2_DSv2,10,1.0
3.0,DRv2_DSv2,11,1.0
3.0,DRv2_DSv2,12,0.999
3.0,DRv2_DSv2,13,0.9985
3.0,DRv2_DSv2,14,0.998
3.0,DRv2_DSv2,15,0.9975
3.0,DRv2_DSv2,16,0.997
3.0,DRv2_DSv2,17,0.995
3.0,DRv2_DSv2,18,0.9935
3.0,DRv2_DSv2,19,0.9925
3.0,DRv2_DSv2,20,0.991
3.0,DRv2_DSv2,21,0.9905
3.0,DRv2_DSv2,22,0.9905
3.0,DRv2_DSv2,23,0.99
3.0,DRv2_DSv2,24,0.99
3.0,DRv2_DSv2,25,0.989
3.0,DRv2_DSv2,26,0.989
3.0,DRv2_DSv2,27,0.9885
3.0,DRv2_DSv2,28,0.9885
3.0,DRv2_DSv2,29,0.9885
3.0,DRv2_DSv2,30,0.9885
3.0,DRv2_DSv2,31,0.9885
3.0,DRv2_DSv2,32,0.9885
3.0,DRv2_DSv2,33,0.9885
3.0,DRv2_DSv2,34,0.9885
3.0,DRv2_DSv2,35,0.9885
3.0,DRv2_DSv2,36,0.9885
3.0,DRv2_DSv2,37,0.9885
3.0,DRv2_DSv2,38,0.9885
3.0,DRv2_DSv2,39,0.9885
3.0,DRv2_DSv2,40,0.9885
3.0,DRv2_DSv2,41,0.9885
3.0,DRv2_DSv2,42,0.9885
3.0,DRv2_DSv2,43,0.9885
3.0,DRv2_DSv2,44,0.9885
3.0,DRv2_DSv2,45,0.9885
3.0,DRv2_DSv2,46,0.9885
3.0,DRv2_DSv2,47,0.9885
3.0,DRv2_DSv2,48,0.9885
3.0,DRv2_DSv2,49,0.9885
3.0,DRv2_DSv2,50,0.9885
3.0,DRv2_DSv2,51,0.9885
3.0,DRv2_DSv2,52,0.9885
3.0,DRv2_DSv2,53,0.9885
3.0,DRv2_DSv2,54,0.9885
3.0,DRv2_DSv2,55,0.9885
3.5,DRv2_DSv1,0,1.0
3.5,DRv2_DSv1,1,1.0
3.5,DRv2_DSv1,2,1.0
3.5,DRv2_DSv1,3,1.0
3.5,DRv2_DSv1,4,1.0
3.5,DRv2_DSv1,5,1.0
3.5,DRv2_DSv1,6,1.0
3.5,DRv2_DSv1,7,1.0
3.5,DRv2_DSv1,8,1.0
3.5,DRv2_DSv1,9,1.0
3.5,DRv2_DSv1,10,0.9995
3.5,DRv2_DSv1,11,0.999
3.5,DRv2_DSv1,12,0.997
3.5,DRv2_DSv1,13,0.9945
3.5,DRv2_DSv1,14,0.9935
3.5,DRv2_DSv1,15,0.99
3.5,DRv2_DSv1,16,0.9865
3.5,DRv2_DSv1,17,0.9825
3.5,DRv2_DSv1,18,0.979
3.5,DRv2_DSv1,19,0.9765
3.5,DRv2_DSv1,20,0.9705
3.5,DRv2_DSv1,21,0.967
3.5,DRv2_DSv1,22,0.963
3.5,DRv2_DSv1,23,0.9565
3.5,DRv2_DSv1,24,0.9535
3.5,DRv2_DSv1,25,0.95
3.5,DRv2_DSv1,26,0.9465
3.5,DRv2_DSv1,27,0.944
3.5,DRv2_DSv1,28,0.939
3.5,DRv2_DSv1,29,0.937
3.5,DRv2_DSv1,30,0.935
3.5,DRv2_DSv1,31,0.9305
3.5,DRv2_DSv1,32,0.9275
3.5,DRv2_DSv1,33,0.921
3.5,DRv2_DSv1,34,0.9155
3.5,DRv2_DSv1,35,0.9125
3.5,DRv2_DSv1,36,0.907
3.5,DRv2_DSv1,37,0.9015
3.5,DRv2_DSv1,38,0.9005
3.5,DRv2_DSv1,39,0.896
3.5,DRv2_DSv1,40,0.891
3.5,DRv2_DSv1,41,0.8865
3.5,DRv2_DSv1,42,0.882
3.5,DRv2_DSv1,43,0.8775
3.5,DRv2_DSv1,44,0.872
3.5,DRv2_DSv1,45,0.8675
3.5,DRv2_DSv1,46,0.8645
3.5,DRv2_DSv1,47,0.86
3.5,DRv2_DSv1,48,0.8585
3.5,DRv2_DSv1,49,0.8555
3.5,DRv2_DSv1,50,0.853
3.5,DRv2_DSv1,51,0.8495
3.5,DRv2_DSv1,52,0.848
3.5,DRv2_DSv1,53,0.8475
3.5,DRv2_DSv1,54,0.8455
3.5,DRv2_DSv1,55,0.8435
3.5,DRv2_DSv2,0,1.0
3.5,DRv2_DSv2,1,1.0
3.5,DRv2_DSv2,2,1.0
3.5,DRv2_DSv2,3,1.0
3.5,DRv2_DSv2,4,1.0
3.5,DRv2_DSv2,5,1.0
3.5,DRv2_DSv2,6,1.0
3.5,DRv2_DSv2,7,1.0
3.5,DRv2_DSv2,8,1.0
3.5,DRv2_DSv2,9,1.0
3.5,DRv2_DSv2,10,0.9995
3.5,DRv2_DSv2,11,0.999
3.5,DRv2_DSv2,12,0.998
3.5,DRv2_DSv2,13,0.9965
3.5,DRv2_DSv2,14,0.9955
3.5,DRv2_DSv2,15,0.991
3.5,DRv2_DSv2,16,0.9885
3.5,DRv2_DSv2,17,0.985
3.5,DRv2_DSv2,18,0.982
3.5,DRv2_DSv2,19,0.9775
3.5,DRv2_DSv2,20,0.9725
3.5,DRv2_DSv2,21,0.9705
3.5,DRv2_DSv2,22,0.9705
3.5,DRv2_DSv2,23,0.9665
3.5,DRv2_DSv2,24,0.965
3.5,DRv2_DSv2,25,0.965
3.5,DRv2_DSv2,26,0.964
3.5,DRv2_DSv2,27,0.964
3.5,DRv2_DSv2,28,0.964
3.5,DRv2_DSv2,29,0.9615
3.5,DRv2_DSv2,30,0.961
3.5,DRv2_DSv2,31,0.961
3.5,DRv2_DSv2,32,0.961
3.5,DRv2_DSv2,33,0.961
3.5,DRv2_DSv2,34,0.961
3.5,DRv2_DSv2,35,0.961
3.5,DRv2_DSv2,36,0.961
3.5,DRv2_DSv2,37,0.961
3.5,DRv2_DSv2,38,0.961
3.5,DRv2_DSv2,39,0.961
3.5,DRv2_DSv2,40,0.961
3.5,DRv2_DSv2,41,0.961
3.5,DRv2_DSv2,42,0.961
3.5,DRv2_DSv2,43,0.961
3.5,DRv2_DSv2,44,0.961
3.5,DRv2_DSv2,45,0.961
3.5,DRv2_DSv2,46,0.961
3.5,DRv2_DSv2,47,0.961
3.5,DRv2_DSv2,48,0.9605
3.5,DRv2_DSv2,49,0.9605
3.5,DRv2_DSv2,50,0.9605
3.5,DRv2_DSv2,51,0.9605
3.5,DRv2_DSv2,52,0.9605
3.5,DRv2_DSv2,53,0.9605
3.5,DRv2_DSv2,54,0.9605
3.5,DRv2_DSv2,55,0.9605
4.0,DRv2_DSv1,0,1.0
4.0,DRv2_DSv1,1,1.0
4.0,DRv2_DSv1,2,1.0
4.0,DRv2_DSv1,3,1.0
4.0,DRv2_DSv1,4,1.0
4.0,DRv2_DSv1,5,1.0
4.0,DRv2_DSv1,6,1.0
4.0,DRv2_DSv1,7,1.0
4.0,DRv2_DSv1,8,1.0
4.0,DRv2_DSv1,9,0.9995
4.0,DRv2_DSv1,10,0.999
4.0,DRv2_DSv1,11,0.997
4.0,DRv2_DSv1,12,0.9935
4.0,DRv2_DSv1,13,0.99
4.0,DRv2_DSv1,14,0.9845
4.0,DRv2_DSv1,15,0.977
4.0,DRv2_DSv1,16,0.968
4.0,DRv2_DSv1,17,0.96
4.0,DRv2_DSv1,18,0.946
4.0,DRv2_DSv1,19,0.9345
4.0,DRv2_DSv1,20,0.926
4.0,DRv2_DSv1,21,0.9205
4.0,DRv2_DSv1,22,0.9125
4.0,DRv2_DSv1,23,0.903
4.0,DRv2_DSv1,24,0.8925
4.0,DRv2_DSv1,25,0.885
4.0,DRv2_DSv1,26,0.8795
4.0,DRv2_DSv1,27,0.874
4.0,DRv2_DSv1,28,0.8675
4.0,DRv2_DSv1,29,0.8615
4.0,DRv2_DSv1,30,0.855
4.0,DRv2_DSv1,31,0.8495
4.0,DRv2_DSv1,32,0.8445
4.0,DRv2_DSv1,33,0.8385
4.0,DRv2_DSv1,34,0.834
4.0,DRv2_DSv1,35,0.8265
4.0,DRv2_DSv1,36,0.821
4.0,DRv2_DSv1,37,0.817
4.0,DRv2_DSv1,38,0.8125
4.0,DRv2_DSv1,39,0.8045
4.0,DRv2_DSv1,40,0.7985
4.0,DRv2_DSv1,41,0.7935
4.0,DRv2_DSv1,42,0.788
4.0,DRv2_DSv1,43,0.7815
4.0,DRv2_DSv1,44,0.7775
4.0,DRv2_DSv1,45,0.7745
4.0,DRv2_DSv1,46,0.7705
4.0,DRv2_DSv1,47,0.7685
4.0,DRv2_DSv1,48,0.765
